zone_id,status
BTC-USDT-SWAP-LONG-1772844248000-4,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772850673000-5,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772852776000-6,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772842770000-2,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772860169000-10,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772857253000-9,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772856582000-8,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772856498000-7,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772869985000-15,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772870125000-16,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772867910000-12,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772866698000-11,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772872987000-18,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772872211000-17,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772868613000-13,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772877219000-19,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772869703000-14,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772892481000-20,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772906920000-21,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772910598000-22,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772911480000-23,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772913422000-24,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772913488000-25,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772916785000-26,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772919621000-27,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772930593000-4,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772931158000-5,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772928898000-2,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772932298000-6,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772937050000-7,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772928031000-1,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772929845000-3,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772937086000-8,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772942112000-11,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772938604000-10,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772945605000-12,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772954182000-14,NOT_AVAILABLE
