id,date,dir,regime_dir,vol,trend_aligned,true_mfe,strong_label,sim_outcome,reclaim,cv_confirm
BTCUSDT-LONG-1779756783000-7,2026-05-26,LONG,RANGE,NORMAL_VOL,0,1.709,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779754519000-2,2026-05-26,LONG,RANGE,LOW_VOL,0,1.208,MID,LOSS,0,0
BTCUSDT-LONG-1779793908000-10,2026-05-26,LONG,RANGE,NORMAL_VOL,0,1.087,MID,LOSS,0,0
BTCUSDT-LONG-1779792344000-9,2026-05-26,LONG,RANGE,NORMAL_VOL,0,0.715,MID,LOSS,0,1
BTCUSDT-SHORT-1779807366000-11,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.764,STRONG_2_5,WIN,0,0
BTCUSDT-SHORT-1779808598000-12,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.163,WEAK_WIN_2,WIN,1,0
BTCUSDT-SHORT-1779810363000-14,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.189,WEAK_WIN_2,WIN,1,0
BTCUSDT-LONG-1779809192000-13,2026-05-26,LONG,RANGE,NORMAL_VOL,0,0.353,MID,LOSS,0,1
BTCUSDT-SHORT-1779817255000-16,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,1.621,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779817241000-15,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,1.636,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779834251000-23,2026-05-26,SHORT,RANGE,LOW_VOL,0,2.042,WEAK_WIN_2,WIN,0,0
BTCUSDT-SHORT-1779817422000-17,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,1.686,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779820005000-18,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,1.721,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779821244000-19,2026-05-26,LONG,RANGE,NORMAL_VOL,0,0.412,MID,LOSS,0,0
BTCUSDT-LONG-1779828003000-21,2026-05-26,LONG,RANGE,LOW_VOL,0,0.155,MID,LOSS,1,0
