selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_n,h2_n,h1_precision_pct,h2_precision_pct,long_n,short_n,long_precision_pct,short_precision_pct
S::cand_sell_pressure_le_0.5923::top1,single+top1,29,1.0,5,4,17.24,4.07,13.79,14,15,28.57,6.67,29,0,17.24,
S::cand_sell_pressure_le_0.5923::top2,single+top2,58,2.0,8,7,13.79,6.5,12.07,28,30,21.43,6.67,58,0,13.79,
S::cand_sell_pressure_ge_0.6243,single,103,3.552,17,12,16.5,13.82,11.65,45,58,22.22,12.07,103,0,16.5,
S::cand_sell_pressure_ge_0.6243::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,28.57,20.0,29,0,24.14,
S::cand_sell_pressure_ge_0.6243::top2,single+top2,55,1.897,11,6,20.0,8.94,10.91,25,30,28.0,13.33,55,0,20.0,
S::cand_sell_pressure_le_0.6243,single,406,14.0,46,54,11.33,37.4,13.3,203,203,14.29,8.37,406,0,11.33,
S::cand_sell_pressure_le_0.6243::top1,single+top1,29,1.0,6,2,20.69,4.88,6.9,14,15,35.71,6.67,29,0,20.69,
S::cand_sell_pressure_le_0.6243::top2,single+top2,58,2.0,11,5,18.97,8.94,8.62,28,30,28.57,10.0,58,0,18.97,
S::cand_absorb_score_ge_0.6119,single,835,28.793,100,110,11.98,81.3,13.17,412,423,13.35,10.64,401,434,12.47,11.52
S::cand_absorb_score_ge_0.6119::top1,single+top1,29,1.0,10,0,34.48,8.13,0.0,14,15,42.86,26.67,15,14,33.33,35.71
S::cand_absorb_score_ge_0.6119::top2,single+top2,58,2.0,14,1,24.14,11.38,1.72,28,30,28.57,20.0,31,27,29.03,18.52
S::cand_absorb_score_le_0.6119,single,209,7.207,23,29,11.0,18.7,13.88,94,115,12.77,9.57,107,102,12.15,9.8
S::cand_absorb_score_le_0.6119::top1,single+top1,29,1.0,6,3,20.69,4.88,10.34,14,15,21.43,20.0,12,17,25.0,17.65
S::cand_absorb_score_le_0.6119::top2,single+top2,58,2.0,9,7,15.52,7.32,12.07,28,30,17.86,13.33,23,35,17.39,14.29
S::cand_absorb_score_ge_0.6252,single,627,21.621,76,83,12.12,61.79,13.24,315,312,14.29,9.94,305,322,13.11,11.18
S::cand_absorb_score_ge_0.6252::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,28.57,20.0,14,15,28.57,20.0
S::cand_absorb_score_ge_0.6252::top2,single+top2,58,2.0,12,3,20.69,9.76,5.17,28,30,25.0,16.67,30,28,30.0,10.71
S::cand_absorb_score_le_0.6252,single,417,14.379,47,56,11.27,38.21,13.43,192,225,11.46,11.11,203,214,11.33,11.21
S::cand_absorb_score_le_0.6252::top1,single+top1,29,1.0,7,3,24.14,5.69,10.34,14,15,14.29,33.33,14,15,21.43,26.67
S::cand_absorb_score_le_0.6252::top2,single+top2,58,2.0,11,4,18.97,8.94,6.9,28,30,21.43,16.67,25,33,20.0,18.18
S::cand_absorb_score_ge_0.6446,single,418,14.414,53,59,12.68,43.09,14.11,209,209,14.83,10.53,208,210,14.42,10.95
S::cand_absorb_score_ge_0.6446::top1,single+top1,29,1.0,6,0,20.69,4.88,0.0,14,15,28.57,13.33,16,13,25.0,15.38
S::cand_absorb_score_ge_0.6446::top2,single+top2,58,2.0,13,2,22.41,10.57,3.45,28,30,25.0,20.0,31,27,35.48,7.41
S::cand_absorb_score_le_0.6446,single,626,21.586,70,80,11.18,56.91,12.78,298,328,12.08,10.37,300,326,11.0,11.35
S::cand_absorb_score_le_0.6446::top1,single+top1,29,1.0,7,3,24.14,5.69,10.34,14,15,21.43,26.67,17,12,23.53,25.0
S::cand_absorb_score_le_0.6446::top2,single+top2,58,2.0,10,4,17.24,8.13,6.9,28,30,17.86,16.67,27,31,18.52,16.13
S::cand_absorb_score_ge_0.6813,single,210,7.241,24,26,11.43,19.51,12.38,96,114,12.5,10.53,100,110,14.0,9.09
S::cand_absorb_score_ge_0.6813::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14,15,35.71,0.0,14,15,28.57,6.67
S::cand_absorb_score_ge_0.6813::top2,single+top2,58,2.0,12,3,20.69,9.76,5.17,28,30,25.0,16.67,33,25,30.3,8.0
S::cand_absorb_score_le_0.6813,single,834,28.759,99,114,11.87,80.49,13.67,411,423,13.38,10.4,408,426,12.01,11.74
S::cand_absorb_score_le_0.6813::top1,single+top1,29,1.0,9,1,31.03,7.32,3.45,14,15,28.57,33.33,17,12,29.41,33.33
S::cand_absorb_score_le_0.6813::top2,single+top2,58,2.0,14,3,24.14,11.38,5.17,28,30,25.0,23.33,31,27,25.81,22.22
S::cand_bid_refill_score_ge_0.4994,single,407,14.034,50,50,12.29,40.65,12.29,206,201,14.56,9.95,407,0,12.29,
S::cand_bid_refill_score_ge_0.4994::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,28.57,20.0,29,0,24.14,
S::cand_bid_refill_score_ge_0.4994::top2,single+top2,58,2.0,14,3,24.14,11.38,5.17,28,30,32.14,16.67,58,0,24.14,
S::cand_bid_refill_score_le_0.4994,single,102,3.517,14,15,13.73,11.38,14.71,42,60,23.81,6.67,102,0,13.73,
S::cand_bid_refill_score_le_0.4994::top1,single+top1,28,0.966,4,5,14.29,3.25,17.86,13,15,30.77,0.0,28,0,14.29,
S::cand_bid_refill_score_le_0.4994::top2,single+top2,54,1.862,9,8,16.67,7.32,14.81,24,30,29.17,6.67,54,0,16.67,
S::cand_bid_refill_score_ge_0.5,single,306,10.552,37,41,12.09,30.08,13.4,142,164,14.79,9.76,306,0,12.09,
S::cand_bid_refill_score_ge_0.5::top1,single+top1,29,1.0,8,1,27.59,6.5,3.45,14,15,35.71,20.0,29,0,27.59,
S::cand_bid_refill_score_ge_0.5::top2,single+top2,58,2.0,13,3,22.41,10.57,5.17,28,30,28.57,16.67,58,0,22.41,
S::cand_bid_refill_score_le_0.5,single,203,7.0,26,25,12.81,21.14,12.32,106,97,16.98,8.25,203,0,12.81,
S::cand_bid_refill_score_le_0.5::top1,single+top1,29,1.0,5,3,17.24,4.07,10.34,14,15,28.57,6.67,29,0,17.24,
S::cand_bid_refill_score_le_0.5::top2,single+top2,58,2.0,9,6,15.52,7.32,10.34,28,30,21.43,10.0,58,0,15.52,
S::cand_bid_refill_score_ge_0.5005,single,204,7.034,24,25,11.76,19.51,12.25,89,115,13.48,10.43,204,0,11.76,
