_half,_label_engine_class,_label_is_primary,_label_reached_raw,_label_unique_move_id,cand_absorb_score,cand_ask_refill_score,cand_bid_refill_score,cand_buy_pressure,cand_down_move_pct,cand_pressure_against,cand_prior_move_pct,cand_range_compression,cand_refill_with,cand_sell_pressure,cand_up_move_pct,candidate_iso,candidate_to_confirm_min,conf_age_min,conf_cycles_seen,conf_defended_persistence_sec,conf_opposite_thinning,conf_void_score,confirm_to_trigger_min,confirmed_iso,coverage_class,date,direction,dist_to_4h_mean_pct,dist_to_recent_swing_high_pct,dist_to_recent_swing_low_pct,distance_from_high_pct,distance_from_low_pct,filter_dup_suppressed,filter_fast_ok,filter_kept,is_asia_session,is_during_correct_move,is_during_opposite_move,is_late_after_50pct_correct_move,is_us_session,lead_min_before_move,local_range_15m_pct,local_range_180m_pct,local_range_30m_pct,local_range_60m_pct,local_realized_vol_15m,local_realized_vol_180m,local_realized_vol_30m,local_realized_vol_60m,matched_move_size_pct,ofi_shift_5m_vs_30m,ofi_shift_aligned,opp_dir_zones_active_60m,pct_correct_move_already_done,pct_opposite_move_already_done,prior_move_15m_pct,prior_move_180m_pct,prior_move_30m_pct,prior_move_60m_pct,same_dir_zones_active_60m,score_absorption,score_liquidity_void,score_ofi,score_refill,score_trigger,session,stage_reached,sweep_reclaim_aligned,taker_imb_15m,taker_imb_180m,taker_imb_30m,taker_imb_5m,taker_imb_60m,taker_imb_aligned_15m,taker_imb_aligned_180m,taker_imb_aligned_30m,taker_imb_aligned_5m,taker_imb_aligned_60m,taker_n_trades_15m,taker_n_trades_180m,taker_n_trades_30m,taker_n_trades_5m,taker_n_trades_60m,taker_total_vol_15m,taker_total_vol_180m,taker_total_vol_30m,taker_total_vol_5m,taker_total_vol_60m,total_pre_trigger_min,trig_break_pct,trig_flow_multiplier,trig_price,trig_side_flow_ok,trigger_iso,utc_hour,vol_anomaly_15m_vs_bg,watch_label,zone_high,zone_id,zone_low,zone_mid,zone_width_pct
first,failed_triggered,False,False,,0.635782897931187,0.5003018199740124,,0.5779844526647154,,0.5779844526647154,0.0,True,0.5003018199740124,,0.0,2026-03-02T02:32:06+00:00,9.116666666666667,9.116666666666667,16.0,547.0,0.49939101272279124,1.0,22.8,2026-03-02T02:41:13+00:00,covered_mid,2026-03-02,SHORT,-0.0418,1.1518,0.8737,0.1969,,True,True,False,1,1,1,0,0,-89.87,0.4452,2.0434,0.7835,1.2537,0.000624,0.001005,0.000783,0.000844,2.7554,0.3135,-0.3135,3.0,11.63,34.92,0.1633,0.8331,0.5803,-0.5089,1.0,0.7279139337354216,1.0,0.016030518923360593,0.5005888125891901,0.9668468814985205,asia,triggered,1,0.259,0.0036,0.033,0.3235,-0.2712,-0.259,-0.0036,-0.033,-0.3235,0.2712,44738,820438,111827,14043,252382,48194.08,1512273.48,185546.0,13645.3,499798.67,31.916666666666668,0.053248335487007595,1.4028975641173307,66099.95,False,2026-03-02T03:04:01+00:00,2,0.3633,MID,66424.35,BTC-USDT-SWAP-SHORT-1772418726000-11,66135.165875,66279.7579375,0.4363083601975319
first,duplicate_reached_move,False,True,1,0.6543231672492871,,0.5018246165407301,,0.0,0.5948392429538973,0.0,True,0.5018246165407301,0.5948392429538973,,2026-03-02T02:51:29+00:00,3.45,3.45,20.0,207.0,0.5002416762455663,1.0,16.416666666666668,2026-03-02T02:54:56+00:00,wrong_direction,2026-03-02,LONG,-0.1411,1.2585,0.7692,,0.1418,False,True,True,1,1,1,1,0,,0.2898,2.0434,0.4452,1.1754,0.000611,0.000981,0.000623,0.000816,2.7554,-0.3408,-0.3408,2.0,50.72,13.4,-0.2326,0.727,0.0604,-0.5529,0.0,0.6736171966508875,1.0,0.2626083408323339,0.49956008605655206,1.0,asia,triggered,1,-0.2157,-0.0005,0.0743,-0.2248,-0.2814,-0.2157,-0.0005,0.0743,-0.2248,-0.2814,34340,851420,78799,12255,233767,32462.44,1542019.06,82780.81,10142.44,464309.24,19.866666666666667,0.15044909600422665,1.9807552549400012,66409.15,False,2026-03-02T03:11:21+00:00,2,0.2225,BAD,66309.388125,BTC-USDT-SWAP-LONG-1772419889000-13,66200.45,66254.9190625,0.16442269727510556
first,duplicate_reached_move,False,True,1,0.6736171966508875,,0.49956008605655206,,0.0,0.6123792696826249,0.0,True,0.49956008605655206,0.6123792696826249,,2026-03-02T02:54:56+00:00,11.7,11.7,77.0,702.0,0.5002351552996497,1.0,4.716666666666667,2026-03-02T03:06:38+00:00,wrong_direction,2026-03-02,LONG,-0.1814,1.3092,0.7194,,0.1699,False,True,True,1,1,1,1,0,,0.3855,1.9726,0.5238,0.9006,0.000617,0.000961,0.000606,0.000772,2.7554,-0.2529,-0.2529,1.0,64.2,14.92,-0.1218,0.6477,-0.2278,-0.2027,1.0,0.720978925594715,1.0,-0.001128168260330522,0.49835971487173064,1.0,asia,triggered,1,-0.2543,-0.0049,-0.1299,-0.3109,-0.1995,-0.2543,-0.0049,-0.1299,-0.3109,-0.1995,37783,850649,74864,16524,222176,40809.3,1544147.15,78031.73,22214.15,402592.16,16.416666666666668,0.11487503571000098,2.660373637901679,66409.15,False,2026-03-02T03:11:21+00:00,3,0.2783,BAD,66332.95,BTC-USDT-SWAP-LONG-1772420096000-14,66078.35,66205.65,0.3845593238643398
first,invalidated_or_expired,False,False,,0.7279139337354216,0.5005888125891901,,0.6617399397594741,,0.6617399397594741,0.0,True,0.5005888125891901,,0.0,2026-03-02T02:41:13+00:00,35.2,35.2,133.0,2112.0,0.5013054069898151,1.0,,2026-03-02T03:16:25+00:00,covered_mid,2026-03-02,SHORT,0.2254,0.8913,1.129,0.1768,,,,,1,1,1,0,0,-125.07,0.763,1.9464,0.763,0.8826,0.000794,0.000947,0.000714,0.000722,2.7554,0.2734,-0.2734,2.0,16.18,75.47,0.3927,1.0324,0.2926,0.4328,1.0,0.6954476184496344,1.0,0.017055443973233306,0.5006445973037328,,asia,confirmed,1,0.1512,0.0096,0.0824,0.2645,0.061,-0.1512,-0.0096,-0.0824,-0.2645,-0.061,62557,834729,96869,23555,190102,106932.01,1493070.56,138165.62,46189.45,263954.89,,,,,False,,3,0.7892,MID,66573.15,BTC-USDT-SWAP-SHORT-1772419273000-12,66078.35,66325.75,0.7460149338680503
first,duplicate_reached_move,False,True,1,0.6137826350940974,,0.5007190528783079,,0.0,0.5579842137219067,0.0,True,0.5007190528783079,0.5579842137219067,,2026-03-02T03:09:36+00:00,24.8,24.8,28.0,1488.0,0.5011912452510833,1.0,3.283333333333333,2026-03-02T03:34:24+00:00,wrong_direction,2026-03-02,LONG,0.6225,0.4467,1.5647,,0.973,True,True,False,1,1,1,1,0,,0.4578,1.8619,1.1226,1.1798,0.000839,0.000951,0.000826,0.000725,2.7554,-0.3324,-0.3324,3.0,96.18,18.51,0.2975,1.2761,0.9784,0.6728,2.0,0.601753063561967,1.0,0.20528948231660413,0.500669994175482,0.976505337216395,asia,triggered,1,0.1367,0.0227,0.1999,-0.0941,0.1317,0.1367,0.0227,0.1999,-0.0941,0.1317,75357,861895,139111,21178,213981,99459.95,1552637.88,209220.26,24132.04,283279.97,28.083333333333332,0.1764938597337485,1.4334785316186083,66975.85,False,2026-03-02T03:37:41+00:00,3,0.7404,BAD,66857.85,BTC-USDT-SWAP-LONG-1772420976000-15,66316.575125,66587.2125625,0.8128811136101425
first,failed_triggered,False,False,,0.6171189131650644,0.5002129456428221,,0.5610171937864221,,0.5610171937864221,0.0,True,0.5002129456428221,,0.0,2026-03-02T03:29:28+00:00,20.116666666666667,20.116666666666667,4.0,1207.0,0.4997089614492886,1.0,134.06666666666666,2026-03-02T03:49:35+00:00,covered_mid,2026-03-02,SHORT,0.7194,0.2979,1.7105,0.2213,,False,False,False,1,1,0,0,0,-158.23,0.4428,1.8619,0.6787,1.4044,0.000763,0.000907,0.000796,0.000767,2.7554,0.0464,-0.0464,3.0,20.47,0.0,0.1535,0.4932,0.4162,0.9055,2.0,0.6138859528242094,1.0,-0.101113359904236,0.5003981061050548,0.9697856807343288,asia,triggered,1,0.0225,-0.0654,0.0731,0.1162,0.1027,-0.0225,0.0654,-0.0731,-0.1162,-0.1027,50921,806795,125367,9739,229426,96780.8,1353202.67,195718.09,14390.01,343436.75,154.18333333333334,0.23334335590036392,1.407114396045642,66527.25,False,2026-03-02T06:03:39+00:00,3,0.8361,MID,67006.25,BTC-USDT-SWAP-SHORT-1772422168000-17,66682.85,66844.55,0.4838090764318021
first,failed_triggered,False,False,,0.6387110073060838,0.5000998823919379,,0.5806463702782579,,0.5806463702782579,0.0,True,0.5000998823919379,,0.0,2026-03-02T03:25:27+00:00,4.016666666666667,4.016666666666667,5.0,241.0,0.5002505002871536,1.0,154.43333333333334,2026-03-02T03:29:28+00:00,covered_mid,2026-03-02,SHORT,0.6175,0.4665,1.5453,0.1486,,True,False,False,1,1,1,0,0,-138.12,0.6234,1.8619,1.1604,1.1604,0.000835,0.000951,0.000814,0.000719,2.7554,-0.0801,0.0801,2.0,17.87,90.5,0.3946,1.3139,0.7343,0.8435,2.0,0.6171189131650644,1.0,-0.09333810580955176,0.5002129456428221,0.9686574801180442,asia,triggered,1,0.2837,0.0256,0.1904,0.122,0.1648,-0.2837,-0.0256,-0.1904,-0.122,-0.1648,74380,858201,134942,22196,211293,103693.5,1544728.54,203169.11,29930.58,279425.05,158.45,0.19456837548119807,1.4014555032921259,66511.55,False,2026-03-02T06:03:54+00:00,3,0.7729,MID,66843.25,BTC-USDT-SWAP-SHORT-1772421927000-16,66641.212725,66742.2313625,0.3027127964941137
first,invalidated_or_expired,False,False,,0.6298899835511512,,0.5010690108805107,,0.0,0.5726272577737738,0.0,True,0.5010690108805107,0.5726272577737738,,2026-03-02T03:45:33+00:00,10.416666666666666,10.416666666666666,78.0,625.0,0.49992479867386397,1.0,,2026-03-02T03:55:58+00:00,wrong_direction,2026-03-02,LONG,0.7079,0.2886,1.7196,,0.33,,,,1,0,1,0,0,,0.2902,1.8619,0.5432,1.4044,0.000613,0.000885,0.000753,0.000773,2.7554,-0.1576,-0.1576,3.0,0.0,21.3,-0.0109,0.5176,0.2833,0.9146,2.0,0.6023532076417948,1.0,0.19407698681309477,0.5021918169880386,,asia,confirmed,1,-0.1076,-0.0731,-0.0201,-0.1484,0.0868,-0.1076,-0.0731,-0.0201,-0.1484,0.0868,40181,790442,108138,19061,235755,70409.05,1324844.28,177320.38,32966.01,366474.19,,,,,False,,3,0.6136,BAD,66999.85,BTC-USDT-SWAP-LONG-1772423133000-18,66806.05,66902.95000000001,0.28967332531675044
first,failed_triggered,False,False,,0.6199024513685046,0.5001382598848592,,0.5635476830622769,,0.5635476830622769,0.0,True,0.5001382598848592,,0.0,2026-03-02T06:53:49+00:00,6.283333333333333,6.283333333333333,11.0,377.0,0.49991757389057556,1.0,4.65,2026-03-02T07:00:06+00:00,covered_mid,2026-03-02,SHORT,-0.6785,1.2824,0.2069,0.1988,,False,True,True,0,1,0,0,0,-348.75,0.3311,1.4253,0.4009,1.0216,0.000658,0.000649,0.000605,0.0007,2.7554,0.4173,-0.4173,0.0,45.12,0.0,-0.1052,-0.9716,-0.1303,-0.7925,0.0,0.6558357428039033,1.0,-0.15195040250836844,0.5002760591202401,0.9687093745588966,europe,triggered,1,-0.0379,-0.0307,-0.0133,0.3592,-0.0935,0.0379,0.0307,0.0133,-0.3592,0.0935,49056,546147,87799,12047,227520,79397.35,875497.68,144340.64,15487.92,388612.65,10.933333333333334,0.11877293431635894,1.403108363729523,65976.85,False,2026-03-02T07:04:45+00:00,7,1.0859,MID,66219.95,BTC-USDT-SWAP-SHORT-1772434429000-19,66055.305825,66137.6279125,0.24894176007917618
first,failed_triggered,False,False,,0.6436978657592155,0.500676783732987,,0.618548051163473,,0.618548051163473,0.0011404415789793808,True,0.500676783732987,,0.0011404415789793808,2026-03-02T07:30:50+00:00,30.016666666666666,30.016666666666666,18.0,1801.0,0.5006785885025961,1.0,26.85,2026-03-02T08:00:51+00:00,covered_late,2026-03-02,SHORT,-0.7431,1.6007,0.5901,0.1377,,False,True,True,0,1,1,1,0,-409.5,0.1981,2.2038,0.3746,0.9617,0.000635,0.000695,0.000593,0.000779,2.7554,0.1427,-0.1427,0.0,52.98,33.21,-0.0253,-1.3284,0.2138,-0.363,1.0,0.6063132143056574,1.0,-0.11655854528975143,0.4996579557797982,1.0,europe,triggered,1,0.0173,-0.0186,0.0331,0.14,-0.0452,-0.0173,0.0186,-0.0331,-0.14,0.0452,31746,629876,74890,13864,252384,61165.61,1153030.11,131302.06,32914.11,529282.31,56.86666666666667,0.05129570514010596,1.5388036580702493,65698.15,False,2026-03-02T08:27:42+00:00,8,0.5986,BAD,65992.25,BTC-USDT-SWAP-SHORT-1772436650000-21,65731.867625,65862.0588125,0.3953450282222014
first,invalidated_or_expired,False,False,,0.6440256694045288,0.5004949991321995,,0.5854778812768443,,0.5854778812768443,0.0,True,0.5004949991321995,,0.0,2026-03-02T07:22:34+00:00,8.266666666666667,8.266666666666667,16.0,496.0,0.4998510444461809,1.0,,2026-03-02T07:30:50+00:00,covered_mid,2026-03-02,SHORT,-1.1381,1.891,0.3719,0.5828,,,,,0,1,1,0,0,-379.48,0.4803,2.2038,0.9617,1.1777,0.000743,0.000699,0.000927,0.00078,2.7554,0.3335,-0.3335,0.0,49.1,8.8,0.0832,-1.6595,-0.5786,-0.7193,1.0,0.6436978657592155,1.0,0.07901637409500281,0.500676783732987,,europe,confirmed,1,0.2107,-0.033,-0.0709,0.2371,-0.0551,-0.2107,0.033,0.0709,-0.2371,0.0551,70554,632873,177451,17235,263919,142205.82,1137712.17,397748.54,30391.98,539404.05,,,,,False,,7,1.9218,MID,65830.85,BTC-USDT-SWAP-SHORT-1772436154000-20,65554.256475,65692.5532375,0.42104243383573187
first,failed_triggered,False,False,,0.6073630201426921,0.5002913260169444,,0.55214820012972,,0.55214820012972,0.0,True,0.5002913260169444,,0.0,2026-03-02T12:36:07+00:00,18.3,18.3,6.0,1098.0,0.5004196636433422,1.0,9.75,2026-03-02T12:54:25+00:00,covered_late,2026-03-02,SHORT,-0.3462,1.0716,0.1649,0.2191,,False,True,True,0,1,0,1,0,-703.07,0.2463,0.8864,0.3851,0.7512,0.000603,0.000609,0.00058,0.000586,2.7554,0.3821,-0.3821,0.0,90.96,0.0,-0.0003,-0.4109,-0.135,-0.4063,0.0,0.6055583887631798,1.0,0.009038666375183609,0.5007178076341406,1.0,europe,triggered,1,-0.0324,0.0791,-0.037,0.272,0.0143,0.0324,-0.0791,0.037,-0.272,-0.0143,39034,469851,74459,11739,146548,89930.13,789816.09,151968.89,29079.86,259991.24,28.05,0.056915066784139365,1.5605996542159357,65850.15,False,2026-03-02T13:04:10+00:00,12,1.4099,BAD,66051.559275,BTC-USDT-SWAP-SHORT-1772454967000-22,65887.65,65969.6046375,0.24846181192184916
