feature,good_mean,bad_mean,wrong_mean,d_good_vs_bad,d_long,d_short,d_h1,d_h2,good_n,bad_n
dl2_inband_add_vol_60m,43539279.9154,52999094.42,56844668.4751,-0.3273,-0.4238,-0.2374,-0.314,-0.3688,123,774
dl2_inband_cancel_vol_60m,43524557.1383,52983974.3842,56828900.7901,-0.3272,-0.4237,-0.2374,-0.3139,-0.3687,123,774
dl2_supportive_large_cancel_30m,202747.3984,235681.0969,248422.8058,-0.325,-0.3019,-0.3466,-0.2427,-0.4837,123,774
dl2_supportive_large_add_30m,194687.4065,225020.6034,237302.3885,-0.3182,-0.2978,-0.337,-0.2358,-0.4789,123,774
dl2_inband_supp_add_60m,21781308.7432,26409035.0746,28714969.789,-0.3164,-0.4105,-0.2324,-0.296,-0.3727,123,774
dl2_inband_supp_cancel_60m,21773395.825,26400597.2045,28705974.8287,-0.3163,-0.4105,-0.2324,-0.2959,-0.3727,123,774
dl2_n_cancel_bid_30m,648913.1789,752166.8372,803198.2158,-0.3135,-0.2928,-0.3333,-0.2752,-0.4584,123,774
dl2_n_large_cancel_ask_30m,200681.8618,232235.9897,246176.2086,-0.3134,-0.2766,-0.3466,-0.2417,-0.4477,123,774
dl2_n_cancel_ask_30m,643416.6585,745832.6382,791709.9496,-0.3128,-0.2786,-0.3451,-0.2789,-0.4467,123,774
dl2_n_large_cancel_bid_30m,203818.878,235395.5491,250577.3741,-0.3102,-0.3019,-0.3161,-0.2304,-0.4674,123,774
dl2_n_add_bid_30m,642040.0732,742883.7339,793588.9065,-0.3101,-0.2893,-0.33,-0.2711,-0.4595,123,774
dl2_microprice_delta_60m_bps,14.3981,-6.0918,7.5859,0.3081,-0.0352,0.6787,0.1701,0.4587,92,688
dl2_n_large_add_ask_30m,192598.5122,221686.8424,235546.4676,-0.3079,-0.2752,-0.337,-0.2343,-0.4458,123,774
dl2_n_large_add_bid_30m,195446.9024,224908.6085,239423.4532,-0.3071,-0.2978,-0.3141,-0.2239,-0.4708,123,774
dl2_n_add_ask_30m,638285.9268,737272.2687,783065.9496,-0.3067,-0.274,-0.3376,-0.2734,-0.4442,123,774
dl2_opposing_large_cancel_30m,201753.3415,231950.4419,248330.777,-0.2985,-0.2766,-0.3161,-0.2293,-0.4317,123,774
dl2_opposing_large_add_30m,193358.0081,221574.8475,237667.5324,-0.2968,-0.2752,-0.3141,-0.2221,-0.4381,123,774
dl2_microprice_aligned_delta_30m_bps,-1.7817,10.4014,-2.7377,-0.2965,-0.0957,-0.4837,-0.2837,-0.3072,104,734
dl2_supportive_large_cancel_15m,107654.9919,121521.8243,127814.0432,-0.2699,-0.1821,-0.3549,-0.164,-0.4622,123,774
dl2_n_cancel_bid_15m,344471.6748,388412.5258,415146.9137,-0.2639,-0.18,-0.3454,-0.2044,-0.4412,123,774
dl2_supportive_large_add_15m,103359.7317,116081.7248,122141.2806,-0.2635,-0.1773,-0.3476,-0.1574,-0.4596,123,774
dl2_n_large_cancel_bid_15m,108166.3496,121632.3372,129023.9209,-0.2614,-0.1821,-0.3372,-0.1621,-0.4515,123,774
dl2_n_add_bid_15m,340809.8374,383609.0194,410275.3885,-0.2605,-0.1764,-0.3423,-0.1997,-0.4433,123,774
dl2_inband_supp_add_5m,2785921.9379,3235652.2619,3624791.7578,-0.2597,-0.1845,-0.3247,-0.2074,-0.3653,123,774
dl2_inband_supp_cancel_5m,2784428.2186,3234158.1952,3623198.8995,-0.2597,-0.1845,-0.3247,-0.2074,-0.3654,123,774
dl2_top1_supportive_persistence_ge_50_5m_sec,268.7561,250.8837,246.4388,0.2571,0.1951,0.3172,0.3453,0.2126,123,774
dl2_n_cancel_ask_15m,342229.065,384673.6137,409261.1223,-0.257,-0.1622,-0.3475,-0.1999,-0.4232,123,774
dl2_n_large_add_bid_15m,103759.4797,116195.3243,123310.0576,-0.2567,-0.1773,-0.3331,-0.1536,-0.4546,123,774
