variant,zone_id,date,direction,entry_sec,exit_sec,entry_price,exit_price,exit_reason,pnl_pct,mfe_pct,mae_pct,time_in_trade_h,used_stop_pct
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774339003000-17,2026-03-24,SHORT,1774340521,1774363822,70893.4,69475.53199999999,target_2pct,2.0,2.021909,0.629537,6.4725,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774363528000-25,2026-03-24,LONG,1774364134,1774371901,69846.0,69147.54,stop,-1.0,0.538327,1.075366,2.1575,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774385370000-34,2026-03-24,LONG,1774388493,1774396799,70243.1,70523.8,timeout,0.399612,0.799794,0.23077,2.3072,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774396839000-1,2026-03-25,SHORT,1774398630,1774415238,70458.0,71162.58,stop,-1.0,0.135826,1.004854,4.6133,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774416093000-12,2026-03-25,SHORT,1774422016,1774435671,70930.0,71639.3,stop,-1.0,0.25067,1.016777,3.7931,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774432966000-18,2026-03-25,LONG,1774435673,1774451656,71502.5,70787.475,stop,-1.0,0.680396,1.128072,4.4397,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774460558000-31,2026-03-25,SHORT,1774461204,1774478515,70751.0,71458.51,stop,-1.0,0.204944,1.143447,4.8086,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-LONG-1774483234000-1,2026-03-26,LONG,1774486142,1774492381,71409.0,70694.91,stop,-1.0,0.00014,1.014018,1.7331,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774527206000-27,2026-03-26,SHORT,1774528520,1774569599,69256.1,68799.5,timeout,0.659292,1.646498,0.847868,11.4108,1.0
A_trigger_stop_1pct,BTC-USDT-SWAP-SHORT-1774570637000-2,2026-03-27,SHORT,1774571847,1774607849,68592.1,67220.258,target_2pct,2.0,2.050673,0.833769,10.0006,1.0
