venue,date,dir,regime,status,reasons,confluence,hypo_entry,outcome,true_mfe
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,67596.5,WIN,8.572
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,67680.5,WIN,8.529
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,67730.0,WIN,8.45
OKX_MARCH,2026-03-03,SHORT,TREND_DOWN,REJECT,no_fresh_weakness_60m,2,67486.8,LOSS,0.191
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,68781.1,LOSS,6.832
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,3,68352.8,WIN,7.846
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,68454.8,LOSS,7.883
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,68695.1,LOSS,7.309
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m,4,68531.2,LOSS,1.712
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,2,68053.8,WIN,8.32
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down,4,68091.6,LOSS,1.077
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down,4,68091.6,LOSS,1.077
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short;buyer_absorption,2,67950.0,WIN,8.948
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short;buyer_absorption,1,67897.3,WIN,9.032
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,1,68116.8,LOSS,1.114
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,3,68615.4,LOSS,1.832
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,2,68310.6,LOSS,1.394
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,68420.8,LOSS,8.198
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,2,68090.1,LOSS,1.075
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,68200.9,WIN,8.547
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short,3,67566.8,WIN,9.566
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,3,67809.6,WIN,9.173
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down,3,67569.0,LOSS,0.222
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,3,67577.7,LOSS,0.235
OKX_MARCH,2026-03-04,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,3,67789.9,LOSS,0.219
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short,4,67624.9,WIN,9.472
OKX_MARCH,2026-03-04,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,4,68530.8,WIN,8.024
