selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_precision_pct,h2_precision_pct,long_precision_pct,short_precision_pct,avg_lead_min,median_lead_min
L2::S::conf_void_score_le_1.0,single,1043,35.966,123,139,11.79,100.0,13.33,13.24,10.43,12.4,11.21,96.41,86.42
L2::S::conf_void_score_le_1.0::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::conf_void_score_le_1.0::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,118.41,121.01
L2::S::conf_void_score_ge_1.0,single,1043,35.966,123,139,11.79,100.0,13.33,13.24,10.43,12.4,11.21,96.41,86.42
L2::S::conf_void_score_ge_1.0::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::conf_void_score_ge_1.0::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,118.41,121.01
L2::S::conf_void_score_le_1.0,single,1043,35.966,123,139,11.79,100.0,13.33,13.24,10.43,12.4,11.21,96.41,86.42
L2::S::conf_void_score_le_1.0::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::conf_void_score_le_1.0::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,118.41,121.01
L2::S::score_absorption_ge_0.6072,single,835,28.793,94,110,11.26,76.42,13.17,11.49,11.03,11.94,10.62,104.13,90.7
L2::S::score_absorption_ge_0.6072::top1,single+top1,29,1.0,3,1,10.34,2.44,3.45,7.14,13.33,15.38,6.25,139.13,176.55
L2::S::score_absorption_ge_0.6072::top2,single+top2,58,2.0,9,2,15.52,7.32,3.45,14.29,16.67,16.0,15.15,131.14,176.55
L2::S::score_absorption_le_0.6072,single,209,7.207,29,29,13.88,23.58,13.88,20.62,8.04,14.15,13.59,71.4,56.98
L2::S::score_absorption_le_0.6072::top1,single+top1,29,1.0,4,4,13.79,3.25,13.79,14.29,13.33,11.11,15.0,75.28,60.43
L2::S::score_absorption_le_0.6072::top2,single+top2,58,2.0,7,6,12.07,5.69,10.34,10.71,13.33,9.09,13.89,81.45,56.98
L2::S::score_absorption_ge_0.6205,single,627,21.621,74,82,11.8,60.16,13.08,10.44,13.18,12.07,11.57,109.32,96.81
L2::S::score_absorption_ge_0.6205::top1,single+top1,29,1.0,3,1,10.34,2.44,3.45,7.14,13.33,14.29,6.67,148.59,189.6
L2::S::score_absorption_ge_0.6205::top2,single+top2,58,2.0,9,2,15.52,7.32,3.45,10.71,20.0,18.52,12.9,142.07,189.6
L2::S::score_absorption_le_0.6205,single,417,14.379,49,57,11.75,39.84,13.67,17.8,6.64,12.79,10.61,76.92,63.5
L2::S::score_absorption_le_0.6205::top1,single+top1,29,1.0,6,2,20.69,4.88,6.9,21.43,20.0,25.0,17.65,96.46,82.47
L2::S::score_absorption_le_0.6205::top2,single+top2,58,2.0,10,4,17.24,8.13,6.9,17.86,16.67,20.0,15.15,86.36,60.43
L2::S::score_absorption_ge_0.6449,single,419,14.448,49,51,11.69,39.84,12.17,10.61,12.67,12.06,11.36,100.65,86.42
L2::S::score_absorption_ge_0.6449::top1,single+top1,29,1.0,2,2,6.9,1.63,6.9,7.14,6.67,15.38,0.0,29.73,29.73
L2::S::score_absorption_ge_0.6449::top2,single+top2,58,2.0,4,5,6.9,3.25,8.62,3.57,10.0,15.38,0.0,85.58,71.93
L2::S::score_absorption_le_0.6449,single,626,21.586,74,90,11.82,60.16,14.38,14.84,8.86,12.54,11.11,93.6,84.59
L2::S::score_absorption_le_0.6449::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,7.14,26.67,16.67,17.65,151.0,176.55
L2::S::score_absorption_le_0.6449::top2,single+top2,58,2.0,11,4,18.97,8.94,6.9,17.86,20.0,17.24,20.69,108.47,101.07
L2::S::score_absorption_ge_0.6836,single,210,7.241,28,19,13.33,22.76,9.05,10.99,15.13,14.85,11.93,90.47,81.0
