selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,total_return_after_cost_pct,max_consecutive_losses
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_15m,stop_1.5,29,13,44.83,0.2635,0.1235,1.37,1.158,3.5826,5
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,confirmed,stop_1.25,29,13,44.83,0.4215,0.2815,1.786,1.47,8.1636,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,confirmed,stop_1.5,29,13,44.83,0.3181,0.1781,1.497,1.253,5.1636,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,confirmed,stop_1.25,29,13,44.83,0.4377,0.2977,1.831,1.505,8.632,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,confirmed,stop_1.5,29,13,44.83,0.3428,0.2028,1.551,1.296,5.882,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_5m,stop_1.5,29,13,44.83,0.3369,0.1969,1.543,1.288,5.7105,5
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_10m,stop_1.25,29,13,44.83,0.4129,0.2729,1.751,1.445,7.9142,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,confirmed,stop_1.25,29,13,44.83,0.4215,0.2815,1.786,1.47,8.1636,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,confirmed,stop_1.5,29,13,44.83,0.3181,0.1781,1.497,1.253,5.1636,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,confirmed,stop_1.25,29,13,44.83,0.4377,0.2977,1.831,1.505,8.632,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,confirmed,stop_1.5,29,13,44.83,0.3428,0.2028,1.551,1.296,5.882,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_5m,stop_1.5,29,13,44.83,0.3369,0.1969,1.543,1.288,5.7105,5
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_10m,stop_1.25,29,13,44.83,0.4129,0.2729,1.751,1.445,7.9142,3
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,confirmed,stop_1.5,29,13,44.83,0.1513,0.0113,1.2,1.014,0.3266,5
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_5m,stop_1.5,29,13,44.83,0.1546,0.0146,1.205,1.018,0.4239,5
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_5m,stop_1.0,29,13,44.83,0.4013,0.2613,1.793,1.452,7.5789,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,confirmed,stop_1.0,29,13,44.83,0.4511,0.3111,1.965,1.582,9.0218,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,confirmed,stop_1.25,29,13,44.83,0.3483,0.2083,1.611,1.327,6.0412,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_5m,stop_1.25,29,13,44.83,0.4332,0.2932,1.823,1.498,8.5024,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_10m,stop_1.25,29,13,44.83,0.4195,0.2795,1.763,1.456,8.1055,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_10m,stop_1.5,29,13,44.83,0.3161,0.1761,1.484,1.246,5.1055,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_15m,stop_1.25,29,13,44.83,0.3276,0.1876,1.543,1.28,5.4405,4
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,confirmed,stop_1.0,29,13,44.83,0.525,0.385,2.213,1.777,11.1636,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_15m,stop_1.25,29,13,44.83,0.407,0.267,1.723,1.423,7.7444,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,confirmed,stop_1.0,28,12,42.86,0.3958,0.2558,1.818,1.462,7.1618,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,confirmed,stop_1.25,28,12,42.86,0.2797,0.1397,1.466,1.209,3.9118,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,confirmed,stop_1.5,28,12,42.86,0.1636,0.0236,1.229,1.03,0.6618,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_5m,stop_1.25,28,12,42.86,0.2685,0.1285,1.444,1.19,3.5986,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_5m,stop_1.5,28,12,42.86,0.1524,0.0124,1.212,1.016,0.3486,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_10m,stop_1.25,28,12,42.86,0.2601,0.1201,1.416,1.173,3.3624,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_10m,stop_1.5,28,12,42.86,0.1351,-0.0049,1.18,0.994,-0.1376,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_15m,stop_1.25,28,12,42.86,0.2679,0.1279,1.429,1.184,3.5805,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_15m,stop_1.0,29,12,41.38,0.3448,0.2048,1.667,1.347,5.9405,5
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_15m,stop_1.0,29,12,41.38,0.3238,0.1838,1.623,1.308,5.3313,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_5m,stop_1.25,29,12,41.38,0.2941,0.1541,1.504,1.235,4.4685,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_10m,stop_1.25,29,12,41.38,0.2756,0.1356,1.457,1.201,3.9338,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,confirmed,stop_1.0,29,12,41.38,0.4284,0.2884,1.917,1.539,8.3627,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_5m,stop_1.25,29,12,41.38,0.3197,0.1797,1.562,1.282,5.2105,5
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_15m,stop_1.25,29,12,41.38,0.316,0.176,1.524,1.262,5.1037,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_5m,stop_1.25,29,12,41.38,0.2941,0.1541,1.504,1.235,4.4685,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_10m,stop_1.25,29,12,41.38,0.2756,0.1356,1.457,1.201,3.9338,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,confirmed,stop_1.0,29,12,41.38,0.4284,0.2884,1.917,1.539,8.3627,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_5m,stop_1.25,29,12,41.38,0.3197,0.1797,1.562,1.282,5.2105,5
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_15m,stop_1.25,29,12,41.38,0.316,0.176,1.524,1.262,5.1037,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_5m,stop_1.25,29,12,41.38,0.2941,0.1541,1.504,1.235,4.4685,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_10m,stop_1.25,29,12,41.38,0.2756,0.1356,1.457,1.201,3.9338,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,confirmed,stop_1.0,29,12,41.38,0.4284,0.2884,1.917,1.539,8.3627,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_5m,stop_1.25,29,12,41.38,0.3197,0.1797,1.562,1.282,5.2105,5
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_15m,stop_1.25,29,12,41.38,0.316,0.176,1.524,1.262,5.1037,3
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,confirmed,stop_1.25,29,12,41.38,0.1599,0.0199,1.235,1.026,0.5766,5
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_5m,stop_1.25,29,12,41.38,0.1632,0.0232,1.242,1.031,0.6739,5
