_venue,_date,id,direction,sim_label,strong_label,true_mfe,true_mae,sim_outcome,sim_pnl_after_cost,taker_imbalance_15m,supportive_taker_imb_15m,eng_ofi,reclaim_zoneMid_preconfirm,regime_1d,dist_to_recent_swing_high_pct,cv_mate_dmin,cv_match_5m,cv_match_15m,cv_same_dir,cv_mate_taker,cv_confirm,cv_conflict,cv_lead
OKX,2026-05-23,BTC-USDT-SWAP-LONG-1779549554000-19,LONG,GOOD,STRONG_2_5,2.57,-0.343,WIN,1.86,-0.12,-0.12,0.22991424493662732,0,BEAR,0.0882,4.12,1,1,1,-0.0784,0,1,other
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779581256000-2,LONG,MID,MID,1.183,-0.746,TIMEOUT,0.508,-0.1481,-0.1481,0.14680685227991067,0,BULL,0.9878,0.33,1,1,0,-0.1443,0,1,self
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779585058000-6,LONG,MID,MID,1.014,-0.912,TIMEOUT,0.355,-0.1852,-0.1852,-0.048873608106780854,0,BULL,0.4255,23.55,0,0,0,0.2033,1,0,other
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779586063000-7,SHORT,NOISE,MID,1.047,-0.876,TIMEOUT,-0.4615,0.3543,-0.3543,0.022367320508323622,0,BULL,0.0463,41.27,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779584281000-5,LONG,MID,MID,0.909,-1.015,TIMEOUT,0.2058,0.084,0.084,0.10847922955420632,1,BULL,0.6387,10.17,0,1,0,0.2033,1,0,other
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779588023000-8,LONG,MID,MID,0.851,-1.072,TIMEOUT,0.4006,0.121,0.121,0.11587529949556492,1,BULL,0.0199,85.1,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779580801000-1,SHORT,NOISE,MID,0.783,-1.146,TIMEOUT,-0.7807,0.0248,-0.0248,-0.1690903576735188,1,BULL,0.9508,7.45,0,1,1,-0.1443,1,0,other
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779581938000-3,SHORT,NOISE,MID,0.878,-1.049,TIMEOUT,-0.6822,-0.1187,0.1187,-0.08341715336162957,0,BULL,0.8534,14.53,0,1,1,0.2033,0,1,self
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779583950000-4,SHORT,NOISE,MID,0.951,-0.975,TIMEOUT,-0.5784,0.1084,-0.1084,-0.04343609035658906,0,BULL,0.7799,4.65,1,1,1,0.2033,0,1,other
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779605778000-10,LONG,MID,MID,0.884,-1.201,TIMEOUT,0.3951,0.1555,0.1555,-0.32786832739643307,0,BULL,0.0852,5.38,0,1,0,0.3012,1,0,other
