date,zone_id,direction,class,candidate_iso,confirmed_iso,trigger_iso,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,trigger_to_target_min_canonical_1pct_stop,trigger_to_stop_min_canonical_1pct_stop,filter_kept,filter_fast_ok,filter_dup_suppressed
2026-03-18,BTC-USDT-SWAP-SHORT-1773802038000-13,SHORT,duplicate_reached_move,2026-03-18T02:47:18+00:00,2026-03-18T03:05:02+00:00,2026-03-18T05:55:44+00:00,17.733333333333334,170.7,188.43333333333334,396.9,,False,False,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773814999000-20,SHORT,duplicate_reached_move,2026-03-18T06:23:19+00:00,2026-03-18T06:31:30+00:00,2026-03-18T07:31:27+00:00,8.183333333333334,59.95,68.13333333333334,301.7,,True,True,False
2026-03-18,BTC-USDT-SWAP-SHORT-1773819697000-21,SHORT,invalidated_or_expired,2026-03-18T07:41:37+00:00,2026-03-18T07:44:37+00:00,,3.0,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773819792000-22,SHORT,invalidated_or_expired,2026-03-18T07:43:12+00:00,2026-03-18T07:47:03+00:00,,3.85,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773804588000-14,SHORT,duplicate_reached_move,2026-03-18T03:29:48+00:00,2026-03-18T03:35:07+00:00,2026-03-18T11:29:40+00:00,5.316666666666666,474.55,479.8666666666667,92.1,,False,False,False
2026-03-18,BTC-USDT-SWAP-SHORT-1773834431000-26,SHORT,duplicate_reached_move,2026-03-18T11:47:11+00:00,2026-03-18T11:52:33+00:00,2026-03-18T12:11:29+00:00,5.366666666666666,18.933333333333334,24.3,166.62,,True,True,False
2026-03-18,BTC-USDT-SWAP-SHORT-1773835688000-27,SHORT,duplicate_reached_move,2026-03-18T12:08:08+00:00,2026-03-18T12:16:10+00:00,2026-03-18T12:30:43+00:00,8.033333333333333,14.55,22.583333333333332,148.98,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773836170000-28,SHORT,duplicate_reached_move,2026-03-18T12:16:10+00:00,2026-03-18T12:27:28+00:00,2026-03-18T12:30:51+00:00,11.3,3.3833333333333333,14.683333333333334,148.85,,False,True,True
2026-03-18,BTC-USDT-SWAP-LONG-1773834114000-23,LONG,invalidated_or_expired,2026-03-18T11:41:54+00:00,2026-03-18T12:01:01+00:00,,19.116666666666667,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773834139000-24,LONG,invalidated_or_expired,2026-03-18T11:42:19+00:00,2026-03-18T12:01:01+00:00,,18.7,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773834370000-25,SHORT,duplicate_reached_move,2026-03-18T11:46:10+00:00,2026-03-18T11:49:10+00:00,2026-03-18T12:32:15+00:00,3.0,43.083333333333336,46.083333333333336,148.47,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773837926000-31,SHORT,duplicate_reached_move,2026-03-18T12:45:26+00:00,2026-03-18T12:48:26+00:00,2026-03-18T13:01:23+00:00,3.0,12.95,15.95,424.52,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773837656000-30,SHORT,duplicate_reached_move,2026-03-18T12:40:56+00:00,2026-03-18T12:45:26+00:00,2026-03-18T13:02:07+00:00,4.5,16.683333333333334,21.183333333333334,426.38,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773842088000-33,SHORT,failed_triggered,2026-03-18T13:54:48+00:00,2026-03-18T14:11:49+00:00,2026-03-18T14:28:18+00:00,17.016666666666666,16.483333333333334,33.5,,,True,True,False
2026-03-18,BTC-USDT-SWAP-SHORT-1773842025000-32,SHORT,failed_triggered,2026-03-18T13:53:45+00:00,2026-03-18T14:11:49+00:00,2026-03-18T14:28:20+00:00,18.066666666666666,16.516666666666666,34.583333333333336,,,False,True,True
2026-03-18,BTC-USDT-SWAP-LONG-1773836450000-29,LONG,invalidated_or_expired,2026-03-18T12:20:50+00:00,2026-03-18T13:04:08+00:00,,43.3,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773843528000-35,LONG,invalidated_or_expired,2026-03-18T14:18:48+00:00,2026-03-18T14:21:48+00:00,,3.0,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773842911000-34,LONG,invalidated_or_expired,2026-03-18T14:08:31+00:00,2026-03-18T14:18:48+00:00,,10.283333333333333,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773844720000-37,SHORT,failed_triggered,2026-03-18T14:38:40+00:00,2026-03-18T14:41:40+00:00,2026-03-18T14:43:32+00:00,3.0,1.8666666666666667,4.866666666666666,,,False,True,True
