zone_id,date,direction,tz_entry_ref_price,tz_target_type,tz_target_price,tz_target_distance_pct,tz_has_target_ge_2pct,tz_room_to_run_pct,tz_nearest_obstacle_type
BTC-USDT-SWAP-LONG-1773312889000-26,2026-03-12,LONG,70380.8,blocked,,0.1691,0,0.1691,session_high
BTC-USDT-SWAP-SHORT-1773311218000-24,2026-03-12,SHORT,70481.0,blocked,,0.1859,0,0.1859,hvn
BTC-USDT-SWAP-SHORT-1773314627000-28,2026-03-12,SHORT,70636.8,swing_low,69156.0,2.0964,1,0.3352,swing_high
BTC-USDT-SWAP-LONG-1773309139000-22,2026-03-12,LONG,69954.9,blocked,,0.5912,0,0.5912,session_high
BTC-USDT-SWAP-SHORT-1773322220000-29,2026-03-12,SHORT,70215.1,blocked,,0.3063,0,0.3063,hvn
BTC-USDT-SWAP-SHORT-1773327022000-31,2026-03-12,SHORT,69418.3,blocked,,0.3779,0,0.3779,session_low
BTC-USDT-SWAP-SHORT-1773327051000-32,2026-03-12,SHORT,69418.3,blocked,,0.3779,0,0.3779,session_low
BTC-USDT-SWAP-LONG-1773324378000-30,2026-03-12,LONG,69449.9,blocked,,0.3601,0,0.3601,hvn
BTC-USDT-SWAP-LONG-1773360301000-1,2026-03-13,LONG,71550.2,blocked,,0.1912,0,0.1912,session_high
BTC-USDT-SWAP-LONG-1773360324000-2,2026-03-13,LONG,71550.2,blocked,,0.1912,0,0.1912,session_high
BTC-USDT-SWAP-SHORT-1773364676000-6,2026-03-13,SHORT,71497.1,swing_low,69763.3,2.425,1,0.0659,hvn
BTC-USDT-SWAP-SHORT-1773373019000-8,2026-03-13,SHORT,71050.0,blocked,,0.7741,0,0.7741,hvn
BTC-USDT-SWAP-SHORT-1773369857000-7,2026-03-13,SHORT,71150.4,blocked,,0.9141,0,0.9141,hvn
BTC-USDT-SWAP-LONG-1773362170000-4,2026-03-13,LONG,71370.5,blocked,,0.1114,0,0.1114,hvn
BTC-USDT-SWAP-LONG-1773362182000-5,2026-03-13,LONG,71370.5,blocked,,0.1114,0,0.1114,hvn
BTC-USDT-SWAP-LONG-1773395617000-9,2026-03-13,LONG,72008.7,blocked,,0.2421,0,0.2421,session_high
