date,zone_id,direction,watch_label,coverage_class,lead_min_before_move,matched_move_size_pct,_half
2026-03-04,BTC-USDT-SWAP-SHORT-1772638974000-41,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772639088000-42,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772642212000-44,LONG,BAD,covered_late,-783.55,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772642290000-45,LONG,BAD,covered_late,-784.65,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772642329000-46,LONG,BAD,covered_late,-785.3,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772641162000-43,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772648681000-47,LONG,BAD,covered_late,-900.95,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772650765000-49,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-04,BTC-USDT-SWAP-LONG-1772650789000-50,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772650521000-48,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772655497000-52,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772651819000-51,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-04,BTC-USDT-SWAP-LONG-1772664633000-53,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-04,BTC-USDT-SWAP-LONG-1772666739000-54,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-LONG-1772670368000-3,LONG,BAD,wrong_direction,,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772670314000-2,SHORT,GOOD,covered_watch_early,27.5,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772669164000-1,SHORT,GOOD,covered_watch_early,48.37,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772674125000-5,LONG,BAD,wrong_direction,,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772674326000-6,LONG,BAD,wrong_direction,,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772675238000-7,LONG,BAD,wrong_direction,,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772675664000-8,LONG,BAD,wrong_direction,,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772679264000-9,SHORT,MID,covered_mid,-115.48,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772686945000-10,LONG,GOOD,covered_watch_early,197.58,2.52,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772689407000-11,SHORT,BAD,covered_late,-281.4,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772673503000-4,SHORT,MID,covered_mid,-8.13,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772692402000-15,LONG,GOOD,covered_watch_early,109.12,2.52,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772691308000-14,SHORT,BAD,covered_late,-322.83,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772690822000-12,SHORT,BAD,covered_late,-301.53,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772698247000-17,SHORT,BAD,covered_late,-428.28,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772691247000-13,LONG,GOOD,covered_watch_early,114.15,2.52,first
2026-03-05,BTC-USDT-SWAP-LONG-1772697409000-16,LONG,GOOD,covered_watch_early,19.25,2.52,first
2026-03-05,BTC-USDT-SWAP-LONG-1772706691000-18,LONG,BAD,covered_late,-136.03,2.52,first
2026-03-05,BTC-USDT-SWAP-LONG-1772706721000-19,LONG,BAD,covered_late,-136.03,2.52,first
2026-03-05,BTC-USDT-SWAP-LONG-1772709083000-20,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-LONG-1772710207000-21,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-LONG-1772711263000-22,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-LONG-1772725319000-24,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-LONG-1772725364000-25,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772733604000-28,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772733612000-29,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772725116000-23,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-LONG-1772726417000-26,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-05,BTC-USDT-SWAP-LONG-1772727700000-27,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772755231000-1,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772756173000-3,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772755356000-2,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772756699000-4,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772757101000-5,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772759770000-6,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772762906000-9,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772764396000-10,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772767072000-11,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772761567000-8,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772770545000-12,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772760332000-7,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772775022000-15,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772775639000-16,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772776333000-19,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772773475000-14,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772775732000-17,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772775754000-18,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772780826000-20,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772783534000-22,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772782005000-21,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772772339000-13,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772792968000-23,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772798800000-24,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772800868000-26,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772799229000-25,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772806967000-29,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772806000000-27,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772806627000-28,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772808809000-30,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772808921000-31,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772813847000-35,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772812900000-34,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772811186000-32,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772811246000-33,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772818299000-37,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772819110000-38,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772821141000-40,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772819528000-39,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-SHORT-1772829513000-41,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772818252000-36,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772834507000-42,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-06,BTC-USDT-SWAP-LONG-1772837456000-43,LONG,BAD,missed_no_move_in_4h,,,first
