selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,max_consecutive_losses
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_5m,stop_1.25,27,10,37.04,0.0748,-0.0652,1.106,0.918,7
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_10m,stop_1.25,27,10,37.04,0.1552,0.0152,1.235,1.021,6
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_15m,stop_1.25,27,10,37.04,0.1623,0.0223,1.248,1.03,6
L2::P::local_range_180m_pct_le_1.0518+local_range_30m_pct_ge_0.4406::top1,delay_15m,stop_1.5,27,10,37.04,0.0327,-0.1073,1.042,0.876,6
L2::P::taker_total_vol_60m_le_291971.48+dist_to_recent_swing_high_pct_le_0.321::top1,delay_15m,stop_1.0,27,10,37.04,0.195,0.055,1.345,1.085,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.0,25,9,36.0,0.1677,0.0277,1.297,1.043,4
L2::P::taker_total_vol_15m_le_69071.8+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.0,25,9,36.0,0.1621,0.0221,1.281,1.033,4
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_10m,stop_1.0,29,10,34.48,0.0616,-0.0784,1.098,0.891,8
L2::P::taker_total_vol_15m_le_105386.84+taker_imb_aligned_60m_le_-0.0591::top1,delay_15m,stop_1.0,29,10,34.48,0.0505,-0.0895,1.079,0.878,8
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_5m,stop_1.0,27,9,33.33,0.0404,-0.0996,1.065,0.862,9
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_10m,stop_1.0,27,9,33.33,0.0291,-0.1109,1.046,0.848,9
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_-0.0591::top1,delay_15m,stop_1.0,27,9,33.33,0.0172,-0.1228,1.027,0.835,9
L2::P::taker_total_vol_15m_le_69071.8+taker_imb_aligned_60m_le_0.0189::top1,delay_15m,stop_1.0,27,9,33.33,0.1741,0.0341,1.303,1.052,5
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.0,27,9,33.33,0.1268,-0.0132,1.228,0.979,4
L2::P::taker_total_vol_15m_le_105386.84+dist_to_recent_swing_high_pct_le_0.321::top1,delay_10m,stop_1.0,27,9,33.33,0.0814,-0.0586,1.135,0.915,4
L2::P::local_range_180m_pct_le_1.0518+dist_to_recent_swing_high_pct_le_0.321::top1,delay_5m,stop_1.0,27,9,33.33,0.1235,-0.0165,1.22,0.974,4
