window_id,exchange,ts_min,ts_iso,date,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,prior_move_1d,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,bid_depth_top10,ask_depth_top10,update_rate
W1,Bybit,29394216,2025-11-20T15:36:00+00:00,2025-11-20,LONG,90469.25,0.162,1.546,0,0,0,1,0,LOSS,,,,-0.975,-1.51,-0.237,0.115,0.245,1.828,0.588,0.011,-0.0511,3.395,4.259,600.0
W1,Bybit,29394253,2025-11-20T16:13:00+00:00,2025-11-20,LONG,88786.45,0.166,1.618,0,0,0,1,0,LOSS,,,,-1.78,-3.446,-1.395,0.127,0.271,3.654,2.269,0.013,-0.0462,4.625,4.912,600.0
W1,Bybit,29394283,2025-11-20T16:43:00+00:00,2025-11-20,LONG,88269.05,0.088,1.718,0,0,0,1,0,LOSS,,,,-2.459,-3.84,-1.636,0.134,0.227,4.215,0.982,0.011,0.0973,3.499,2.827,600.0
W1,Bybit,29394315,2025-11-20T17:15:00+00:00,2025-11-20,LONG,87114.75,1.216,1.171,0,0,0,0,1,TIMEOUT,,,,-1.757,-4.068,-2.538,0.146,0.417,5.468,1.838,0.019,0.0251,2.352,2.012,600.0
W1,Bybit,29394368,2025-11-20T18:08:00+00:00,2025-11-20,SHORT,87364.45,1.454,0.926,0,0,0,0,1,TIMEOUT,,,,-0.205,-3.695,-2.275,0.146,0.929,4.547,0.898,0.011,0.2172,5.907,2.366,600.0
W1,Bybit,29394415,2025-11-20T18:55:00+00:00,2025-11-20,LONG,86366.65,2.004,0.315,1,0,0,0,0,WIN,214,,,-0.879,-4.162,-3.016,0.146,0.104,5.273,0.798,0.015,-0.0456,3.723,3.513,600.0
W1,Bybit,29394444,2025-11-20T19:24:00+00:00,2025-11-20,SHORT,86660.05,0.428,1.642,0,0,0,1,0,LOSS,,,,-0.294,-2.211,-2.594,0.14,0.657,4.484,0.828,0.012,-0.1696,4.389,4.15,600.0
W1,Bybit,29394504,2025-11-20T20:24:00+00:00,2025-11-20,SHORT,86646.35,0.274,1.503,0,0,0,1,0,LOSS,,,,-0.016,-0.446,-2.824,0.118,0.641,2.572,0.743,0.012,-0.0457,2.858,3.416,600.0
W1,Bybit,29394547,2025-11-20T21:07:00+00:00,2025-11-20,SHORT,86698.85,0.0,1.596,0,0,0,1,0,LOSS,,,,0.088,-0.606,-3.427,0.105,0.702,1.093,0.455,0.012,0.1203,7.633,3.243,600.0
W1,Bybit,29394683,2025-11-20T23:23:00+00:00,2025-11-20,LONG,87330.75,0.127,1.685,0,0,0,1,0,LOSS,,,,-0.59,0.506,-4.474,0.094,1.207,0.956,1.04,0.018,-0.2733,4.329,8.984,600.0
W1,Bybit,29394714,2025-11-20T23:54:00+00:00,2025-11-20,LONG,86732.15,0.818,1.531,0,0,0,1,0,LOSS,,,,-1.362,0.328,-5.141,0.093,0.514,1.635,0.924,0.012,0.3167,7.955,3.869,600.0
W1,Bybit,29394732,2025-11-21T00:12:00+00:00,2025-11-21,SHORT,87064.15,2.236,0.434,1,0,0,0,0,WIN,428,,,-0.446,0.25,-4.693,0.099,0.898,1.258,0.665,0.011,0.2661,20.36,4.007,600.0
W1,Bybit,29394847,2025-11-21T02:07:00+00:00,2025-11-21,LONG,86788.55,0.015,1.595,0,0,0,1,0,LOSS,,,,-0.604,-0.954,-6.361,0.101,0.314,1.571,0.735,0.012,0.1915,3.305,2.744,600.0
W1,Bybit,29394886,2025-11-21T02:46:00+00:00,2025-11-21,LONG,86156.55,0.166,1.598,0,0,0,1,0,LOSS,,,,-1.16,-0.88,-6.689,0.112,0.346,2.272,0.986,0.012,0.0769,4.421,4.233,600.0
W1,Bybit,29394947,2025-11-21T03:47:00+00:00,2025-11-21,SHORT,86008.05,3.379,0.339,1,1,1,0,0,WIN,226,226,226,-0.125,-1.483,-7.032,0.12,0.707,1.64,0.697,0.012,-0.2416,5.753,7.708,600.0
W1,Bybit,29395001,2025-11-21T04:41:00+00:00,2025-11-21,LONG,85508.15,0.926,2.814,0,0,0,1,0,LOSS,,,,-0.585,-1.83,-7.28,0.119,0.132,2.19,0.53,0.013,0.0294,4.606,3.476,600.0
W1,Bybit,29395007,2025-11-21T04:47:00+00:00,2025-11-21,SHORT,85695.25,3.027,0.705,1,1,1,0,0,WIN,166,166,166,-0.364,-1.76,-7.272,0.121,0.351,1.976,0.606,0.012,-0.1524,4.021,4.202,600.0
W1,Bybit,29395101,2025-11-21T06:21:00+00:00,2025-11-21,LONG,85732.75,0.065,3.069,0,0,0,1,0,LOSS,,,,-0.613,0.032,-7.286,0.086,0.395,1.123,0.598,0.012,0.0637,4.265,3.822,600.0
W1,Bybit,29395135,2025-11-21T06:55:00+00:00,2025-11-21,LONG,85616.45,0.032,2.937,0,0,0,1,0,LOSS,,,,-0.569,-0.359,-6.84,0.077,0.258,0.792,0.257,0.012,0.1209,4.647,3.084,600.0
W1,Bybit,29395175,2025-11-21T07:35:00+00:00,2025-11-21,LONG,83765.55,1.039,1.501,0,0,0,1,0,LOSS,,,,-2.277,-1.976,-9.016,0.167,0.799,2.936,2.993,0.034,0.1098,4.601,3.414,600.0
W1,Bybit,29395214,2025-11-21T08:14:00+00:00,2025-11-21,SHORT,84461.35,2.01,0.207,1,0,0,0,0,WIN,78,,,-1.187,-1.967,-8.3,0.191,1.636,2.13,1.033,0.02,0.0703,4.396,3.267,600.0
W1,Bybit,29395244,2025-11-21T08:44:00+00:00,2025-11-21,LONG,83771.35,0.186,1.507,0,0,0,1,0,LOSS,,,,-0.64,-2.605,-9.174,0.195,0.806,2.93,1.058,0.012,-0.1713,3.069,4.804,600.0
W1,Bybit,29395278,2025-11-21T09:18:00+00:00,2025-11-21,LONG,83592.65,0.023,1.619,0,0,0,1,0,LOSS,,,,-0.974,-2.493,-9.048,0.198,0.591,3.137,0.374,0.012,0.1442,4.772,2.706,600.0
W1,Bybit,29395316,2025-11-21T09:56:00+00:00,2025-11-21,LONG,82453.75,0.973,1.63,0,0,0,1,0,LOSS,,,,-1.59,-3.619,-10.202,0.203,0.424,4.317,1.316,0.014,-0.0414,4.054,5.668,600.0
W1,Bybit,29395355,2025-11-21T10:35:00+00:00,2025-11-21,SHORT,82504.95,2.189,0.911,1,0,0,0,0,WIN,113,,,-0.514,-1.505,-10.178,0.155,0.813,3.748,0.831,0.012,0.0432,5.418,3.907,600.0
W1,Bybit,29395433,2025-11-21T11:53:00+00:00,2025-11-21,LONG,82253.85,0.097,1.89,0,0,0,1,0,LOSS,,,,-0.556,-1.778,-10.507,0.128,0.506,2.815,1.081,0.012,0.1579,5.353,3.224,600.0
W1,Bybit,29395465,2025-11-21T12:25:00+00:00,2025-11-21,LONG,81288.75,2.04,0.725,1,0,0,0,0,WIN,14,,,-2.171,-2.433,-11.322,0.14,0.261,3.675,1.549,0.012,-0.1456,3.711,5.825,600.0
W1,Bybit,29395480,2025-11-21T12:40:00+00:00,2025-11-21,SHORT,82710.55,0.0,1.777,0,0,0,1,0,LOSS,,,,0.285,0.064,-9.901,0.161,2.493,1.449,2.786,0.022,-0.0517,3.476,3.424,600.0
W1,Bybit,29395661,2025-11-21T15:41:00+00:00,2025-11-21,LONG,82948.55,2.114,0.634,1,0,0,0,0,WIN,75,,,-2.57,0.109,-8.22,0.173,2.788,2.848,1.857,0.023,-0.0001,3.398,3.58,600.0
W1,Bybit,29395703,2025-11-21T16:23:00+00:00,2025-11-21,SHORT,82934.95,0.0,1.797,0,0,0,1,0,LOSS,,,,-1.308,-0.939,-6.269,0.169,2.771,2.864,0.876,0.012,-0.1526,13.161,4.945,600.0
W1,Bybit,29395809,2025-11-21T18:09:00+00:00,2025-11-21,LONG,84088.55,1.659,0.932,0,0,0,0,1,TIMEOUT,,,,-1.478,-0.398,-3.847,0.153,2.021,1.584,1.71,0.014,0.1004,4.073,3.736,600.0
W1,Bybit,29395840,2025-11-21T18:40:00+00:00,2025-11-21,SHORT,84358.55,1.096,1.334,0,0,0,0,1,TIMEOUT,,,,-0.823,1.811,-2.643,0.153,2.349,1.268,1.41,0.012,0.0204,4.67,3.563,600.0
W1,Bybit,29395908,2025-11-21T19:48:00+00:00,2025-11-21,LONG,84350.75,1.343,1.087,0,0,0,0,1,TIMEOUT,,,,-0.638,0.725,-2.492,0.137,2.34,1.277,0.834,0.012,-0.1069,2.38,3.56,600.0
W1,Bybit,29395942,2025-11-21T20:22:00+00:00,2025-11-21,LONG,83814.85,1.991,0.454,0,0,0,0,1,TIMEOUT,,,,-1.197,-1.577,-3.584,0.124,1.061,1.904,0.631,0.012,0.1266,5.133,3.387,600.0
W1,Bybit,29395970,2025-11-21T20:50:00+00:00,2025-11-21,SHORT,84322.85,0.603,1.377,0,0,0,0,1,TIMEOUT,,,,0.042,-0.983,-2.702,0.13,1.222,1.31,1.335,0.012,-0.0967,3.427,3.448,600.0
W1,Bybit,29396076,2025-11-21T22:36:00+00:00,2025-11-21,LONG,84520.75,1.139,0.836,0,0,0,0,1,TIMEOUT,,,,-0.766,-0.227,-3.749,0.109,1.302,0.989,1.166,0.012,0.2129,4.262,3.34,600.0
W1,Bybit,29396108,2025-11-21T23:08:00+00:00,2025-11-21,LONG,84168.35,1.563,0.421,0,0,0,0,1,TIMEOUT,,,,-1.28,0.327,-3.93,0.111,0.88,1.402,0.897,0.012,0.0676,4.777,3.482,600.0
W1,Bybit,29396125,2025-11-21T23:25:00+00:00,2025-11-21,SHORT,84780.25,1.14,0.83,0,0,0,0,1,TIMEOUT,,,,0.01,1.137,-2.983,0.11,1.613,0.685,0.895,0.012,0.1549,5.048,2.85,600.0
W1,Bybit,29396240,2025-11-22T01:20:00+00:00,2025-11-22,SHORT,84845.95,1.216,0.387,0,0,0,0,1,TIMEOUT,,,,-0.426,-0.246,-2.348,0.093,0.905,0.746,0.351,0.012,0.0651,3.14,2.835,600.0
W1,Bybit,29396320,2025-11-22T02:40:00+00:00,2025-11-22,LONG,84341.45,0.475,0.868,0,0,0,0,1,TIMEOUT,,,,-0.776,-0.83,-2.434,0.08,0.305,1.336,0.571,0.012,0.087,3.237,2.618,600.0
W1,Bybit,29396349,2025-11-22T03:09:00+00:00,2025-11-22,SHORT,84499.95,1.166,0.286,0,0,0,0,1,TIMEOUT,,,,-0.455,-1.0,-1.517,0.078,0.37,1.151,0.308,0.012,-0.1018,2.527,3.046,600.0
W1,Bybit,29396402,2025-11-22T04:02:00+00:00,2025-11-22,SHORT,84397.55,1.046,0.408,0,0,0,0,1,TIMEOUT,,,,0.01,-0.416,-1.604,0.069,0.223,1.271,0.315,0.012,-0.4227,2.369,8.051,600.0
W1,Bybit,29396419,2025-11-22T04:19:00+00:00,2025-11-22,LONG,83933.35,0.963,0.499,0,0,0,0,1,TIMEOUT,,,,-0.642,-1.099,-1.971,0.068,0.028,1.54,0.673,0.012,0.2553,4.924,3.068,600.0
W1,Bybit,29396457,2025-11-22T04:57:00+00:00,2025-11-22,SHORT,84146.35,0.751,0.708,0,0,0,0,1,TIMEOUT,,,,-0.32,-1.027,-2.167,0.071,0.396,1.207,0.479,0.012,0.0195,3.513,2.682,600.0
W1,Bybit,29396509,2025-11-22T05:49:00+00:00,2025-11-22,SHORT,84051.85,0.639,0.821,0,0,0,0,1,TIMEOUT,,,,0.074,-0.3,-2.306,0.072,0.284,1.318,0.346,0.012,-0.17,5.093,6.758,600.0
W1,Bybit,29396615,2025-11-22T07:35:00+00:00,2025-11-22,SHORT,84405.15,1.055,0.25,0,0,0,0,1,TIMEOUT,,,,-0.273,0.664,0.764,0.063,0.705,0.397,0.214,0.012,-0.0931,3.386,5.902,600.0
W1,Bybit,29396681,2025-11-22T08:41:00+00:00,2025-11-22,LONG,83962.55,0.778,0.534,0,0,0,0,1,TIMEOUT,,,,-0.62,0.103,0.074,0.058,0.141,0.919,0.718,0.012,0.3523,5.199,2.506,600.0
W1,Bybit,29396714,2025-11-22T09:14:00+00:00,2025-11-22,SHORT,84261.75,0.887,0.634,0,0,0,0,1,TIMEOUT,,,,-0.269,0.021,0.705,0.055,0.498,0.566,0.48,0.012,-0.2371,1.894,3.497,600.0
W1,Bybit,29396774,2025-11-22T10:14:00+00:00,2025-11-22,SHORT,84129.15,0.731,0.793,0,0,0,0,1,TIMEOUT,,,,-0.157,-0.365,2.511,0.06,0.344,0.723,0.407,0.012,0.1125,4.523,3.411,600.0
W1,Bybit,29396824,2025-11-22T11:04:00+00:00,2025-11-22,SHORT,83630.55,0.057,1.394,0,0,0,0,1,TIMEOUT,,,,-0.385,-0.947,0.859,0.062,0.139,1.16,0.26,0.012,0.055,3.965,3.554,600.0
W1,Bybit,29396907,2025-11-22T12:27:00+00:00,2025-11-22,LONG,83619.25,1.407,0.034,0,0,0,0,1,TIMEOUT,,,,-0.725,-0.522,3.203,0.068,0.125,0.811,0.715,0.029,-0.2384,3.94,6.597,600.0
W1,Bybit,29396933,2025-11-22T12:53:00+00:00,2025-11-22,SHORT,83794.55,0.168,1.195,0,0,0,0,1,TIMEOUT,,,,-0.509,-0.214,0.317,0.065,0.335,0.603,0.336,0.012,-0.4705,4.155,11.415,600.0
W1,Bybit,29397135,2025-11-22T16:15:00+00:00,2025-11-22,SHORT,84534.05,0.376,0.727,0,0,0,0,1,TIMEOUT,,,,0.169,0.596,2.0,0.062,1.138,0.097,0.667,0.012,0.0759,4.432,2.534,600.0
W1,Bybit,29397211,2025-11-22T17:31:00+00:00,2025-11-22,SHORT,84612.65,0.469,0.634,0,0,0,0,1,TIMEOUT,,,,0.045,0.16,-0.752,0.058,1.096,0.216,0.287,0.012,0.4251,4.3,1.362,600.0
W1,Bybit,29397252,2025-11-22T18:12:00+00:00,2025-11-22,SHORT,84568.45,0.417,0.686,0,0,0,0,1,TIMEOUT,,,,0.157,0.314,0.961,0.054,0.675,0.268,0.213,0.018,-0.1617,2.866,3.468,600.0
W1,Bybit,29397291,2025-11-22T18:51:00+00:00,2025-11-22,SHORT,84602.25,0.457,0.646,0,0,0,0,1,TIMEOUT,,,,0.11,0.569,-0.27,0.051,0.716,0.228,0.197,0.012,0.3248,4.794,1.992,600.0
W1,Bybit,29397354,2025-11-22T19:54:00+00:00,2025-11-22,SHORT,84623.65,0.482,0.621,0,0,0,0,1,TIMEOUT,,,,0.056,-0.021,0.571,0.044,0.646,0.203,0.251,0.012,-0.2311,2.619,5.617,597.0
W1,Bybit,29397433,2025-11-22T21:13:00+00:00,2025-11-22,LONG,84257.25,1.058,0.023,0,0,0,0,1,TIMEOUT,,,,-0.575,-0.412,-0.363,0.046,0.049,0.599,0.302,0.012,0.2408,10.026,5.865,600.0
W1,Bybit,29397464,2025-11-22T21:44:00+00:00,2025-11-22,SHORT,84370.95,0.157,0.922,0,0,0,0,1,TIMEOUT,,,,-0.02,-0.176,-0.986,0.046,0.184,0.465,0.165,0.012,0.0615,5.099,2.896,600.0
W1,Bybit,29397496,2025-11-22T22:16:00+00:00,2025-11-22,SHORT,84517.15,0.035,0.748,0,0,0,0,1,TIMEOUT,,,,0.212,-0.211,-0.721,0.048,0.358,0.293,0.496,0.012,0.203,3.573,1.786,600.0
W1,Bybit,29397594,2025-11-22T23:54:00+00:00,2025-11-22,LONG,84676.55,0.04,0.058,0,0,0,0,1,TIMEOUT,,,,-0.555,0.507,-0.464,0.06,0.547,0.555,0.357,0.012,-0.0669,3.382,3.281,600.0
W2,Bybit,29512924,2026-02-11T02:04:00+00:00,2026-02-11,SHORT,69055.05,2.004,0.028,1,0,0,0,0,WIN,143,,,-0.278,,,0.058,0.434,0.298,0.286,0.014,0.0519,2.788,1.651,600.0
W2,Bybit,29512970,2026-02-11T02:50:00+00:00,2026-02-11,LONG,68652.95,0.048,1.635,0,0,0,1,0,LOSS,,,,-0.528,,,0.059,0.077,0.878,0.691,0.015,-0.3286,1.499,4.766,600.0
W2,Bybit,29513002,2026-02-11T03:22:00+00:00,2026-02-11,LONG,68134.95,0.526,1.56,0,0,0,1,0,LOSS,,,,-1.27,-1.266,,0.064,0.162,1.626,0.972,0.015,0.0916,3.181,1.824,600.0
W2,Bybit,29513040,2026-02-11T04:00:00+00:00,2026-02-11,LONG,68218.05,0.089,1.513,0,0,0,1,0,LOSS,,,,-0.638,-1.372,,0.064,0.285,1.506,0.502,0.015,0.4122,6.283,1.845,600.0
W2,Bybit,29513071,2026-02-11T04:31:00+00:00,2026-02-11,LONG,67541.65,0.304,1.51,0,0,0,1,0,LOSS,,,,-1.171,-2.047,,0.074,0.02,2.483,1.112,0.015,0.0599,2.808,2.186,600.0
W2,Bybit,29513103,2026-02-11T05:03:00+00:00,2026-02-11,SHORT,67649.75,1.912,0.144,0,0,0,0,1,TIMEOUT,,,,-0.832,-2.08,,0.083,0.468,2.307,0.544,0.015,-0.1982,1.134,2.337,600.0
