date,dir,true_mfe,true_mae,class,eng_ofi,reclaim,supp_taker15,regime_1d
2026-05-29,SHORT,1.09,-1.453,MID,-0.22924861109129027,0,0.0232,RANGE
2026-05-29,SHORT,1.145,-1.397,MID,-0.251191945120827,0,-0.1998,RANGE
2026-05-29,SHORT,0.896,-1.652,MID,0.043804589052185594,1,0.1121,RANGE
2026-05-29,SHORT,0.777,-1.774,MID,-0.38994655881179585,1,-0.013,RANGE
2026-05-29,SHORT,0.918,-1.629,MID,-0.18014201937868285,0,-0.1822,RANGE
2026-05-29,LONG,1.561,-0.985,MID,0.14014955896630688,1,0.1612,RANGE
2026-05-29,LONG,0.875,-0.708,MID,0.298225356954096,1,0.2058,BULL
2026-05-29,LONG,2.26,-0.038,WEAK_WIN_2,0.22906032986779132,0,-0.1358,RANGE
2026-05-29,LONG,0.702,-0.878,MID,0.058300015122157295,0,-0.1354,BULL
2026-05-29,LONG,0.702,-0.878,MID,0.037879356626509944,0,-0.1354,BULL
2026-05-29,LONG,0.702,-0.878,MID,-0.45340620364510853,0,-0.1354,BULL
2026-05-30,LONG,0.826,-0.419,MID,0.01829419941643387,1,0.0263,RANGE
2026-05-30,LONG,0.722,-0.521,MID,0.16689066517573328,0,0.0062,RANGE
2026-05-30,SHORT,0.782,-0.457,MID,0.06693630239354059,0,0.0133,RANGE
2026-05-30,SHORT,0.637,-0.604,MID,-0.04448936326389534,1,0.0292,RANGE
2026-05-30,SHORT,0.591,-0.651,MID,-0.011065542995879567,0,-0.2767,RANGE
2026-05-30,SHORT,0.433,-0.811,MID,-0.06652450903693248,0,-0.1218,RANGE
2026-05-30,SHORT,0.317,-0.929,MID,-0.29007112627683723,0,0.1478,RANGE
2026-05-30,LONG,0.541,-0.7,MID,0.38696355217593825,0,0.014,RANGE
2026-05-30,LONG,0.613,-0.629,MID,0.040569826947352526,1,0.1544,RANGE
2026-05-30,LONG,1.004,-0.036,MID,0.23795774593822364,1,0.371,RANGE
2026-05-30,LONG,0.981,-0.059,MID,0.087276265162813,1,0.3088,RANGE
2026-05-30,SHORT,0.006,-1.149,MID,-0.19336114107024038,1,0.0189,RANGE
2026-05-30,SHORT,0.036,-1.004,MID,-0.12512212133411652,0,-0.3193,RANGE
2026-05-30,LONG,0.614,-0.239,MID,-0.21349923885978989,0,0.2178,RANGE
2026-05-30,LONG,0.572,-0.0,MID,0.1169107775545841,0,-0.4458,RANGE
2026-05-30,LONG,0.184,-0.194,MID,-0.1760986306912413,1,0.0456,BULL
2026-05-30,SHORT,0.265,-0.062,MID,0.08150550721212108,0,-0.1705,BULL
2026-05-30,SHORT,0.134,-0.162,MID,-0.26134670833837353,1,0.2228,BULL
2026-05-30,LONG,0.0,-0.298,MID,-0.1410227337604367,1,0.0706,BULL
