zone_id,date,dir,regime,class,true_mfe,true_mae,time_to_2_min,time_to_2_5_min
BTC-USDT-SWAP-SHORT-1778031654000-6,2026-05-06,SHORT,RANGE,MID,0.607,-1.87,,
BTC-USDT-SWAP-LONG-1778032801000-9,2026-05-06,LONG,RANGE,MID,1.913,-0.565,,
BTC-USDT-SWAP-SHORT-1778039399000-13,2026-05-06,SHORT,RANGE,MID,0.876,-1.595,,
BTC-USDT-SWAP-SHORT-1778038633000-11,2026-05-06,SHORT,RANGE,MID,0.977,-1.491,,
BTC-USDT-SWAP-SHORT-1778038834000-12,2026-05-06,SHORT,RANGE,MID,0.866,-1.606,,
BTC-USDT-SWAP-LONG-1778037800000-10,2026-05-06,LONG,RANGE,MID,1.489,-0.98,,
BTC-USDT-SWAP-LONG-1778050121000-14,2026-05-06,LONG,RANGE,MID,1.672,-0.948,,
BTC-USDT-SWAP-LONG-1778051356000-15,2026-05-06,LONG,RANGE,MID,1.63,-0.989,,
BTC-USDT-SWAP-SHORT-1778032528000-8,2026-05-06,SHORT,RANGE,MID,0.713,-1.762,,
BTC-USDT-SWAP-LONG-1778057021000-17,2026-05-06,LONG,RANGE,MID,1.385,-1.228,,
BTC-USDT-SWAP-SHORT-1778032378000-7,2026-05-06,SHORT,RANGE,MID,0.698,-1.777,,
BTC-USDT-SWAP-LONG-1778057897000-18,2026-05-06,LONG,RANGE,MID,1.346,-1.266,,
BTC-USDT-SWAP-LONG-1778061631000-20,2026-05-06,LONG,RANGE,MID,1.016,-1.587,,
BTC-USDT-SWAP-LONG-1778063999000-23,2026-05-06,LONG,RANGE,MID,0.704,-2.062,,
BTC-USDT-SWAP-SHORT-1778056721000-16,2026-05-06,SHORT,RANGE,MID,1.472,-1.134,,
BTC-USDT-SWAP-SHORT-1778058706000-19,2026-05-06,SHORT,RANGE,MID,1.585,-1.019,,
BTC-USDT-SWAP-LONG-1778065309000-25,2026-05-06,LONG,RANGE,MID,0.503,-2.258,,
BTC-USDT-SWAP-SHORT-1778062954000-21,2026-05-06,SHORT,RANGE,MID,1.81,-0.788,,
BTC-USDT-SWAP-SHORT-1778063175000-22,2026-05-06,SHORT,RANGE,MID,1.896,-0.875,,
BTC-USDT-SWAP-SHORT-1778064176000-24,2026-05-06,SHORT,RANGE,WEAK_WIN_2,2.097,-0.669,1409.3,
BTC-USDT-SWAP-LONG-1778067069000-28,2026-05-06,LONG,RANGE,MID,0.097,-2.582,,
BTC-USDT-SWAP-SHORT-1778066220000-27,2026-05-06,SHORT,RANGE,WEAK_WIN_2,2.187,-0.17,958.8,
BTC-USDT-SWAP-LONG-1778066012000-26,2026-05-06,LONG,RANGE,MID,0.105,-2.575,,
BTC-USDT-SWAP-SHORT-1778073528000-29,2026-05-06,SHORT,RANGE,MID,1.739,-0.084,,
BTC-USDT-SWAP-SHORT-1778073949000-30,2026-05-06,SHORT,RANGE,MID,1.711,-0.113,,
BTC-USDT-SWAP-SHORT-1778075837000-31,2026-05-06,SHORT,RANGE,MID,1.289,-0.844,,
BTC-USDT-SWAP-LONG-1778079442000-32,2026-05-06,LONG,RANGE,MID,0.443,-1.819,,
BTC-USDT-SWAP-SHORT-1778112468000-3,2026-05-07,SHORT,RANGE,WEAK_WIN_2,2.443,-0.336,912.0,
BTC-USDT-SWAP-SHORT-1778112289000-2,2026-05-07,SHORT,RANGE,WEAK_WIN_2,2.339,-0.443,919.1,
BTC-USDT-SWAP-SHORT-1778113324000-4,2026-05-07,SHORT,RANGE,WEAK_WIN_2,2.075,-0.715,1009.4,
BTC-USDT-SWAP-SHORT-1778115168000-7,2026-05-07,SHORT,RANGE,MID,1.928,-0.867,,
BTC-USDT-SWAP-LONG-1778120977000-9,2026-05-07,LONG,RANGE,MID,0.988,-1.952,,
BTC-USDT-SWAP-SHORT-1778120564000-8,2026-05-07,SHORT,RANGE,MID,1.916,-1.025,,
