cluster_id,rep_zone_id,date,direction,confirmedTs,entry,outcome_class,hit2,hit2_5,hit3,MFE,MAE,time_to_2_min,time_to_2_5_min,time_to_3_min,zones_in_cluster,duplicate_count,regime,setup_family,is_live_detectable,range_pos,dist_to_range_low_pct,dist_to_range_high_pct,dist_to_range_mid_pct,sweep_high,sweep_low,reclaim_zoneMid,rejection_proof,OFI,taker_imb_15m,taker_imb_5m,microprice_5m_bps,thin_path_score,opposing_wall_score,wall_persistence_sec,refill_proxy_eng,supp_refill_ratio_5m,entropy,prior_move_60m,prior_move_180m,prior_move_1d,local_volatility_180m,net_flow_5m,depth_imb_top25
noise|SHORT|2026-05-03|1777810607000,BTC-USDT-SWAP-SHORT-1777810253000-16,2026-05-03,SHORT,1777810607000,78762.6,NOISE,0,0,0,0.782,-2.33,,,,1,0,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.806,0.806,0.19399999999999995,0.30600000000000005,0,0,1,1,0.12503634456487708,-0.2889,-0.1025,0.141,0.0986,55,288,0.5043808979111241,1.0009,0.2469,0.3409,0.5138,0.3908,0.6654,2463.63,0.2161
noise|SHORT|2026-05-04|1777854418000,BTC-USDT-SWAP-SHORT-1777853802000-2,2026-05-04,SHORT,1777854418000,78276.5,NOISE,0,0,0,0.216,-3.155,,,,2,1,RANGE,UNCLEAR,0,0.043,0.043,0.957,0.457,0,0,1,1,-0.04558621122888584,0.1132,-0.3166,0.401,0.0967,60,278,0.4993525916999048,1.0004,0.2073,-0.4861,-0.7719,-0.3862,1.5384,2107.47,-0.8327
noise|SHORT|2026-05-04|1777881239000,BTC-USDT-SWAP-SHORT-1777881059000-15,2026-05-04,SHORT,1777881239000,79719.4,NOISE,0,0,0,1.973,-2.132,,,,3,2,RANGE,ABSORPTION_REVERSAL,1,0.291,0.291,0.7090000000000001,0.20900000000000002,0,0,1,1,-0.2640132218246316,-0.339,-0.298,15.238,0.0948,51,300,0.4980852091788179,0.9998,0.2533,-0.247,-0.6921,1.7427,1.1666,-2142.6,-0.4725
noise|SHORT|2026-05-04|1777892670000,BTC-USDT-SWAP-SHORT-1777892028000-19,2026-05-04,SHORT,1777892670000,78905.4,NOISE,0,0,0,0.626,-3.515,,,,4,3,RANGE,UNCLEAR,0,0.434,0.434,0.5660000000000001,0.066,0,1,0,1,0.23068888544480043,0.1887,-0.1006,2.459,0.103,40,260,0.5003965089881579,1.0007,0.4459,-0.3479,-0.8886,0.657,2.2369,3908.65,0.6558
noise|SHORT|2026-05-05|1777940556000,BTC-USDT-SWAP-SHORT-1777939775000-2,2026-05-05,SHORT,1777940556000,79863.8,NOISE,0,0,0,0.12,-2.439,,,,5,4,RANGE,UNCLEAR,0,0.241,0.241,0.759,0.259,0,0,1,1,-0.2728182705588874,0.0239,-0.1673,0.282,0.1003,64,294,0.5008658158009629,1.0033,0.2582,0.0104,-0.2796,2.008,0.8199,5842.65,0.9348
noise|SHORT|2026-05-05|1777953836000,BTC-USDT-SWAP-SHORT-1777952593000-15,2026-05-05,SHORT,1777953836000,80855.1,NOISE,0,0,0,0.505,-1.159,,,,2,1,RANGE,LIQUIDITY_SWEEP_REVERSAL,1,0.784,0.784,0.21599999999999997,0.28400000000000003,1,0,1,1,-0.047374015557810595,0.1012,-0.1014,0.353,0.0932,86,291,0.5033336209342979,1.001,0.3513,0.4973,0.9973,0.5888,1.2789,2672.63,0.438
noise|SHORT|2026-05-05|1777961508000,BTC-USDT-SWAP-SHORT-1777959677000-18,2026-05-05,SHORT,1777961508000,80879.9,NOISE,0,0,0,0.49,-1.128,,,,1,0,RANGE,LIQUIDITY_SWEEP_REVERSAL,1,0.425,0.425,0.575,0.07500000000000001,1,0,1,1,-0.2140555566145288,0.129,-0.1513,1.802,0.0978,62,298,0.5021924713632392,1.0005,0.2459,-0.0429,0.394,1.1926,0.9277,298.88,0.9321
noise|SHORT|2026-05-05|1777988368000,BTC-USDT-SWAP-SHORT-1777988035000-24,2026-05-05,SHORT,1777988368000,81372.2,NOISE,0,0,0,0.99,-1.973,,,,3,2,TREND_UP,LIQUIDITY_SWEEP_REVERSAL,1,0.686,0.686,0.31399999999999995,0.18600000000000005,1,0,1,1,-0.10469382604872257,-0.0341,-0.0998,3.851,0.0947,82,290,0.5002070133262461,0.9998,0.3336,0.2059,0.759,3.1072,1.2447,-172.89,-0.3675
noise|SHORT|2026-05-06|1778026702000,BTC-USDT-SWAP-SHORT-1778026522000-4,2026-05-06,SHORT,1778026702000,81098.4,NOISE,0,0,0,0.977,-2.184,,,,9,8,RANGE,ABSORPTION_REVERSAL,1,0.429,0.429,0.571,0.07100000000000001,0,0,1,1,-0.05952365261173891,-0.2694,-0.4295,3.573,0.0986,46,292,0.49997275500525695,0.9982,0.3828,0.002,-0.5493,1.5127,1.0382,-5346.76,-0.7781
noise|SHORT|2026-05-06|1778063355000,BTC-USDT-SWAP-SHORT-1778063175000-22,2026-05-06,SHORT,1778063355000,82081.8,NOISE,0,0,0,1.896,-1.134,,,,4,3,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.864,0.864,0.136,0.364,0,0,1,1,-0.16068758662705543,-0.165,-0.1464,3.445,0.0945,84,283,0.49922173276126486,1.0006,0.2921,0.4446,0.7192,1.714,1.1566,7954.41,0.767
