id,_date,direction,zoneType,sim_label,sim_outcome,sim_pnl_after_cost,true_mfe,true_mae,explainable_score,dist_to_recent_swing_high_pct,dl2_supp_minus_opp_net_flow_15m,dl2_microprice_aligned_delta_5m_bps,ms_thin_path_score,ms_large_walls_on_path,eng_ofi,eng_void,eng_refill,supportive_taker_imb_15m,taker_imbalance_15m,spread_now_bps,book_entropy_top25,reclaim_zoneMid_preconfirm,regime_1d,uniq_score_pctile_vs_prior,funding_rate_at_signal
BTCUSDT-LONG-1779360866000-17,2026-05-21,LONG,ACCUMULATION,MID,TIMEOUT,-0.0393,1.135,-0.636,0.0814,1.2852,125.341,0.803,0.1035,8,0.1821990999097461,0,0.5024167290827707,-0.1546,-0.1546,0.013,0.3612,0,RANGE,26.7,6.186e-05
BTCUSDT-LONG-1779378060000-24,2026-05-21,LONG,ACCUMULATION,NOISE,TIMEOUT,-0.6031,1.117,-0.872,0.1075,0.2303,-37.88,-0.038,0.1029,13,-0.025458090057007755,0,0.49858003471976226,-0.139,-0.139,0.013,0.2968,0,RANGE,22.7,6.195e-05
BTCUSDT-LONG-1779366351000-19,2026-05-21,LONG,ACCUMULATION,MID,TIMEOUT,0.2031,1.227,-0.546,0.7528,1.1269,-29.626,1.191,0.1039,8,0.08437464552413017,0,0.5038022425305015,-0.2797,-0.2797,0.026,0.3511,1,RANGE,64.7,6.38e-05
BTCUSDT-SHORT-1779372363000-23,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,0.086,0.305,-1.466,0.4613,0.5291,-255.227,2.983,0.1027,11,-0.026508197122268273,0.0338788096856415,0.49998348830928435,0.0338,-0.0338,0.039,0.1813,1,RANGE,38.1,6.233e-05
BTCUSDT-SHORT-1779371412000-22,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,-0.1043,0.468,-1.243,0.2513,0.7088,1158.529,1.133,0.1045,8,0.17689867481058716,0,0.5002938678791472,-0.0398,0.0398,0.013,0.4956,0,RANGE,30.0,6.455e-05
BTCUSDT-SHORT-1779359514000-15,2026-05-21,SHORT,DISTRIBUTION,MID,TIMEOUT,-0.0617,0.84,-0.928,1.2415,1.0781,326.912,0.929,0.1053,6,0.17127451040594313,0.22250847911616967,0.5000897408114746,0.0444,-0.0444,0.013,0.3679,0,RANGE,78.6,6.031e-05
BTCUSDT-LONG-1779371350000-21,2026-05-21,LONG,ACCUMULATION,MID,TIMEOUT,-0.026,1.226,-0.485,1.4381,0.6915,765.119,2.247,0.1036,9,0.14351598080926709,0,0.49988509329827996,0.0679,0.0679,0.013,0.3675,1,RANGE,94.7,6.217e-05
BTCUSDT-LONG-1779371170000-20,2026-05-21,LONG,ACCUMULATION,MID,TIMEOUT,0.2777,1.643,-0.076,0.9134,1.1426,905.79,10.126,0.1053,6,0.16356236821848322,0.05813769963120363,0.5000311454047429,-0.1745,-0.1745,0.013,0.4847,0,BEAR,66.7,6.078e-05
BTCUSDT-SHORT-1779391977000-25,2026-05-21,SHORT,DISTRIBUTION,GOOD,WIN,1.86,2.599,-0.289,0.0978,0.5484,88.099,-0.254,0.1058,5,-0.05499420742456944,0,0.49935626849957054,-0.1748,0.1748,0.013,0.2752,0,RANGE,21.7,6.33e-05
BTCUSDT-SHORT-1779422839000-5,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.401,-0.04,-0.4562,0.0096,42.49,-6.677,0.1049,7,0.8231903283156067,0.3676856332381421,0.5002181500405289,-0.2236,0.2236,0.013,0.3034,0,RANGE,3.6,3.297e-05
BTCUSDT-SHORT-1779416443000-4,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.15,-0.299,1.2594,0.0868,-37.543,4.079,0.1054,4,0.5339892290334477,0.16048946062093405,0.500334301716198,-0.1741,0.1741,0.013,0.4111,0,RANGE,85.2,4.135e-05
BTCUSDT-SHORT-1779414465000-3,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.146,-0.304,-0.4778,0.0099,-21.831,-16.726,0.1056,4,0.36769580629672777,0.10490701689664661,0.500439619947946,-0.3254,0.3254,0.013,0.5115,0,RANGE,0.0,4.532e-05
BTCUSDT-SHORT-1779409025000-1,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,2.745,-0.535,0.1544,0.1994,-274.675,-6.081,0.1057,5,0.29458267517085346,0.1820298671913687,0.5004836752579647,0.0368,-0.0368,0.013,0.4213,0,RANGE,29.2,3.237e-05
BTCUSDT-SHORT-1779411938000-2,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,2.822,-0.64,0.1951,0.3032,-382.661,-3.776,0.1046,5,0.23910121836491527,0.21999267389390387,0.4997796297003665,0.093,-0.093,0.013,0.3284,0,RANGE,36.0,3.68e-05
BTCUSDT-SHORT-1779440811000-6,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.889,-0.444,0.423,0.5887,-114.452,-1.546,0.1029,12,0.18557005414904118,0.2761582787136133,0.5015173379144969,0.0251,-0.0251,0.013,0.3626,0,BEAR,48.3,1.15e-06
BTCUSDT-SHORT-1779459206000-11,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.633,-0.089,0.6178,0.7108,-131.946,12.619,0.1016,15,0.14091827933003856,0.05940269461899306,0.4995977343958405,0.0732,-0.0732,0.013,0.4766,1,RANGE,54.8,2.648e-05
BTCUSDT-LONG-1779456909000-9,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.16,-3.862,0.6724,0.4716,194.046,0.817,0.1026,13,0.17468051462713585,0,0.5078298328848789,-0.1907,-0.1907,0.013,0.3666,0,RANGE,56.7,2.153e-05
BTCUSDT-SHORT-1779460506000-12,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.347,-0.387,0.135,1.0103,2895.728,-0.015,0.1007,20,-0.22650510133662152,0.4671905016642407,0.499713484584902,-0.0647,0.0647,0.013,0.4434,1,RANGE,30.3,2.761e-05
BTCUSDT-SHORT-1779467230000-16,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.506,-0.221,-0.0408,0.8026,-89.418,-0.051,0.1023,16,0.058887430126850826,0,0.49949032834207496,-0.0401,0.0401,0.013,0.3375,0,RANGE,18.9,3.171e-05
BTCUSDT-LONG-1779464653000-14,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.402,-3.333,1.6486,1.0249,-2.768,2.243,0.1041,10,0.32607805336607465,0,0.5001717338054799,0.069,0.069,0.013,0.3624,1,RANGE,97.1,2.888e-05
BTCUSDT-SHORT-1779465008000-15,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.326,-0.409,0.1823,1.032,102.587,0.454,0.1028,14,0.26250277294290886,0.17717965383944556,0.4883567710359725,-0.1142,0.1142,0.013,0.3636,0,RANGE,36.1,2.891e-05
BTCUSDT-LONG-1779458993000-10,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.291,-3.44,-0.1005,0.9131,240.715,-0.066,0.1038,9,0.14894482821897423,0,0.5008634974787575,-0.1275,-0.1275,0.013,0.4441,0,RANGE,12.5,2.658e-05
BTCUSDT-SHORT-1779461413000-13,2026-05-22,SHORT,DISTRIBUTION,GOOD,WIN,1.86,3.342,-0.392,0.3549,1.0155,-2050.926,3.259,0.101,21,0.052577438229287614,0.4684300887345769,0.5001145038505833,-0.4115,0.4115,0.013,0.3126,0,RANGE,44.1,2.394e-05
BTCUSDT-LONG-1779476321000-17,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.016,-3.053,0.8929,0.6917,540.915,0.815,0.1058,6,0.09978802199711254,0.12542875559150557,0.5004233040488666,0.1249,0.1249,0.013,0.3526,1,BEAR,73.7,3.581e-05
BTCUSDT-LONG-1779476493000-18,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.226,-2.631,0.5126,1.1308,555.197,0.646,0.108,3,0.044915182450126184,0.28497933186671975,0.4987039718169705,-0.2457,-0.2457,0.013,0.347,0,BEAR,53.8,3.318e-05
BTCUSDT-LONG-1779477261000-19,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.19,-2.665,0.0107,1.0946,605.029,-0.024,0.1079,2,0.22068815431727196,0.29685175723155355,0.4982000842573964,-0.2353,-0.2353,0.013,0.4908,0,BEAR,20.0,3.512e-05
BTCUSDT-SHORT-1779478080000-20,2026-05-22,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.4045,1.933,-0.512,0.5441,1.8551,-1833.536,2.284,0.1015,17,0.1306254461552012,0.5199397141071032,0.5006888297815031,0.0168,-0.0168,0.013,0.6522,1,BEAR,56.1,3.554e-05
BTCUSDT-SHORT-1779478203000-21,2026-05-22,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.4045,1.933,-0.512,0.5441,1.8551,-1833.536,2.284,0.1015,17,0.18754436634478208,0.5199397141071032,0.5006888297815031,0.0168,-0.0168,0.013,0.6522,1,BEAR,57.1,3.554e-05
BTCUSDT-LONG-1779483676000-24,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,1.913,-2.33,0.8105,1.4429,-37.593,1.536,0.1078,4,0.12033137931564225,0.29242676741383833,0.505369972467177,0.005,0.005,0.013,0.3609,1,BEAR,75.6,2.229e-05
BTCUSDT-LONG-1779480095000-23,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.285,-2.155,0.5744,1.6248,407.24,3.944,0.1079,4,0.0903002816035859,0.42239886265347326,0.5000851659246646,0.0671,0.0671,0.013,0.4073,0,BEAR,59.1,3.609e-05
BTCUSDT-LONG-1779479332000-22,2026-05-22,LONG,ACCUMULATION,NOISE,LOSS,-1.64,0.191,-2.246,0.1406,1.5299,686.737,-0.052,0.1077,3,0.24199445790082189,0.39558762887568155,0.5020536566309451,0.038,0.038,0.013,0.5084,1,BEAR,30.2,3.554e-05
BTCUSDT-SHORT-1779494198000-27,2026-05-22,SHORT,DISTRIBUTION,NOISE,LOSS,-1.64,1.728,-2.541,1.6223,0.7231,959.447,3.381,0.1039,9,0.11367092895925156,0.11336258946831457,0.4959829899409101,0.1708,-0.1708,0.013,0.3268,1,BEAR,95.7,1.749e-05
BTCUSDT-LONG-1779494431000-1,2026-05-23,LONG,ACCUMULATION,NOISE,LOSS,-1.64,2.556,-1.713,0.1935,0.157,1655.829,-7.005,0.1087,8,-0.9793417233974,0.9149587991802913,0.49806903636343947,-0.043,-0.043,0.013,0.3319,0,BEAR,36.2,1.984e-05
BTCUSDT-LONG-1779496376000-2,2026-05-23,LONG,ACCUMULATION,NOISE,LOSS,-1.64,2.774,-1.505,-0.5394,0.3698,-472.85,-8.511,0.108,6,-0.9902697584403919,0.8989927491744377,0.5032958811146535,-0.1826,-0.1826,0.013,0.1932,0,BEAR,0.0,2.987e-05
BTCUSDT-LONG-1779496841000-3,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,2.911,-1.374,0.3522,0.5033,-244.507,0.307,0.1079,6,-0.9905550233043866,0.9078924795914421,0.49973203976438557,-0.2214,-0.2214,0.013,0.3448,0,BEAR,42.9,3.118e-05
BTCUSDT-LONG-1779525537000-7,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,4.084,-0.027,-0.5552,1.5313,-611.191,-10.763,0.1039,13,-0.9944242177355705,0.9529343129381271,0.5049952689458987,-0.1846,-0.1846,0.013,0.4194,0,BEAR,3.8,3.13e-06
BTCUSDT-LONG-1779531708000-8,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,3.646,-0.11,-0.0183,1.0057,546.908,-2.664,0.1025,17,-0.9949221428358492,0.9528961687056721,0.4953695599256628,0.0272,0.0272,0.013,0.3353,0,BEAR,24.1,4.576e-05
BTCUSDT-LONG-1779542022000-9,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,3.541,-0.14,0.2906,0.115,25.302,-6.327,0.1008,17,-0.9956000855299748,0.9553865690703088,0.500797901096454,0.1674,0.1674,0.013,0.2164,0,BEAR,47.3,8.269e-05
BTCUSDT-LONG-1779522387000-4,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,3.127,-1.166,-0.3109,0.7255,923.625,-23.068,0.1034,12,-0.9939095556554398,0.9323914651486678,0.5065350170000062,-0.0083,-0.0083,0.027,0.2167,0,BEAR,6.0,1.76e-05
BTCUSDT-LONG-1779547725000-10,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,2.911,-0.095,-0.1302,0.1094,-978.089,-4.451,0.1039,10,-0.9937586723660159,0.9024942119957555,0.49568332000308457,0.1808,0.1808,0.013,0.4522,0,BEAR,16.1,8.719e-05
BTCUSDT-LONG-1779549307000-11,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,2.681,-0.318,0.248,0.1282,742.244,-2.952,0.1032,12,-0.9932409276799704,0.8824449247046011,0.517431807567396,-0.0784,-0.0784,0.013,0.4078,0,BEAR,45.6,8.217e-05
BTCUSDT-LONG-1779560787000-12,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,2.405,-0.072,-0.7536,0.2737,46.899,-25.311,0.1052,13,-0.9907737963341394,0.7776248863670691,0.5005607055715933,0.2292,0.2292,0.013,0.3073,0,BEAR,3.4,7.65e-05
BTCUSDT-LONG-1779567762000-13,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,2.095,-0.111,-0.6505,0.2237,-1126.489,-11.244,0.1051,10,-0.9881534092405939,0.7357137168091967,0.5074101003300429,-0.1209,-0.1209,0.013,0.3256,0,RANGE,5.1,6.177e-05
BTCUSDT-LONG-1779569432000-14,2026-05-23,LONG,ACCUMULATION,NOISE,TIMEOUT,-0.3129,1.096,-0.728,0.6635,0.2079,-261.351,3.859,0.1049,10,-0.04407121996487767,0.12536635117216255,0.5069296837094894,-0.0782,-0.0782,0.013,0.1629,0,BULL,70.0,6.594e-05
BTCUSDT-LONG-1779569504000-15,2026-05-23,LONG,ACCUMULATION,NOISE,TIMEOUT,-0.3625,1.049,-0.775,0.0116,0.1613,-405.229,-0.652,0.1046,11,-0.4605402360671971,0.07362169819258046,0.49787488354531034,-0.0888,-0.0888,0.013,0.3427,0,BULL,29.5,6.594e-05
BTCUSDT-SHORT-1779573673000-18,2026-05-23,SHORT,DISTRIBUTION,MID,TIMEOUT,0.0784,0.963,-1.047,-0.1102,0.8218,232.075,0.779,0.1082,6,-0.07159361251132455,0.10923045570120127,0.5078502705893311,-0.202,0.202,0.013,0.3507,1,BULL,20.3,7.139e-05
BTCUSDT-SHORT-1779572854000-17,2026-05-23,SHORT,DISTRIBUTION,MID,TIMEOUT,0.4354,0.939,-1.072,-0.4017,0.8466,-1378.964,-0.006,0.1081,6,0.058368817228526104,0.09117413713166478,0.5025316063622507,-0.0867,0.0867,0.013,0.3398,0,BULL,12.7,7.051e-05
BTCUSDT-LONG-1779522735000-5,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,3.922,-0.265,-0.9427,1.5023,623.295,-64.738,0.1055,9,-0.9937487465426821,0.9421874952795523,0.5004583945664861,-0.1275,-0.1275,0.013,0.4238,0,BEAR,0.0,1.177e-05
BTCUSDT-LONG-1779522811000-6,2026-05-23,LONG,ACCUMULATION,GOOD,WIN,1.86,3.908,-0.279,-0.8897,1.4833,686.007,-10.34,0.1041,13,-0.9940121014991941,0.946295843202713,0.5035442198222894,0.1099,0.1099,0.013,0.4648,0,BEAR,1.9,7.94e-06
BTCUSDT-LONG-1779569722000-16,2026-05-23,LONG,ACCUMULATION,NOISE,TIMEOUT,-0.9191,1.181,-0.79,1.0404,0.9556,357.217,6.584,0.1062,6,-0.21120537581609675,0,0.5007014662904679,0.0409,0.0409,0.013,0.4114,0,BULL,83.9,6.671e-05
BTCUSDT-SHORT-1779575764000-19,2026-05-23,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.7435,0.529,-1.491,0.3967,1.2644,784.887,-0.515,0.1082,3,-0.024613204298450132,0.15142350593785892,0.500669510441668,-0.0111,0.0111,-0.196,0.4483,1,BULL,55.4,7.317e-05
BTCUSDT-SHORT-1779583671000-2,2026-05-24,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.6136,0.952,-1.059,-0.4393,0.1737,25.111,-5.828,0.109,1,0.9969220737092828,0.5335358724558764,0.5038802455798621,-0.2033,0.2033,0.013,0.2755,0,BULL,11.9,0.0001
BTCUSDT-SHORT-1779605511000-3,2026-05-24,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.7215,1.193,-0.914,-0.4712,0.0856,-228.446,-15.56,0.106,7,0.9978268751695007,0.8223670136239732,0.5001527091308239,-0.3012,0.3012,0.013,0.3697,0,BULL,10.3,8.058e-05
BTCUSDT-SHORT-1779580831000-1,2026-05-24,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.76,0.774,-1.241,-0.0541,0.1648,-3015.628,-2.162,0.1089,5,0.9942797230830904,0.4991524810223754,0.5096827811508585,0.1443,-0.1443,0.013,0.4465,0,BULL,22.7,9.055e-05
BTCUSDT-SHORT-1779639657000-5,2026-05-24,SHORT,DISTRIBUTION,NOISE,LOSS,-1.64,0.659,-1.734,0.5484,0.7009,276.004,-0.0,0.1046,11,0.9390170237935936,0.689258066349007,0.4996192434344294,-0.1131,0.1131,0.026,0.2917,0,BULL,67.1,6.502e-05
BTCUSDT-SHORT-1779658938000-6,2026-05-24,SHORT,DISTRIBUTION,NOISE,LOSS,-1.64,0.172,-2.231,-0.269,0.7611,216.5,-8.828,0.1039,10,0.9973185504271528,0.5704674473814458,0.49608690554548585,0.1713,-0.1713,0.013,0.1757,0,RANGE,18.3,8.772e-05
BTCUSDT-SHORT-1779618423000-4,2026-05-24,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.555,1.464,-0.664,-0.7031,0.5362,-1191.599,-30.64,0.106,5,0.9976936179736164,0.8822297868009463,0.5015849326854809,-0.4642,0.4642,0.013,0.3937,0,BULL,4.3,6.942e-05
BTCUSDT-SHORT-1779660202000-7,2026-05-24,SHORT,DISTRIBUTION,NOISE,LOSS,-1.64,0.075,-1.59,-0.6086,0.1294,-236.708,-38.787,0.105,10,0.996923230027948,0.6378564483305484,0.4991202844797191,-0.1592,0.1592,0.013,0.132,0,RANGE,6.9,8.428e-05
BTCUSDT-SHORT-1779667293000-1,2026-05-25,SHORT,DISTRIBUTION,NOISE,TIMEOUT,-0.2715,0.345,-0.973,0.6933,0.0372,2121.348,,0.1103,4,0.5501553831005664,0.2627069136325684,0.5263759947652641,-0.1065,0.1065,0.013,0.3991,0,RANGE,76.7,6.473e-05
BTCUSDT-SHORT-1779681883000-4,2026-05-25,SHORT,DISTRIBUTION,MID,TIMEOUT,0.3698,0.723,-1.165,0.1225,0.5973,-318.08,-4.296,0.104,10,0.45224497702888955,0.12123263437920895,0.5016150469552793,0.0049,-0.0049,0.013,0.3857,0,RANGE,42.1,1.894e-05
BTCUSDT-SHORT-1779721856000-7,2026-05-25,SHORT,DISTRIBUTION,MID,TIMEOUT,0.937,1.687,-0.427,-0.7203,0.1832,41.936,-4.944,0.1062,4,0.9803995742367273,0.6459807401163903,0.499306633647629,-0.1995,0.1995,0.013,0.2829,0,BULL,3.8,2.107e-05
BTCUSDT-SHORT-1779674777000-2,2026-05-25,SHORT,DISTRIBUTION,MID,TIMEOUT,0.6451,1.057,-0.696,-0.1004,0.1304,-755.602,-43.106,0.1064,8,0.4908616669232077,0.36655116589502446,0.5010128811161991,-0.2697,0.2697,0.013,0.272,0,RANGE,27.0,3.536e-05
BTCUSDT-SHORT-1779674841000-3,2026-05-25,SHORT,DISTRIBUTION,MID,TIMEOUT,0.6531,1.098,-0.654,-0.122,0.0885,-887.947,-38.168,0.1071,5,0.9696863108751953,0.32332362088986255,0.4950721567187022,-0.2846,0.2846,0.013,0.3305,0,RANGE,24.0,3.536e-05
BTCUSDT-SHORT-1779689347000-5,2026-05-25,SHORT,DISTRIBUTION,MID,TIMEOUT,0.5513,1.201,-0.678,0.0116,0.406,-538.482,-1.223,0.1048,7,0.9742185800275577,0.4086649304619955,0.5006508284895544,-0.2436,0.2436,0.013,0.2698,0,RANGE,37.7,3.051e-05
BTCUSDT-SHORT-1779701657000-6,2026-05-25,SHORT,DISTRIBUTION,MID,TIMEOUT,0.9749,1.436,-0.439,-0.1274,0.1956,-383.673,0.342,0.1061,5,0.976667263749892,0.4633719609952569,0.49169621840460975,-0.3882,0.3882,0.013,0.2992,0,RANGE,23.1,4.383e-05
BTCUSDT-LONG-1779753631000-1,2026-05-26,LONG,ACCUMULATION,NOISE,LOSS,-1.64,1.068,-2.086,0.3572,0.0871,-1377.987,,0.1056,10,-0.3322922189589262,0.18909895507357344,0.5118564652381828,-0.1643,-0.1643,0.013,0.2512,0,RANGE,60.0,7.963e-05
BTCUSDT-LONG-1779766077000-8,2026-05-26,LONG,ACCUMULATION,GOOD,WIN,1.86,2.019,-1.164,0.0363,1.0291,-391.466,-0.23,0.1071,6,-0.9884940846308548,0.47463163191223867,0.49842158859472263,-0.1127,-0.1127,0.013,0.436,0,RANGE,41.4,7.251e-05
BTCUSDT-LONG-1779756245000-5,2026-05-26,LONG,ACCUMULATION,NOISE,LOSS,-1.64,1.643,-1.529,-0.5862,0.6564,-510.439,-5.862,0.1046,11,-0.9849752310707578,0.24518110830807016,0.48785797687479154,-0.2862,-0.2862,0.013,0.3226,0,RANGE,8.3,7.306e-05
BTCUSDT-LONG-1779755920000-4,2026-05-26,LONG,ACCUMULATION,NOISE,LOSS,-1.64,1.575,-1.594,-0.5665,0.5896,-575.924,-21.71,0.1043,12,-0.8766999442992391,0.1758828958881843,0.5002718736116383,-0.3357,-0.3357,-0.312,0.4028,0,RANGE,8.4,7.433e-05
BTCUSDT-LONG-1779756719000-6,2026-05-26,LONG,ACCUMULATION,NOISE,TIMEOUT,-1.0205,1.815,-1.362,-0.2404,0.827,1080.057,-20.369,0.1055,9,-0.9862398669715233,0.37100593951091543,0.5017285900952303,-0.1743,-0.1743,0.013,0.5083,0,RANGE,23.5,7.051e-05
BTCUSDT-LONG-1779755026000-3,2026-05-26,LONG,ACCUMULATION,NOISE,LOSS,-1.64,1.272,-1.888,0.3458,0.289,719.877,-0.443,0.1035,12,-0.4342596484179097,0,0.5087613842968474,-0.2975,-0.2975,0.013,0.3137,0,RANGE,57.3,7.398e-05
