zone_id,date,dir,label,dl2_supp_minus_opp_net_flow_15m,dl2_supp_minus_opp_net_flow_15m__z_day,dl2_microprice_aligned_delta_5m_bps,dl2_microprice_aligned_delta_5m_bps__z_day,supportive_taker_imb_15m,supportive_taker_imb_15m__z_day,taker_imbalance_15m,taker_imbalance_15m__z_day,book_entropy_top25,book_entropy_top25__z_day,spread_instability_5m_bps,spread_instability_5m_bps__z_day,depth_imbalance_top25,depth_imbalance_top25__z_day,ms_thin_path_score,ms_thin_path_score__z_day,dl2_supp_refill_ratio_5m,dl2_supp_refill_ratio_5m__z_day,eng_ofi,eng_ofi__z_day,eng_refill,eng_refill__z_day,eng_void,eng_void__z_day,eng_absorption,eng_absorption__z_day,explainable_score,explainable_score__z_day,uniq_score_pctile_vs_prior
BTCUSDT-SHORT-1779325094000-4,2026-05-21,SHORT,MID,-284.165,-0.455,-0.155,-0.608,-0.2792,-1.677,0.2792,1.963,0.2429,-1.559,0.0032,-0.097,0.9297,1.095,0.1075,1.552,0.9981,-0.888,-0.4842353074270364,-1.73,0.5009037562394301,0.063,0.17371655648824091,0.056,0.6762210179359703,0.655,-0.2665,-1.465,0.0
BTCUSDT-SHORT-1779326244000-6,2026-05-21,SHORT,MID,-414.439,-0.656,6.54,1.896,-0.1237,-0.576,0.1237,0.906,0.4074,0.598,0.0013,-0.472,-0.1535,-0.602,0.1066,1.169,1.0023,-0.113,-0.5332207126569236,-1.928,0.5017228622019346,0.425,0.39011266199209316,1.301,0.600333555447587,-1.2,1.3352,1.285,100.0
BTCUSDT-SHORT-1779326363000-7,2026-05-21,SHORT,MID,-414.439,-0.656,6.54,1.896,-0.1237,-0.576,0.1237,0.906,0.4074,0.598,0.0013,-0.472,-0.1535,-0.602,0.1066,1.169,1.0023,-0.113,-0.25615003612749315,-0.807,0.5017228622019346,0.425,0.39011266199209316,1.301,0.600333555447587,-1.2,1.3352,1.285,100.0
BTCUSDT-SHORT-1779359582000-16,2026-05-21,SHORT,MID,326.912,0.487,0.929,-0.202,0.0444,0.614,-0.0444,-0.236,0.3679,0.08,0.0029,-0.156,0.7914,0.879,0.1053,0.616,1.0033,0.071,0.09211558487763832,0.603,0.5000897408114746,-0.297,0.22250847911616967,0.337,0.725178318474736,1.852,1.2415,1.124,76.9
BTCUSDT-LONG-1779362883000-18,2026-05-21,LONG,MID,17.635,0.01,1.172,-0.111,-0.1171,-0.53,-0.1171,-0.73,0.383,0.278,0.0021,-0.314,0.3272,0.151,0.1033,-0.236,0.9994,-0.648,0.10145127529491052,0.641,0.5021789522067224,0.627,0,-0.945,0.6607170191235896,0.276,0.408,-0.307,37.5
BTCUSDT-LONG-1779360866000-17,2026-05-21,LONG,MID,125.341,0.176,0.803,-0.249,-0.1546,-0.795,-0.1546,-0.985,0.3612,-0.007,0.0013,-0.472,0.7701,0.845,0.1035,-0.151,1.0019,-0.187,0.1821990999097461,0.968,0.5024167290827707,0.732,0,-0.945,0.6590536005907244,0.235,0.0814,-0.868,20.0
BTCUSDT-LONG-1779378060000-24,2026-05-21,LONG,NOISE,-37.88,-0.076,-0.038,-0.564,-0.139,-0.685,-0.139,-0.879,0.2968,-0.852,0.002,-0.334,-0.4623,-1.086,0.1029,-0.406,0.9987,-0.777,-0.025458090057007755,0.127,0.49858003471976226,-0.964,0,-0.945,0.6027620170908718,-1.141,0.1075,-0.823,22.7
BTCUSDT-LONG-1779366351000-19,2026-05-21,LONG,MID,-29.626,-0.063,1.191,-0.104,-0.2797,-1.681,-0.2797,-1.835,0.3511,-0.14,0.0017,-0.393,0.9831,1.179,0.1039,0.02,1.0042,0.237,0.08437464552413017,0.572,0.5038022425305015,1.345,0,-0.945,0.6397838957343881,-0.236,0.7528,0.285,64.7
BTCUSDT-SHORT-1779372363000-23,2026-05-21,SHORT,MID,-319.643,-0.51,-1.058,-0.945,0.0338,0.539,-0.0338,-0.164,0.2416,-1.576,0.0063,0.515,-0.9822,-1.901,0.1028,-0.449,1.0088,1.086,-0.026508197122268273,0.123,0.49998348830928435,-0.344,0.0338788096856415,-0.749,0.6389319695782741,-0.256,-0.382,-1.664,0.0
BTCUSDT-SHORT-1779371412000-22,2026-05-21,SHORT,MID,1158.529,1.768,1.133,-0.126,-0.0398,0.018,0.0398,0.336,0.4956,1.755,0.0037,0.002,0.5085,0.435,0.1045,0.275,1.0012,-0.316,0.17689867481058716,0.946,0.5002938678791472,-0.206,0,-0.945,0.6074616751919921,-1.026,0.2513,-0.576,30.0
BTCUSDT-SHORT-1779359514000-15,2026-05-21,SHORT,MID,326.912,0.487,0.929,-0.202,0.0444,0.614,-0.0444,-0.236,0.3679,0.08,0.0029,-0.156,0.7914,0.879,0.1053,0.616,1.0033,0.071,0.17127451040594313,0.924,0.5000897408114746,-0.297,0.22250847911616967,0.337,0.725178318474736,1.852,1.2415,1.124,78.6
BTCUSDT-LONG-1779371350000-21,2026-05-21,LONG,MID,765.119,1.162,2.247,0.291,0.0679,0.78,0.0679,0.527,0.3675,0.075,0.0037,0.002,0.6267,0.62,0.1036,-0.108,0.9994,-0.648,0.14351598080926709,0.811,0.49988509329827996,-0.387,0,-0.945,0.6078326219932438,-1.017,1.4381,1.462,94.7
BTCUSDT-LONG-1779371170000-20,2026-05-21,LONG,MID,905.79,1.379,10.126,3.237,-0.1745,-0.936,-0.1745,-1.12,0.4847,1.612,0.01,1.245,-0.9227,-1.808,0.1053,0.616,0.9987,-0.777,0.16356236821848322,0.893,0.5000311454047429,-0.323,0.05813769963120363,-0.61,0.6141908712764743,-0.861,0.9134,0.561,66.7
BTCUSDT-SHORT-1779391977000-25,2026-05-21,SHORT,GOOD,88.099,0.119,-0.254,-0.645,-0.1748,-0.938,0.1748,1.253,0.2752,-1.135,0.0256,4.325,-0.8579,-1.706,0.1058,0.828,1.002,-0.168,-0.05499420742456944,0.008,0.49935626849957054,-0.621,0,-0.945,0.662621282768694,0.323,0.0978,-0.84,21.7
BTCUSDT-SHORT-1779422839000-5,2026-05-22,SHORT,GOOD,42.49,0.024,,,-0.2236,-1.07,0.2236,1.263,0.4025,-0.021,,,-0.1439,-0.819,0.1038,-0.153,0.9996,0.102,0.8231903283156067,3.223,0.5002181500405289,0.051,0.3676856332381421,0.766,0.6986548527902946,0.599,0.3438,-0.391,39.3
BTCUSDT-SHORT-1779416443000-4,2026-05-22,SHORT,GOOD,-37.543,-0.058,,,-0.1741,-0.743,0.1741,0.958,0.3231,-0.857,,,0.6839,1.054,0.1044,0.105,1.0037,0.747,0.5339892290334477,1.724,0.500334301716198,0.086,0.16048946062093405,-0.45,0.6359206287510066,-0.291,0.7197,0.472,63.0
BTCUSDT-SHORT-1779414465000-3,2026-05-22,SHORT,GOOD,-21.831,-0.042,,,-0.3254,-1.742,0.3254,1.889,0.2854,-1.254,,,0.8351,1.396,0.1045,0.147,1.0006,0.26,0.36769580629672777,0.862,0.500439619947946,0.117,0.10490701689664661,-0.776,0.7842876097292604,1.814,0.3222,-0.441,38.5
BTCUSDT-SHORT-1779409025000-1,2026-05-22,SHORT,GOOD,-274.367,-0.299,,,0.0368,0.65,-0.0368,-0.341,0.3544,-0.527,,,0.417,0.45,0.1051,0.405,1.007,1.265,0.29458267517085346,0.483,0.5004836752579647,0.13,0.1820298671913687,-0.323,0.6011703616013798,-0.784,0.3544,-0.367,41.7
BTCUSDT-SHORT-1779411938000-2,2026-05-22,SHORT,GOOD,-382.235,-0.409,,,0.093,1.021,-0.093,-0.687,0.3757,-0.303,,,0.0687,-0.338,0.1041,-0.024,1.003,0.637,0.23910121836491527,0.195,0.4997796297003665,-0.08,0.21999267389390387,-0.101,0.6574108344140592,0.014,0.3974,-0.268,44.0
BTCUSDT-SHORT-1779440811000-6,2026-05-22,SHORT,GOOD,-114.452,-0.136,,,0.0251,0.572,-0.0251,-0.269,0.3566,-0.504,,,0.2595,0.094,0.1028,-0.582,0.9999,0.15,0.18557005414904118,-0.082,0.5015173379144969,0.44,0.2761582787136133,0.229,0.6008876061860204,-0.788,0.4322,-0.188,55.2
BTCUSDT-SHORT-1779459206000-11,2026-05-22,SHORT,GOOD,-131.946,-0.154,12.619,3.479,0.0732,0.89,-0.0732,-0.565,0.4766,0.76,0.0028,-0.298,-0.0515,-0.61,0.1016,-1.097,1.001,0.322,0.14091827933003856,-0.314,0.4995977343958405,-0.135,0.05940269461899306,-1.043,0.6163191146921451,-0.569,0.6178,0.238,54.8
BTCUSDT-LONG-1779456909000-9,2026-05-22,LONG,NOISE,216.556,0.201,,,-0.1907,-0.853,-0.1907,-1.288,0.3666,-0.399,0.0055,0.04,0.3769,0.359,0.1026,-0.668,1.001,0.322,0.17468051462713585,-0.138,0.5078298328848789,2.331,0,-1.392,0.6163757537289749,-0.568,0.809,0.677,73.3
BTCUSDT-SHORT-1779460506000-12,2026-05-22,SHORT,GOOD,2895.728,2.927,-0.015,-0.691,-0.0647,-0.021,0.0647,0.284,0.4434,0.41,0.0013,-0.485,-0.0732,-0.659,0.1007,-1.484,0.9907,-1.296,-0.22650510133662152,-2.218,0.499713484584902,-0.1,0.4671905016642407,1.35,0.7790897079565,1.74,0.135,-0.871,24.2
BTCUSDT-SHORT-1779467230000-16,2026-05-22,SHORT,GOOD,-89.418,-0.111,-0.051,-0.703,-0.0401,0.142,0.0401,0.133,0.3375,-0.705,0.0018,-0.422,0.5864,0.833,0.1023,-0.797,1.0002,0.197,0.058887430126850826,-0.739,0.49949032834207496,-0.167,0,-1.392,0.6014615785077081,-0.78,-0.0408,-1.275,13.5
BTCUSDT-LONG-1779464653000-14,2026-05-22,LONG,NOISE,-2.768,-0.022,2.243,0.054,0.069,0.862,0.069,0.311,0.3624,-0.443,0.0013,-0.485,0.6296,0.931,0.1041,-0.024,0.9999,0.15,0.32607805336607465,0.646,0.5001717338054799,0.037,0,-1.392,0.6323640801577413,-0.341,1.6486,2.605,97.1
BTCUSDT-SHORT-1779465008000-15,2026-05-22,SHORT,GOOD,102.587,0.085,0.454,-0.536,-0.1142,-0.347,0.1142,0.589,0.3636,-0.43,0.0013,-0.485,0.6499,0.977,0.1028,-0.582,0.9945,-0.699,0.26250277294290886,0.317,0.4883567710359725,-3.502,0.17717965383944556,-0.352,0.6017703706105478,-0.775,0.1823,-0.762,27.8
BTCUSDT-LONG-1779458993000-10,2026-05-22,LONG,NOISE,240.715,0.225,-0.066,-0.708,-0.1275,-0.435,-0.1275,-0.899,0.4441,0.417,0.0344,3.649,0.1823,-0.081,0.1038,-0.153,1.0019,0.464,0.14894482821897423,-0.272,0.5008634974787575,0.244,0,-1.392,0.600413548234564,-0.794,-0.1005,-1.412,9.4
BTCUSDT-SHORT-1779461413000-13,2026-05-22,SHORT,GOOD,-2050.926,-2.107,3.259,0.39,-0.4115,-2.31,0.4115,2.419,0.3126,-0.967,0.0013,-0.485,-0.1376,-0.805,0.101,-1.355,0.9727,-4.124,0.052577438229287614,-0.771,0.5001145038505833,0.02,0.4684300887345769,1.357,0.8648779753399254,2.957,0.3549,-0.366,44.1
BTCUSDT-LONG-1779476321000-17,2026-05-22,LONG,NOISE,540.915,0.531,0.815,-0.417,0.1249,1.231,0.1249,0.655,0.3526,-0.546,0.0021,-0.385,-0.3274,-1.235,0.1058,0.705,0.9998,0.134,0.09978802199711254,-0.527,0.5004233040488666,0.112,0.12542875559150557,-0.656,0.6747936239839277,0.261,0.8929,0.869,76.3
BTCUSDT-LONG-1779476493000-18,2026-05-22,LONG,NOISE,555.197,0.545,0.646,-0.473,-0.2457,-1.216,-0.2457,-1.627,0.347,-0.605,0.0034,-0.223,0.7421,1.186,0.108,1.65,1.0023,0.527,0.044915182450126184,-0.811,0.4987039718169705,-0.403,0.28497933186671975,0.281,0.6282090638040551,-0.4,0.5126,-0.004,56.4
BTCUSDT-LONG-1779477261000-19,2026-05-22,LONG,NOISE,605.029,0.596,-0.024,-0.694,-0.2353,-1.147,-0.2353,-1.563,0.4908,0.909,0.003,-0.273,-0.1574,-0.85,0.1079,1.607,1.0005,0.244,0.22068815431727196,0.1,0.4982000842573964,-0.554,0.29685175723155355,0.35,0.7046748380981395,0.685,0.0107,-1.156,15.0
BTCUSDT-SHORT-1779478080000-20,2026-05-22,SHORT,NOISE,-1833.536,-1.885,2.284,0.068,0.0168,0.518,-0.0168,-0.217,0.6522,2.609,0.0118,0.827,0.8281,1.38,0.1015,-1.14,1.0005,0.244,0.1306254461552012,-0.367,0.5006888297815031,0.192,0.5199397141071032,1.66,0.6017337041447662,-0.776,0.5441,0.069,58.5
BTCUSDT-SHORT-1779478203000-21,2026-05-22,SHORT,NOISE,-1833.536,-1.885,2.284,0.068,0.0168,0.518,-0.0168,-0.217,0.6522,2.609,0.0118,0.827,0.8281,1.38,0.1015,-1.14,1.0005,0.244,0.18754436634478208,-0.072,0.5006888297815031,0.192,0.5199397141071032,1.66,0.6017337041447662,-0.776,0.5441,0.069,59.5
BTCUSDT-LONG-1779483676000-24,2026-05-22,LONG,NOISE,-37.593,-0.058,1.536,-0.179,0.005,0.44,0.005,-0.083,0.3609,-0.459,0.0018,-0.422,-0.2801,-1.128,0.1078,1.564,0.9992,0.04,0.12033137931564225,-0.42,0.505369972467177,1.594,0.29242676741383833,0.324,0.6241607329842989,-0.458,0.8105,0.68,77.8
BTCUSDT-LONG-1779480095000-23,2026-05-22,LONG,NOISE,407.24,0.395,3.944,0.616,0.0671,0.85,0.0671,0.299,0.4073,0.03,0.0024,-0.348,-0.8047,-2.315,0.1079,1.607,0.9993,0.055,0.0903002816035859,-0.576,0.5000851659246646,0.011,0.42239886265347326,1.087,0.6099277471646054,-0.659,0.5744,0.138,61.4
BTCUSDT-LONG-1779479332000-22,2026-05-22,LONG,NOISE,686.737,0.679,-0.052,-0.703,0.038,0.657,0.038,0.12,0.5084,1.094,0.0013,-0.485,-0.0025,-0.499,0.1077,1.521,1.001,0.322,0.24199445790082189,0.21,0.5020536566309451,0.601,0.39558762887568155,0.93,0.6339701343211207,-0.318,0.1406,-0.858,25.6
BTCUSDT-SHORT-1779494198000-27,2026-05-22,SHORT,NOISE,959.447,0.957,3.381,0.43,0.1708,1.534,-0.1708,-1.165,0.3268,-0.818,0.0008,-0.547,-0.0922,-0.702,0.1039,-0.11,0.997,-0.306,0.11367092895925156,-0.455,0.4959829899409101,-1.218,0.11336258946831457,-0.726,0.7273867179942888,1.007,1.6223,2.545,95.7
BTCUSDT-LONG-1779494431000-1,2026-05-23,LONG,NOISE,1651.095,2.152,0.0,-0.243,-0.043,-0.056,-0.043,-0.288,0.3729,0.116,,,0.4167,0.002,0.1075,1.287,1.0258,3.165,-0.9793417233974,-0.631,0.49806903636343947,-0.91,0.9149587991802913,0.71,0.6616696397437174,-0.107,0.6935,1.373,66.0
BTCUSDT-LONG-1779496376000-2,2026-05-23,LONG,NOISE,-472.846,-0.685,0.0,-0.243,-0.1826,-1.13,-0.1826,-1.324,0.3697,0.025,,,0.5787,0.412,0.1063,0.84,0.9985,-0.244,-0.9902697584403919,-0.657,0.5032958811146535,0.127,0.8989927491744377,0.668,0.7147939949806315,0.661,0.2606,0.134,33.3
BTCUSDT-LONG-1779496841000-3,2026-05-23,LONG,GOOD,-242.374,-0.377,0.0,-0.243,-0.2214,-1.428,-0.2214,-1.612,0.3498,-0.541,,,0.7508,0.848,0.106,0.729,1.0071,0.829,-0.9905550233043866,-0.658,0.49973203976438557,-0.58,0.9078924795914421,0.691,0.7068757897804372,0.547,0.5908,1.079,59.2
BTCUSDT-LONG-1779525537000-7,2026-05-23,LONG,GOOD,-611.191,-0.869,0.0,-0.243,-0.1846,-1.145,-0.1846,-1.339,0.346,-0.649,,,0.6835,0.678,0.101,-1.132,1.0025,0.255,-0.9944242177355705,-0.667,0.5049952689458987,0.464,0.9529343129381271,0.809,0.6327078662706828,-0.525,0.2448,0.089,32.1
BTCUSDT-LONG-1779531708000-8,2026-05-23,LONG,GOOD,546.908,0.678,0.0,-0.243,0.0272,0.484,0.0272,0.232,0.3845,0.447,,,-0.3333,-1.898,0.1009,-1.17,0.9914,-1.131,-0.9949221428358492,-0.669,0.4953695599256628,-1.446,0.9528961687056721,0.809,0.6447876323885514,-0.351,0.1817,-0.092,25.9
BTCUSDT-LONG-1779542022000-9,2026-05-23,LONG,GOOD,25.307,-0.019,0.0,-0.243,0.1674,1.562,0.1674,1.273,0.3569,-0.339,,,-0.2803,-1.764,0.0996,-1.653,1.0,-0.057,-0.9956000855299748,-0.67,0.500797901096454,-0.368,0.9553865690703088,0.816,0.6099405244931572,-0.854,0.4906,0.792,54.5
BTCUSDT-LONG-1779522387000-4,2026-05-23,LONG,GOOD,923.625,1.181,0.0,-0.243,-0.0083,0.211,-0.0083,-0.031,0.2988,-1.993,,,0.9174,1.27,0.1018,-0.835,1.0006,0.018,-0.9939095556554398,-0.666,0.5065350170000062,0.77,0.9323914651486678,0.755,0.6032175631597777,-0.951,0.4891,0.788,50.0
BTCUSDT-LONG-1779547725000-10,2026-05-23,LONG,GOOD,-978.089,-1.36,0.0,-0.243,0.1808,1.665,0.1808,1.372,0.3715,0.077,,,0.6578,0.613,0.1021,-0.723,0.9961,-0.544,-0.9937586723660159,-0.666,0.49568332000308457,-1.383,0.9024942119957555,0.677,0.7143154018433776,0.654,0.0698,-0.412,16.1
BTCUSDT-LONG-1779549307000-11,2026-05-23,LONG,GOOD,353.402,0.419,0.0,-0.243,-0.0784,-0.328,-0.0784,-0.551,0.3717,0.082,,,0.6091,0.489,0.1019,-0.797,1.0076,0.892,-0.9932409276799704,-0.665,0.517431807567396,2.932,0.8824449247046011,0.624,0.6606236079096247,-0.122,0.448,0.67,52.6
BTCUSDT-LONG-1779560787000-12,2026-05-23,LONG,GOOD,46.899,0.01,0.0,-0.243,0.2292,2.037,0.2292,1.731,0.3447,-0.686,,,0.3375,-0.199,0.1035,-0.202,0.9993,-0.145,-0.9907737963341394,-0.659,0.5005607055715933,-0.416,0.7776248863670691,0.349,0.6217947318193588,-0.683,0.0464,-0.479,15.5
BTCUSDT-LONG-1779567762000-13,2026-05-23,LONG,GOOD,-1126.489,-1.558,0.0,-0.243,-0.1209,-0.655,-0.1209,-0.866,0.3565,-0.35,,,0.2349,-0.459,0.1034,-0.239,0.9857,-1.843,-0.9881534092405939,-0.652,0.5074101003300429,0.944,0.7357137168091967,0.239,0.8763613338364739,2.996,0.1495,-0.184,27.1
BTCUSDT-LONG-1779569432000-14,2026-05-23,LONG,NOISE,-261.351,-0.402,0.0,-0.243,-0.0782,-0.327,-0.0782,-0.549,0.3226,-1.315,,,0.8234,1.032,0.1041,0.022,1.0015,0.13,-0.04407121996487767,1.629,0.5069296837094894,0.848,0.12536635117216255,-1.365,0.7554036436846133,1.248,-0.1365,-1.003,5.0
BTCUSDT-LONG-1779569504000-15,2026-05-23,LONG,NOISE,-405.229,-0.594,0.0,-0.243,-0.0888,-0.408,-0.0888,-0.628,0.3902,0.609,,,0.2784,-0.348,0.1038,-0.09,0.9943,-0.769,-0.4605402360671971,0.623,0.49787488354531034,-0.949,0.07362169819258046,-1.501,0.7663532218309141,1.406,-0.158,-1.065,3.3
BTCUSDT-SHORT-1779573673000-18,2026-05-23,SHORT,MID,232.075,0.257,0.779,0.283,-0.202,-1.279,0.202,1.529,0.3507,-0.516,0.003,-0.087,0.7243,0.781,0.1082,1.548,1.003,0.317,-0.07159361251132455,1.563,0.5078502705893311,1.031,0.10923045570120127,-1.407,0.6146530264023647,-0.786,-0.1102,-0.928,10.9
BTCUSDT-SHORT-1779572854000-17,2026-05-23,SHORT,MID,-1378.964,-1.895,-0.006,-0.247,-0.0867,-0.392,0.0867,0.674,0.3398,-0.826,0.0028,-0.786,0.329,-0.22,0.1081,1.51,1.0013,0.105,0.058368817228526104,1.877,0.5025316063622507,-0.024,0.09117413713166478,-1.455,0.6415780183118395,-0.397,-0.4017,-1.763,0.0
BTCUSDT-LONG-1779522735000-5,2026-05-23,LONG,GOOD,623.295,0.78,0.0,-0.243,-0.1275,-0.706,-0.1275,-0.915,0.3872,0.523,,,0.4332,0.044,0.1021,-0.723,0.9997,-0.095,-0.9937487465426821,-0.666,0.5004583945664861,-0.436,0.9421874952795523,0.781,0.621063363283093,-0.693,-0.1427,-1.021,3.9
BTCUSDT-LONG-1779522811000-6,2026-05-23,LONG,GOOD,686.009,0.863,0.0,-0.243,0.1099,1.119,0.1099,0.846,0.4342,1.861,,,0.2039,-0.537,0.1021,-0.723,0.9906,-1.231,-0.9940121014991941,-0.666,0.5035442198222894,0.177,0.946295843202713,0.792,0.6216278440126389,-0.685,-0.0897,-0.869,9.6
BTCUSDT-LONG-1779569722000-16,2026-05-23,LONG,NOISE,357.217,0.424,6.584,4.198,0.0409,0.589,0.0409,0.334,0.4114,1.212,0.0035,1.66,-0.4176,-2.111,0.1062,0.803,1.0034,0.367,-0.21120537581609675,1.225,0.5007014662904679,-0.388,0,-1.694,0.6026996363893071,-0.959,1.0404,2.367,85.5
BTCUSDT-SHORT-1779575764000-19,2026-05-23,SHORT,NOISE,784.887,0.995,-0.515,-0.59,-0.0111,0.189,0.0111,0.113,0.4483,2.263,0.0028,-0.786,0.9553,1.366,0.1082,1.548,1.0003,-0.02,-0.024613204298450132,1.676,0.500669510441668,-0.394,0.15142350593785892,-1.296,0.6415126632305919,-0.398,0.3967,0.524,49.2
BTCUSDT-SHORT-1779583671000-2,2026-05-24,SHORT,NOISE,25.805,0.557,-0.0,,-0.2033,-0.336,0.2033,0.336,0.316,-0.76,,,-0.4622,-0.341,0.1033,-0.233,0.9989,-0.053,0.9969220737092828,0.412,0.5038802455798621,0.606,0.5335358724558764,-0.955,0.6645741514379863,-0.115,0.3607,0.508,47.8
BTCUSDT-SHORT-1779605511000-3,2026-05-24,SHORT,NOISE,-228.446,0.326,-0.0,,-0.3012,-0.799,0.3012,0.799,0.3105,-0.843,,,-0.8568,-1.219,0.1044,1.4,1.001,0.299,0.9978268751695007,0.457,0.5001527091308239,-0.322,0.8223670136239732,1.19,0.6880500868633671,0.245,0.3288,0.319,42.6
BTCUSDT-SHORT-1779580831000-1,2026-05-24,SHORT,NOISE,-3020.726,-2.221,-0.0,,0.1443,1.307,-0.1443,-1.307,0.3939,0.409,,,-0.3228,-0.031,0.1034,-0.085,1.006,1.137,0.9942797230830904,0.282,0.5096827811508585,2.051,0.4991524810223754,-1.21,0.6054751884458949,-1.022,0.3783,0.613,48.5
BTCUSDT-SHORT-1779639657000-5,2026-05-24,SHORT,NOISE,329.539,0.834,-0.0,,-0.1131,0.09,0.1131,-0.09,0.4611,1.419,,,0.2029,1.139,0.1023,-1.718,1.0062,1.171,0.9390170237935936,-2.446,0.4996192434344294,-0.455,0.689258066349007,0.201,0.6169045067403699,-0.847,0.5483,1.621,67.1
BTCUSDT-SHORT-1779658938000-6,2026-05-24,SHORT,NOISE,224.781,0.739,-0.0,,0.1713,1.434,-0.1713,-1.434,0.2597,-1.606,,,-0.6568,-0.774,0.103,-0.679,0.9955,-0.623,0.9973185504271528,0.432,0.49608690554548585,-1.334,0.5704674473814458,-0.681,0.6285592662244743,-0.668,0.0209,-1.508,18.3
