date,symbol,direction,zoneType,status,zoneStartTs,zoneConfirmedTs,triggerTs,zoneLow,zoneHigh,triggerPrice,targetPrice,target4h,target8h,target24h,mfe,mae,timeToTarget,reasons
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-02-01T16:18:04.000Z,2026-02-01T17:03:12.000Z,-,77100.65,77810.85,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,"candidate@2026-02-01T16:18:04.000Z{buyPressure=0.620,askRefillScore=0.500,upMovePct=0.000,absorbScore=0.682,rangeCompression=true} | confirmed@2026-02-01T17:03:12.000Z{cyclesSeen=104.000,ageMin=45.133,defendedPersistenceSec=2708.000,oppositeThinning=0.493,voidScore=0.244} | invalidate@2026-02-01T18:08:40.000Z{mid=78200.050,zoneLow=77100.650,zoneHigh=77810.850}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-02-01T18:16:06.000Z,2026-02-01T18:43:04.000Z,2026-02-01T19:57:09.000Z,77964.85,78404.5,76978.35,75438.78300000001,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.733,1.007,,"candidate@2026-02-01T18:16:06.000Z{buyPressure=0.564,askRefillScore=0.502,upMovePct=0.000,absorbScore=0.620,rangeCompression=true} | confirmed@2026-02-01T18:43:04.000Z{cyclesSeen=21.000,ageMin=26.967,defendedPersistenceSec=1618.000,oppositeThinning=0.510,voidScore=0.334} | trigger@2026-02-01T19:57:09.000Z{breakPct=1.265,flowMultiplier=1.419,sideFlowOK=true,triggerPrice=76978.350,targetPrice=75438.783} | expire@2026-02-02T19:57:09.000Z{allHorizonsFailed=true,targetPrice=75438.783}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-02-01T20:25:18.000Z,2026-02-01T20:57:29.000Z,2026-02-01T21:09:28.000Z,76556.95,77707.95,76505.75,74975.635,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.126,1.631,,"candidate@2026-02-01T20:25:18.000Z{buyPressure=0.550,askRefillScore=0.506,upMovePct=0.000,absorbScore=0.605,rangeCompression=true} | confirmed@2026-02-01T20:57:29.000Z{cyclesSeen=24.000,ageMin=32.183,defendedPersistenceSec=1931.000,oppositeThinning=0.501,voidScore=0.282} | trigger@2026-02-01T21:09:28.000Z{breakPct=0.067,flowMultiplier=4.488,sideFlowOK=true,triggerPrice=76505.750,targetPrice=74975.635} | expire@2026-02-02T21:09:28.000Z{allHorizonsFailed=true,targetPrice=74975.635}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T20:32:24.000Z,2026-02-01T20:51:07.000Z,-,76850.905325,77707.95,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,"candidate@2026-02-01T20:32:24.000Z{sellPressure=0.572,bidRefillScore=0.497,downMovePct=0.000,absorbScore=0.630,rangeCompression=true} | confirmed@2026-02-01T20:51:07.000Z{cyclesSeen=67.000,ageMin=18.717,defendedPersistenceSec=1123.000,oppositeThinning=0.499,voidScore=0.548} | invalidate@2026-02-01T21:09:38.000Z{mid=76464.850,zoneLow=76850.905,zoneHigh=77707.950}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-02-01T21:15:11.000Z,2026-02-01T21:43:33.000Z,-,76507.15,77134.85,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,"candidate@2026-02-01T21:15:11.000Z{buyPressure=0.664,askRefillScore=0.506,upMovePct=0.000,absorbScore=0.731,rangeCompression=true} | confirmed@2026-02-01T21:43:33.000Z{cyclesSeen=18.000,ageMin=28.367,defendedPersistenceSec=1702.000,oppositeThinning=0.498,voidScore=0.131} | invalidate@2026-02-01T22:12:21.000Z{mid=77527.800,zoneLow=76507.150,zoneHigh=77134.850}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T21:21:56.000Z,2026-02-01T21:51:05.000Z,2026-02-01T22:11:01.000Z,76410.20000000001,77134.85,77276.75,78822.285,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.617,2.113,,"candidate@2026-02-01T21:21:56.000Z{sellPressure=0.589,bidRefillScore=0.490,downMovePct=0.000,absorbScore=0.648,rangeCompression=true} | confirmed@2026-02-01T21:51:05.000Z{cyclesSeen=55.000,ageMin=29.150,defendedPersistenceSec=1749.000,oppositeThinning=0.500,voidScore=0.579} | trigger@2026-02-01T22:11:01.000Z{breakPct=0.184,flowMultiplier=1.410,sideFlowOK=true,triggerPrice=77276.750,targetPrice=78822.285} | expire@2026-02-02T22:11:01.000Z{allHorizonsFailed=true,targetPrice=78822.285}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T22:41:01.000Z,2026-02-01T23:12:12.000Z,2026-02-01T23:36:10.000Z,75668.95,77516.25,77560.5,79111.71,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.034,0.925,,"candidate@2026-02-01T22:41:01.000Z{sellPressure=0.552,bidRefillScore=0.506,downMovePct=0.000,absorbScore=0.607,rangeCompression=true} | confirmed@2026-02-01T23:12:12.000Z{cyclesSeen=18.000,ageMin=31.183,defendedPersistenceSec=1871.000,oppositeThinning=0.500,voidScore=0.575} | trigger@2026-02-01T23:36:10.000Z{breakPct=0.057,flowMultiplier=3.235,sideFlowOK=true,triggerPrice=77560.500,targetPrice=79111.710} | expire@2026-02-02T23:36:10.000Z{allHorizonsFailed=true,targetPrice=79111.710}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-02-01T22:51:25.000Z,2026-02-01T22:54:25.000Z,2026-02-01T23:05:47.000Z,77118.05,77374.71802500001,76740.35,75205.543,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.429,1.103,,"candidate@2026-02-01T22:51:25.000Z{buyPressure=0.588,askRefillScore=0.493,upMovePct=0.000,absorbScore=0.647,rangeCompression=true} | confirmed@2026-02-01T22:54:25.000Z{cyclesSeen=182.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.498,voidScore=0.293} | trigger@2026-02-01T23:05:47.000Z{breakPct=0.490,flowMultiplier=2.289,sideFlowOK=true,triggerPrice=76740.350,targetPrice=75205.543} | expire@2026-02-02T23:05:47.000Z{allHorizonsFailed=true,targetPrice=75205.543}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,NO_TRIGGER,2026-02-01T23:44:03.000Z,-,-,76846.25,77321.25,,,no_trigger,no_trigger,no_trigger,,,,"candidate@2026-02-01T23:44:03.000Z{sellPressure=0.698,bidRefillScore=0.510,downMovePct=0.001,absorbScore=0.719,rangeCompression=true} | expire@2026-02-01T23:59:59.965Z{reason=End of replay; no trigger seen}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,NO_TRIGGER,2026-02-01T23:58:35.000Z,-,-,76899.15,77035.04827500001,,,no_trigger,no_trigger,no_trigger,,,,"candidate@2026-02-01T23:58:35.000Z{buyPressure=0.578,askRefillScore=0.493,upMovePct=0.000,absorbScore=0.636,rangeCompression=true} | expire@2026-02-01T23:59:59.965Z{reason=End of replay; no trigger seen}"
