id,date,direction,status,class,isPrimaryMoveZone,duplicateMoveCredit,uniqueMoveId,zone_score_v1_raw,zone_score_v1_z,zone_score_v1_bucket,zone_score_v1_coverage,feat_cand_pressure_against,feat_cand_absorb_score,feat_cand_refill_with,feat_conf_cycles_seen,feat_conf_age_min,feat_conf_defended_persistence_sec,feat_candidate_to_confirm_min,feat_confirm_to_trigger_min,feat_total_pre_trigger_min,feat_trig_flow_multiplier,feat_trig_break_pct,feat_score_absorption,comp_cand_pressure_against,comp_cand_absorb_score,comp_cand_refill_with,comp_conf_cycles_seen,comp_conf_age_min,comp_conf_defended_persistence_sec,comp_candidate_to_confirm_min,comp_confirm_to_trigger_min,comp_total_pre_trigger_min,comp_trig_flow_multiplier,comp_trig_break_pct,comp_score_absorption
BTC-USDT-SWAP-LONG-1759310096000-14,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,85.58867347240681,-0.560612947631411,low,1.0,0.5581736315246548,0.6139909946771204,0.49935691828787604,17.0,10.666666666666666,640.0,10.666666666666666,154.3,164.96666666666667,1.4007505832621319,0.39071251496993364,0.6802229082630808,-0.3192753172321025,-0.34444894801386455,0.21522283178207458,-9.129000000000001,3.6053333333333333,216.32000000000002,3.6053333333333333,-65.8861,-62.687333333333335,0.5490942286387557,-0.12112087964067943,-0.21903177646071204
BTC-USDT-SWAP-LONG-1759320651000-21,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,-93.04486812865859,-2.1963105370584635,low,1.0,0.6573571674503375,0.6835316034479705,0.5018901849322659,129.0,3.0,180.0,3.0,105.76666666666667,108.76666666666667,1.590425591722565,0.07275815540508573,0.6332455677893178,-0.376008299781593,-0.3834612295343115,0.2163146697058066,-69.27300000000001,1.014,60.84,1.014,-45.162366666666664,-41.33133333333333,0.6234468319552455,-0.02255502817557658,-0.20390507282816034
BTC-USDT-SWAP-SHORT-1759309312000-12,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,366.10270257862805,2.2397599948084976,high,0.6666666666666666,0.5621362601279388,0.6183498861407327,0.5013825815090054,24.0,18.116666666666667,1087.0,18.116666666666667,,,,,0.6516265644437502,-0.321541940793181,-0.3468942861249511,0.21609589263038131,-12.888000000000002,6.123433333333334,367.406,6.123433333333334,,,,,-0.20982375375088758
BTC-USDT-SWAP-LONG-1759311634000-17,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,-224.84540493046242,-2.6137533426382613,low,1.0,0.5504391298678034,0.6054830428545838,0.49976484384066233,147.0,3.0,180.0,3.0,257.06666666666666,260.06666666666666,1.4235450032298553,0.294560257204339,0.649665746474266,-0.3148511822843835,-0.33967598704142155,0.21539864769532546,-78.93900000000001,1.014,60.84,1.014,-109.76746666666666,-98.82533333333333,0.5580296412661033,-0.09131367973334509,-0.20919237036471366
BTC-USDT-SWAP-LONG-1759309625000-13,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,-83.53131316957304,-0.7666236543188483,low,1.0,0.5594284806873775,0.6153713287561153,0.5009783893077598,26.0,7.85,471.0,7.85,286.1,293.95,1.4244344677284568,0.38577954852529567,0.6139909946771204,-0.3199930909531799,-0.3452233154321807,0.2159216857916445,-13.962000000000002,2.6533,159.198,2.6533,-122.16470000000001,-111.701,0.5583783113495551,-0.11959166004284165,-0.19770510028603278
BTC-USDT-SWAP-LONG-1759320125000-20,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,82.59868035641222,0.13790462808434367,mid,1.0,0.5751858309718287,0.6327044140690117,0.5005448844825012,14.0,8.766666666666667,526.0,8.766666666666667,111.65,120.41666666666667,1.407578497129394,0.09083208093215958,0.6835316034479705,-0.329006295315886,-0.3549471762927156,0.21573484521195802,-7.518000000000001,2.963133333333334,177.788,2.963133333333334,-47.67455,-45.75833333333333,0.5517707708747225,-0.02815794508896947,-0.2200971763102465
BTC-USDT-SWAP-SHORT-1759310399000-15,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,783.9314742159676,2.877028446143522,high,0.6666666666666666,0.5962114219709271,0.6516265644437502,0.5003607510899307,27.0,38.13333333333333,2288.0,38.13333333333333,,,,,0.6233514443022244,-0.3410329333673703,-0.36556250265294393,0.21565548371976015,-14.499,12.889066666666668,773.344,12.889066666666668,,,,,-0.20071916506531629
BTC-USDT-SWAP-SHORT-1759328162000-22,2025-10-01,SHORT,RESOLVED_FAILED,failed_triggered,,,,90.81264467845686,1.2898112266969803,high,1.0,0.5820687562037316,0.6402756318241047,0.5013765861601845,9.0,4.783333333333333,287.0,4.783333333333333,3.5166666666666666,8.3,1.9464493145854485,0.050434839154505424,0.6509337578340961,-0.3329433285485344,-0.3591946294533228,0.21609330863503953,-4.833,1.6167666666666667,97.006,1.6167666666666667,-1.5016166666666666,-3.1540000000000004,0.7630081313174958,-0.01563480013789668,-0.20960067002257896
BTC-USDT-SWAP-SHORT-1759319738000-19,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,983.5953495966686,2.705576617413365,high,0.6666666666666666,0.6466444892187847,0.7113089381406632,0.5005462051220412,5.0,47.1,2826.0,47.1,,,,,0.6026734646245516,-0.36988064783314484,-0.3990443142969121,0.21573541440759975,-2.685,15.919800000000002,955.1880000000001,15.919800000000002,,,,,-0.19406085560910563
BTC-USDT-SWAP-LONG-1759329302000-24,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,50.46957396582194,1.6210833509769127,high,1.0,0.5515214931327608,0.6066736424460369,0.4995925194175722,37.0,5.266666666666667,316.0,5.266666666666667,48.65,53.916666666666664,4.8710279871244575,0.12414046361393345,0.6157731774183071,-0.31547029407193916,-0.34034391341222675,0.21532437586897363,-19.869,1.7801333333333333,106.808,1.7801333333333333,-20.77355,-20.488333333333333,1.9094429709527874,-0.03848354372031937,-0.1982789631286949
BTC-USDT-SWAP-LONG-1759329618000-25,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,-60.811607681372735,-2.834004894787865,low,1.0,0.5597937976530064,0.6157731774183071,0.4955444992051774,160.0,3.0,180.0,3.0,45.65,48.65,2.3509322084599664,0.12281395440519104,0.6567691167443536,-0.32020205225751963,-0.3454487525316703,0.21357967915743145,-85.92,1.014,60.84,1.014,-19.492549999999998,-18.487,0.9215654257163068,-0.03807232586560922,-0.21147965559168186
BTC-USDT-SWAP-LONG-1759333326000-26,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,-8.204223281073503,-0.7096602714038612,low,1.0,0.5506426935924373,0.6057069629516811,0.4983485107357311,96.0,3.0,180.0,3.0,22.783333333333335,25.783333333333335,1.7410410619299772,0.05226102214590004,0.6844082039166391,-0.3149676207348741,-0.33980160621589317,0.21478820812710012,-51.55200000000001,1.014,60.84,1.014,-9.728483333333333,-9.797666666666668,0.682488096276551,-0.016200916865229013,-0.2203794416611578
BTC-USDT-SWAP-SHORT-1759328977000-23,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,-20.585147639464427,-2.900086491926113,low,0.6666666666666666,0.6527814335633281,0.7180595769196609,0.5008160238945989,154.0,3.0,180.0,3.0,,,,,0.6048973388597326,-0.3733909799982236,-0.40283142265192984,0.21585170629857212,-82.69800000000001,1.014,60.84,1.014,,,,,-0.19477694311283392
BTC-USDT-SWAP-LONG-1759335663000-27,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,-38.386050051704636,-4.082413602998023,low,1.0,0.821961189621818,0.6491417333131578,0.5008278521458227,166.0,3.0,180.0,3.0,13.466666666666667,16.466666666666665,1.9888681784639037,0.19149436427295755,0.640526758261943,-0.47016180046367984,-0.3641685123886816,0.21585680427484957,-89.14200000000001,1.014,60.84,1.014,-5.750266666666667,-6.2573333333333325,0.7796363259578503,-0.05936325292461684,-0.20624961616034568
BTC-USDT-SWAP-SHORT-1759336341000-28,2025-10-01,SHORT,RESOLVED_FAILED,failed_triggered,,,,193.16635405534373,0.06933082536099847,mid,1.0,0.6218210395866408,0.6840031435453049,0.5000464294342615,10.0,10.116666666666667,607.0,10.116666666666667,11.75,21.866666666666667,1.5248198418806624,0.050724867384393996,0.621262608793067,-0.3556816346435585,-0.3837257635289161,0.2155200110861667,-5.37,3.4194333333333335,205.16600000000003,3.4194333333333335,-5.01725,-8.309333333333333,0.5977293780172197,-0.01572470888916214,-0.2000465600313676
BTC-USDT-SWAP-LONG-1759337102000-30,2025-10-01,LONG,INVALIDATED,invalidated_or_expired,,,,24.542200192031686,-3.4499628631842216,low,0.6666666666666666,0.6253622831282368,0.6878985114410606,0.4965994008306426,70.0,3.0,180.0,3.0,,,,,0.6404219219209238,-0.35770722594935145,-0.385911064918435,0.21403434175800695,-37.59,1.014,60.84,1.014,,,,,-0.2062158588585375
BTC-USDT-SWAP-LONG-1759339462000-33,2025-10-01,LONG,INVALIDATED,invalidated_or_expired,,,,100.33109371546455,-0.16994150056596447,mid,0.6666666666666666,0.5582265857246782,0.614049244297146,0.4998902755449602,130.0,8.15,489.0,8.15,,,,,0.6272414913357806,-0.3193056070345159,-0.34448162605069893,0.21545270875987785,-69.81,2.7547,165.282,2.7547,,,,,-0.20197176021012134
BTC-USDT-SWAP-SHORT-1759341434000-35,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,29.964175337330857,-0.4512546850454041,mid,0.6666666666666666,0.5626233507784897,0.6188856858563387,0.5002645579199646,60.0,3.0,180.0,3.0,,,,,0.7156001885774841,-0.3218205566452961,-0.3471948697654061,0.21561402446350475,-32.22,1.014,60.84,1.014,,,,,-0.23042326072194988
BTC-USDT-SWAP-SHORT-1759341402000-34,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,35.85946200553925,0.1962273310524294,mid,0.6666666666666666,0.5731987663530063,0.630518642988307,0.502063454637478,49.0,3.0,180.0,3.0,,,,,0.715331336456977,-0.32786969435391955,-0.3537209587164402,0.21638934894875303,-26.313000000000002,1.014,60.84,1.014,,,,,-0.2303366903391466
BTC-USDT-SWAP-LONG-1759353436000-37,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,3.9342025706861703,-0.6890176024843752,low,1.0,0.608479273117981,0.6693272004297791,0.5004184753772086,63.0,3.45,207.0,3.45,40.96666666666667,44.416666666666664,1.4442726330621263,0.08629362373429234,0.6007420414271426,-0.3480501442234851,-0.3754925594411061,0.21568036288757692,-33.831,1.1661000000000001,69.96600000000001,1.1661000000000001,-17.492766666666668,-16.878333333333334,0.5661548721603535,-0.026751023357630625,-0.19343893733953993
BTC-USDT-SWAP-LONG-1759341955000-36,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,601.1907999907346,-0.6538378418296994,low,1.0,0.6153291796899748,0.6768620976589723,0.5006463471339503,93.0,39.6,2376.0,39.6,202.63333333333333,242.23333333333332,2.0987265550594576,0.751912428383968,0.7031012860098266,-0.35196829078266556,-0.3797196367866835,0.21577857561473257,-49.941,13.384800000000002,803.0880000000001,13.384800000000002,-86.52443333333333,-92.04866666666666,0.8227008095833074,-0.23309285279903008,-0.22639861409516415
BTC-USDT-SWAP-SHORT-1759338483000-32,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,1004.2784537725358,2.631093633884628,high,0.6666666666666666,0.6259375660001774,0.6885313226001951,0.4997288522247323,27.0,48.65,2919.0,48.65,,,,,0.630518642988307,-0.35803628775210145,-0.3862660719787095,0.2153831353088596,-14.499,16.4437,986.6220000000001,16.4437,,,,,-0.20302700304223484
BTC-USDT-SWAP-LONG-1759357110000-38,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,74.21106564041462,1.0890300887504551,high,1.0,0.5534676883880566,0.6088144572268623,0.5000329096654521,13.0,5.966666666666667,358.0,5.966666666666667,52.21666666666667,58.18333333333333,3.2825302168095924,0.2102992535749517,0.6775233698863714,-0.31658351775796834,-0.3415449105042698,0.21551418406580986,-6.981000000000001,2.0167333333333337,121.004,2.0167333333333337,-22.296516666666665,-22.109666666666666,1.2867518449893602,-0.06519276860823503,-0.2181625251034116
BTC-USDT-SWAP-SHORT-1759338336000-31,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,1012.6449788193717,2.305368787897363,high,0.6666666666666666,0.6826053126152882,0.6597049247418506,0.5010452993272712,107.0,51.1,3066.0,51.1,,,,,0.630518642988307,-0.3904502388159448,-0.3700944627801782,0.21595052401005385,-57.459,17.271800000000002,1036.308,17.271800000000002,,,,,-0.20302700304223484
BTC-USDT-SWAP-SHORT-1759336948000-29,2025-10-01,SHORT,INVALIDATED,invalidated_or_expired,,,,481.428785810849,2.3066417719929873,high,0.6666666666666666,0.5647841898118791,0.621262608793067,0.5003766667929554,5.0,23.133333333333333,1388.0,23.133333333333333,,,,,0.6597049247418506,-0.3230565565723948,-0.34852832353291063,0.2156623433877638,-2.685,7.819066666666667,469.144,7.819066666666667,,,,,-0.2124249857668759
BTC-USDT-SWAP-LONG-1759361103000-39,2025-10-01,LONG,RESOLVED_FAILED,failed_triggered,,,,86.8811238373994,0.5762026390460467,high,1.0,0.5619126494276956,0.6181039143704652,0.49976788466628447,54.0,6.7,402.0,6.7,27.066666666666666,33.766666666666666,1.4663082708974366,0.2096711045293536,0.603417979021711,-0.32141403547264186,-0.346756295961831,0.2153999582911686,-28.998,2.2646,135.876,2.2646,-11.557466666666667,-12.831333333333333,0.5747928421917952,-0.06499804240409962,-0.19430058924499094
BTC-USDT-SWAP-SHORT-1759362377000-40,2025-10-01,SHORT,NO_TRIGGER,no_trigger,,,,-0.681943465847686,1.4665263191353881,high,0.3333333333333333,0.582262515517285,0.6404887670690136,0.5026966922277034,,,,,,,,,0.6404887670690136,-0.333054158875887,-0.35931419832571665,0.21666227435014015,,,,,,,,,-0.20623738299622238
BTC-USDT-SWAP-LONG-1759362936000-41,2025-10-01,LONG,NO_TRIGGER,no_trigger,,,,-0.6542235454686167,1.2954509850344154,high,0.3333333333333333,0.5638067698326891,0.620187446815958,0.5009267805433234,,,,,,,,,0.620187446815958,-0.3224974723442981,-0.3479251576637525,0.2158994424141724,,,,,,,,,-0.1997003578747385
