date,symbol,direction,zoneType,status,zoneStartTs,zoneConfirmedTs,triggerTs,zoneLow,zoneHigh,triggerPrice,targetPrice,target4h,target8h,target24h,mfe,mae,timeToTarget,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-02-01T14:10:21.000Z,2026-02-01T14:57:57.000Z,2026-02-01T15:18:54.000Z,77211.55,78489.75,77171.6,75628.168,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.979,1.620,,,,,,"candidate@2026-02-01T14:10:21.000Z{buyPressure=0.611,askRefillScore=0.500,upMovePct=0.000,absorbScore=0.672,rangeCompression=true} | confirmed@2026-02-01T14:57:57.000Z{cyclesSeen=31.000,ageMin=47.600,defendedPersistenceSec=2856.000,oppositeThinning=0.499,voidScore=0.518} | trigger@2026-02-01T15:18:54.000Z{breakPct=0.052,flowMultiplier=4.290,sideFlowOK=true,triggerPrice=77171.600,targetPrice=75628.168} | expire@2026-02-02T15:18:54.000Z{allHorizonsFailed=true,targetPrice=75628.168}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T15:42:21.000Z,2026-02-01T15:45:21.000Z,-,77113.45,77299.95,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T15:42:21.000Z{sellPressure=0.553,bidRefillScore=0.500,downMovePct=0.000,absorbScore=0.608,rangeCompression=true} | confirmed@2026-02-01T15:45:21.000Z{cyclesSeen=135.000,ageMin=3.000,defendedPersistenceSec=180.000,oppositeThinning=0.500,voidScore=0.579} | invalidate@2026-02-01T20:28:32.000Z{mid=76699.250,zoneLow=77113.450,zoneHigh=77299.950}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T15:42:39.000Z,2026-02-01T16:00:05.000Z,-,77113.45,77835.6,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T15:42:39.000Z{sellPressure=0.552,bidRefillScore=0.498,downMovePct=0.000,absorbScore=0.607,rangeCompression=true} | confirmed@2026-02-01T16:00:05.000Z{cyclesSeen=131.000,ageMin=17.433,defendedPersistenceSec=1046.000,oppositeThinning=0.501,voidScore=0.486} | invalidate@2026-02-01T20:28:32.000Z{mid=76699.250,zoneLow=77113.450,zoneHigh=77835.600}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-02-01T16:18:54.000Z,2026-02-01T17:03:12.000Z,-,77100.65,77810.85,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T16:18:54.000Z{buyPressure=0.606,askRefillScore=0.501,upMovePct=0.000,absorbScore=0.666,rangeCompression=true} | confirmed@2026-02-01T17:03:12.000Z{cyclesSeen=54.000,ageMin=44.300,defendedPersistenceSec=2658.000,oppositeThinning=0.493,voidScore=0.244} | invalidate@2026-02-01T18:08:40.000Z{mid=78200.050,zoneLow=77100.650,zoneHigh=77810.850}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T18:19:57.000Z,2026-02-01T18:29:23.000Z,-,77964.85,78404.5,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T18:19:57.000Z{sellPressure=0.664,bidRefillScore=0.506,downMovePct=0.000,absorbScore=0.730,rangeCompression=true} | confirmed@2026-02-01T18:29:23.000Z{cyclesSeen=15.000,ageMin=9.433,defendedPersistenceSec=566.000,oppositeThinning=0.500,voidScore=0.548} | invalidate@2026-02-01T19:16:04.000Z{mid=77569.500,zoneLow=77964.850,zoneHigh=78404.500}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,INVALIDATED,2026-02-01T18:29:23.000Z,2026-02-01T18:32:29.000Z,-,78050.45,78135.298125,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T18:29:23.000Z{sellPressure=0.641,bidRefillScore=0.499,downMovePct=0.000,absorbScore=0.699,rangeCompression=true} | confirmed@2026-02-01T18:32:29.000Z{cyclesSeen=119.000,ageMin=3.100,defendedPersistenceSec=186.000,oppositeThinning=0.500,voidScore=0.536} | invalidate@2026-02-01T19:15:37.000Z{mid=77657.450,zoneLow=78050.450,zoneHigh=78135.298}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,RESOLVED_FAILED,2026-02-01T19:54:55.000Z,2026-02-01T20:02:19.000Z,2026-02-01T20:04:02.000Z,76953.35,77230.64602500001,76906.35,75368.223,failed_by_timeout,failed_by_timeout,failed_by_timeout,1.641,1.102,,,,,,"candidate@2026-02-01T19:54:55.000Z{buyPressure=0.598,askRefillScore=0.501,upMovePct=0.000,absorbScore=0.658,rangeCompression=true} | confirmed@2026-02-01T20:02:19.000Z{cyclesSeen=19.000,ageMin=7.400,defendedPersistenceSec=444.000,oppositeThinning=0.504,voidScore=0.474} | trigger@2026-02-01T20:04:02.000Z{breakPct=0.061,flowMultiplier=2.295,sideFlowOK=true,triggerPrice=76906.350,targetPrice=75368.223} | expire@2026-02-02T20:04:02.000Z{allHorizonsFailed=true,targetPrice=75368.223}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T20:08:02.000Z,2026-02-01T20:14:57.000Z,2026-02-01T20:39:21.000Z,76869.795875,77269.75,77571.55,79122.981,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.235,2.485,,,,,,"candidate@2026-02-01T20:08:02.000Z{sellPressure=0.584,bidRefillScore=0.490,downMovePct=0.000,absorbScore=0.642,rangeCompression=true} | confirmed@2026-02-01T20:14:57.000Z{cyclesSeen=45.000,ageMin=6.917,defendedPersistenceSec=415.000,oppositeThinning=0.501,voidScore=0.517} | trigger@2026-02-01T20:39:21.000Z{breakPct=0.391,flowMultiplier=1.408,sideFlowOK=true,triggerPrice=77571.550,targetPrice=79122.981} | expire@2026-02-02T20:39:21.000Z{allHorizonsFailed=true,targetPrice=79122.981}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,INVALIDATED,2026-02-01T21:15:11.000Z,2026-02-01T21:43:33.000Z,-,76507.15,77134.85,,,invalidated_before_trigger,invalidated_before_trigger,invalidated_before_trigger,,,,,,,,"candidate@2026-02-01T21:15:11.000Z{buyPressure=0.664,askRefillScore=0.506,upMovePct=0.000,absorbScore=0.731,rangeCompression=true} | confirmed@2026-02-01T21:43:33.000Z{cyclesSeen=18.000,ageMin=28.367,defendedPersistenceSec=1702.000,oppositeThinning=0.498,voidScore=0.131} | invalidate@2026-02-01T22:12:21.000Z{mid=77527.800,zoneLow=76507.150,zoneHigh=77134.850}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T21:21:56.000Z,2026-02-01T21:51:05.000Z,2026-02-01T22:11:01.000Z,76410.20000000001,77134.85,77276.75,78822.285,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.617,2.113,,,,,,"candidate@2026-02-01T21:21:56.000Z{sellPressure=0.589,bidRefillScore=0.490,downMovePct=0.000,absorbScore=0.648,rangeCompression=true} | confirmed@2026-02-01T21:51:05.000Z{cyclesSeen=55.000,ageMin=29.150,defendedPersistenceSec=1749.000,oppositeThinning=0.500,voidScore=0.579} | trigger@2026-02-01T22:11:01.000Z{breakPct=0.184,flowMultiplier=1.410,sideFlowOK=true,triggerPrice=77276.750,targetPrice=78822.285} | expire@2026-02-02T22:11:01.000Z{allHorizonsFailed=true,targetPrice=78822.285}"
2026-02-01,BTCUSDT,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T22:41:01.000Z,2026-02-01T23:12:12.000Z,2026-02-01T23:36:10.000Z,75668.95,77516.25,77560.5,79111.71,failed_by_timeout,failed_by_timeout,failed_by_timeout,0.034,0.925,,,,,,"candidate@2026-02-01T22:41:01.000Z{sellPressure=0.552,bidRefillScore=0.506,downMovePct=0.000,absorbScore=0.607,rangeCompression=true} | confirmed@2026-02-01T23:12:12.000Z{cyclesSeen=18.000,ageMin=31.183,defendedPersistenceSec=1871.000,oppositeThinning=0.500,voidScore=0.575} | trigger@2026-02-01T23:36:10.000Z{breakPct=0.057,flowMultiplier=3.235,sideFlowOK=true,triggerPrice=77560.500,targetPrice=79111.710} | expire@2026-02-02T23:36:10.000Z{allHorizonsFailed=true,targetPrice=79111.710}"
2026-02-01,BTCUSDT,SHORT,DISTRIBUTION,NO_TRIGGER,2026-02-01T23:59:26.000Z,-,-,76864.498525,76941.45,,,no_trigger,no_trigger,no_trigger,,,,,,,,"candidate@2026-02-01T23:59:26.000Z{buyPressure=0.577,askRefillScore=0.501,upMovePct=0.000,absorbScore=0.635,rangeCompression=true} | expire@2026-02-01T23:59:59.965Z{reason=End of replay; no trigger seen}"
