zone_id,venue,date,final_shadow_decision,hybrid_decision,m4_thin_decision,target_hit,stop_hit,timeout,result,pnl_after_cost,MFE,MAE,hit_2pct,hit_2_5pct,hit_3pct,time_to_2pct_min,time_to_2_5pct_min,time_to_3pct_min
BTCUSDT-LONG-1779344451000-11,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.3094,0.767,-1.144,0,0,0,,,
BTCUSDT-SHORT-1779346581000-12,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.1008,1.122,-0.79,0,0,0,,,
BTCUSDT-SHORT-1779357069000-14,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.2595,1.184,-0.577,0,0,0,,,
BTCUSDT-SHORT-1779359582000-16,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.0617,0.84,-0.928,0,0,0,,,
BTCUSDT-SHORT-1779359514000-15,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.0617,0.84,-0.928,0,0,0,,,
BTCUSDT-LONG-1779360866000-17,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.0393,1.135,-0.636,0,0,0,,,
BTCUSDT-LONG-1779362883000-18,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.0368,1.096,-0.674,0,0,0,,,
BTCUSDT-LONG-1779366351000-19,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.2031,1.227,-0.546,0,0,0,,,
BTCUSDT-LONG-1779371170000-20,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.2777,1.643,-0.076,0,0,0,,,
BTCUSDT-LONG-1779371350000-21,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.026,1.226,-0.485,0,0,0,,,
BTCUSDT-SHORT-1779371412000-22,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.1043,0.468,-1.243,0,0,0,,,
BTCUSDT-SHORT-1779372363000-23,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.086,0.305,-1.466,0,0,0,,,
BTCUSDT-LONG-1779378060000-24,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.6031,1.117,-0.872,0,0,0,,,
BTCUSDT-SHORT-1779391977000-25,BINANCE_MAY,2026-05-21,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.599,-0.289,1,1,0,1371.0,1415.8,
BTCUSDT-SHORT-1779409025000-1,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.745,-0.535,1,1,0,1150.1,1343.8,
BTCUSDT-SHORT-1779411938000-2,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.822,-0.64,1,1,0,1102.0,1359.4,
BTCUSDT-SHORT-1779414465000-3,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.146,-0.304,1,1,1,1015.2,1060.2,1362.2
BTCUSDT-SHORT-1779416443000-4,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.15,-0.299,1,1,1,982.3,1027.1,1329.2
BTCUSDT-SHORT-1779422839000-5,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.401,-0.04,1,1,1,875.2,920.2,1175.1
BTCUSDT-SHORT-1779440811000-6,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.889,-0.444,1,1,1,618.6,920.6,1357.9
BTCUSDT-LONG-1779456909000-9,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.16,-3.862,0,0,0,,,
BTCUSDT-SHORT-1779459206000-11,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.633,-0.089,1,1,1,567.6,1048.6,1052.6
BTCUSDT-LONG-1779458993000-10,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.291,-3.44,0,0,0,,,
BTCUSDT-SHORT-1779460506000-12,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.347,-0.387,1,1,1,594.9,1032.2,1032.5
BTCUSDT-SHORT-1779461413000-13,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.342,-0.392,1,1,1,579.8,1017.1,1017.4
BTCUSDT-LONG-1779464653000-14,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.402,-3.333,0,0,0,,,
BTCUSDT-SHORT-1779465008000-15,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.326,-0.409,1,1,1,513.0,950.3,950.6
BTCUSDT-SHORT-1779467230000-16,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.506,-0.221,1,1,1,429.3,907.8,911.8
BTCUSDT-LONG-1779476321000-17,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.016,-3.053,0,0,0,,,
BTCUSDT-LONG-1779476493000-18,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.226,-2.631,0,0,0,,,
BTCUSDT-LONG-1779477261000-19,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.19,-2.665,0,0,0,,,
BTCUSDT-SHORT-1779478080000-20,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.4045,1.933,-0.512,0,0,0,,,
BTCUSDT-SHORT-1779478203000-21,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.4045,1.933,-0.512,0,0,0,,,
BTCUSDT-LONG-1779479332000-22,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.191,-2.246,0,0,0,,,
BTCUSDT-LONG-1779480095000-23,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.285,-2.155,0,0,0,,,
BTCUSDT-LONG-1779483676000-24,BINANCE_MAY,2026-05-22,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.913,-2.33,0,0,0,,,
BTCUSDT-SHORT-1779494198000-27,BINANCE_MAY,2026-05-22,ACCEPT,HYBRID_PASS,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.728,-2.541,0,0,0,,,
BTCUSDT-LONG-1779494431000-1,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,2.556,-1.713,1,1,0,1248.1,1252.8,
BTCUSDT-LONG-1779496376000-2,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,2.774,-1.505,1,1,0,1205.2,1223.5,
BTCUSDT-LONG-1779496841000-3,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.911,-1.374,1,1,0,1194.5,1213.3,
BTCUSDT-LONG-1779522387000-4,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.127,-1.166,1,1,1,768.4,785.9,790.7
BTCUSDT-LONG-1779522735000-5,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.922,-0.265,1,1,1,683.3,761.6,762.9
BTCUSDT-LONG-1779522811000-6,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.908,-0.279,1,1,1,722.6,749.6,750.4
BTCUSDT-LONG-1779525537000-7,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,4.084,-0.027,1,1,1,578.5,709.8,715.9
BTCUSDT-LONG-1779531708000-8,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.646,-0.11,1,1,1,606.4,612.4,630.1
BTCUSDT-LONG-1779542022000-9,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,3.541,-0.14,1,1,1,430.4,432.3,450.7
BTCUSDT-LONG-1779547725000-10,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.911,-0.095,1,1,0,349.4,368.3,
BTCUSDT-LONG-1779549307000-11,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.681,-0.318,1,1,0,337.3,1149.0,
BTCUSDT-LONG-1779560787000-12,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.405,-0.072,1,0,0,141.1,,
BTCUSDT-LONG-1779567762000-13,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.095,-0.111,1,0,0,841.4,,
BTCUSDT-LONG-1779569432000-14,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.3129,1.096,-0.728,0,0,0,,,
BTCUSDT-LONG-1779569504000-15,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.3625,1.049,-0.775,0,0,0,,,
BTCUSDT-LONG-1779569722000-16,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.9191,1.181,-0.79,0,0,0,,,
BTCUSDT-SHORT-1779572854000-17,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.4354,0.939,-1.072,0,0,0,,,
BTCUSDT-SHORT-1779573673000-18,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.0784,0.963,-1.047,0,0,0,,,
BTCUSDT-SHORT-1779575764000-19,BINANCE_MAY,2026-05-23,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.7435,0.529,-1.491,0,0,0,,,
BTCUSDT-SHORT-1779580831000-1,BINANCE_MAY,2026-05-24,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.76,0.774,-1.241,0,0,0,,,
BTCUSDT-SHORT-1779583671000-2,BINANCE_MAY,2026-05-24,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.6136,0.952,-1.059,0,0,0,,,
BTCUSDT-SHORT-1779605511000-3,BINANCE_MAY,2026-05-24,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.7215,1.193,-0.914,0,0,0,,,
BTCUSDT-SHORT-1779618423000-4,BINANCE_MAY,2026-05-24,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.555,1.464,-0.664,0,0,0,,,
BTCUSDT-SHORT-1779639657000-5,BINANCE_MAY,2026-05-24,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.659,-1.734,0,0,0,,,
BTCUSDT-SHORT-1779658938000-6,BINANCE_MAY,2026-05-24,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.172,-2.231,0,0,0,,,
BTCUSDT-SHORT-1779660202000-7,BINANCE_MAY,2026-05-24,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.075,-1.59,0,0,0,,,
BTCUSDT-SHORT-1779667293000-1,BINANCE_MAY,2026-05-25,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.2715,0.345,-0.973,0,0,0,,,
BTCUSDT-SHORT-1779674777000-2,BINANCE_MAY,2026-05-25,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.6451,1.057,-0.696,0,0,0,,,
BTCUSDT-SHORT-1779674841000-3,BINANCE_MAY,2026-05-25,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.6531,1.098,-0.654,0,0,0,,,
BTCUSDT-SHORT-1779681883000-4,BINANCE_MAY,2026-05-25,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.3698,0.723,-1.165,0,0,0,,,
BTCUSDT-SHORT-1779689347000-5,BINANCE_MAY,2026-05-25,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.5513,1.201,-0.678,0,0,0,,,
BTCUSDT-SHORT-1779701657000-6,BINANCE_MAY,2026-05-25,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.9749,1.436,-0.439,0,0,0,,,
BTCUSDT-SHORT-1779721856000-7,BINANCE_MAY,2026-05-25,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.937,1.687,-0.427,0,0,0,,,
BTCUSDT-LONG-1779753631000-1,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.068,-2.086,0,0,0,,,
BTCUSDT-LONG-1779754519000-2,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.208,-1.949,0,0,0,,,
BTCUSDT-LONG-1779755026000-3,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.272,-1.888,0,0,0,,,
BTCUSDT-LONG-1779755920000-4,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.575,-1.594,0,0,0,,,
BTCUSDT-LONG-1779756245000-5,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.643,-1.529,0,0,0,,,
BTCUSDT-LONG-1779756719000-6,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-1.0205,1.815,-1.362,0,0,0,,,
BTCUSDT-LONG-1779756783000-7,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-1.0765,1.709,-1.464,0,0,0,,,
BTCUSDT-LONG-1779766077000-8,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.019,-1.164,1,0,0,655.1,,
BTCUSDT-LONG-1779792344000-9,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.715,-2.896,0,0,0,,,
BTCUSDT-LONG-1779793908000-10,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.087,-2.538,0,0,0,,,
BTCUSDT-SHORT-1779807366000-11,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.764,-0.045,1,1,0,794.8,1341.6,
BTCUSDT-LONG-1779809192000-13,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.353,-2.19,0,0,0,,,
BTCUSDT-SHORT-1779808598000-12,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.163,-0.381,1,0,0,1313.0,,
BTCUSDT-SHORT-1779810363000-14,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.189,-0.354,1,0,0,1309.2,,
BTCUSDT-SHORT-1779817241000-15,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,1.2959,1.636,-0.419,0,0,0,,,
BTCUSDT-SHORT-1779817255000-16,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,1.2664,1.621,-0.433,0,0,0,,,
BTCUSDT-SHORT-1779817422000-17,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,1.356,1.686,-0.368,0,0,0,,,
BTCUSDT-SHORT-1779820005000-18,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,1.1084,1.721,-0.288,0,0,0,,,
BTCUSDT-LONG-1779821244000-19,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.412,-1.599,0,0,0,,,
BTCUSDT-LONG-1779828003000-21,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.155,-1.849,0,0,0,,,
BTCUSDT-LONG-1779829295000-22,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.224,-1.781,0,0,0,,,
BTCUSDT-SHORT-1779834251000-23,BINANCE_MAY,2026-05-26,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,1,0,0,WIN,1.86,2.042,-0.515,1,0,0,1428.4,,
BTCUSDT-LONG-1779840944000-1,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.373,-2.192,0,0,0,,,
BTCUSDT-LONG-1779843783000-2,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.218,-2.342,0,0,0,,,
BTCUSDT-LONG-1779847386000-3,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.476,-2.236,0,0,0,,,
BTCUSDT-LONG-1779848353000-4,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.575,-2.139,0,0,0,,,
BTCUSDT-LONG-1779855465000-5,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.872,-3.748,0,0,0,,,
BTCUSDT-LONG-1779856226000-6,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.134,-3.498,0,0,0,,,
BTCUSDT-LONG-1779856287000-7,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,1.089,-3.54,0,0,0,,,
BTCUSDT-LONG-1779888491000-8,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.458,-3.293,0,0,0,,,
BTCUSDT-LONG-1779889092000-9,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.784,-2.978,0,0,0,,,
BTCUSDT-LONG-1779889145000-10,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.756,-3.005,0,0,0,,,
BTCUSDT-LONG-1779892057000-11,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.739,-3.171,0,0,0,,,
BTCUSDT-LONG-1779904585000-12,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.739,-3.049,0,0,0,,,
BTCUSDT-LONG-1779918254000-13,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.551,-2.391,0,0,0,,,
BTCUSDT-LONG-1779918267000-14,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.394,-2.543,0,0,0,,,
BTCUSDT-LONG-1779920033000-15,BINANCE_MAY,2026-05-27,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.284,-2.514,0,0,0,,,
BTCUSDT-LONG-1779926431000-1,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.089,-2.608,0,0,0,,,
BTCUSDT-LONG-1779931041000-3,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.287,-2.347,0,0,0,,,
BTCUSDT-LONG-1779938196000-4,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.33,-1.538,0,0,0,,,
BTCUSDT-LONG-1779938276000-5,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,1,0,LOSS,-1.64,0.328,-1.539,0,0,0,,,
BTCUSDT-LONG-1779939396000-6,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,-0.3158,0.695,-1.18,0,0,0,,,
BTCUSDT-LONG-1779940393000-7,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.1303,1.13,-0.752,0,0,0,,,
BTCUSDT-LONG-1779940611000-8,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.3179,1.324,-0.562,0,0,0,,,
BTCUSDT-LONG-1779941042000-9,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.0562,1.129,-0.753,0,0,0,,,
BTCUSDT-LONG-1779950053000-10,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,1.0839,1.598,-0.293,0,0,0,,,
BTCUSDT-LONG-1779961934000-11,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.1322,0.577,-1.295,0,0,0,,,
BTCUSDT-LONG-1779977136000-12,BINANCE_MAY,2026-05-28,REJECT,HYBRID_REJECT,M4_THIN_ONLY_REJECT,0,0,1,TIMEOUT,0.0396,1.57,-0.285,0,0,0,,,
