window_id,direction,bybit_cluster,okx_cluster,lead_lag_min,bybit_state,okx_state,bybit_hit2,okx_hit2,agree_state
W3_JANUARY,LONG,By-W3_JANUARY-LONG-13,OK-W3_JANUARY-LONG-14,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-14,OK-W3_JANUARY-LONG-15,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-15,OK-W3_JANUARY-LONG-16,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-16,OK-W3_JANUARY-LONG-17,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-17,OK-W3_JANUARY-LONG-18,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-18,OK-W3_JANUARY-LONG-19,0,NO_CONTROL_CHOP,UNKNOWN,0,0,0
W3_JANUARY,LONG,By-W3_JANUARY-LONG-19,OK-W3_JANUARY-LONG-20,0,NO_CONTROL_CHOP,UNKNOWN,1,1,0
W3_JANUARY,LONG,By-W3_JANUARY-LONG-20,OK-W3_JANUARY-LONG-21,0,NO_CONTROL_CHOP,NO_CONTROL_CHOP,1,1,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-21,OK-W3_JANUARY-LONG-22,0,UNKNOWN,UNKNOWN,1,1,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-22,OK-W3_JANUARY-LONG-23,0,NO_CONTROL_CHOP,NO_CONTROL_CHOP,0,0,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-23,OK-W3_JANUARY-LONG-24,0,UNKNOWN,UNKNOWN,0,0,1
W3_JANUARY,LONG,By-W3_JANUARY-LONG-24,OK-W3_JANUARY-LONG-25,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-0,OK-W4_APRIL-SHORT-0,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-1,OK-W4_APRIL-SHORT-1,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-2,OK-W4_APRIL-SHORT-2,0,UNKNOWN,DISTRIBUTION_INTO_BOUNCE,1,1,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-3,OK-W4_APRIL-SHORT-3,0,DISTRIBUTION_INTO_BOUNCE,UNKNOWN,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-4,OK-W4_APRIL-SHORT-4,0,UNKNOWN,NO_CONTROL_CHOP,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-5,OK-W4_APRIL-SHORT-5,0,UNKNOWN,DISTRIBUTION_INTO_BOUNCE,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-6,OK-W4_APRIL-SHORT-6,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-7,OK-W4_APRIL-SHORT-7,0,NO_CONTROL_CHOP,NO_CONTROL_CHOP,0,0,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-9,OK-W4_APRIL-SHORT-8,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-10,OK-W4_APRIL-SHORT-9,1,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-11,OK-W4_APRIL-SHORT-10,0,DISTRIBUTION_INTO_BOUNCE,UNKNOWN,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-12,OK-W4_APRIL-SHORT-12,0,DISTRIBUTION_INTO_BOUNCE,UNKNOWN,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-13,OK-W4_APRIL-SHORT-13,0,DISTRIBUTION_INTO_BOUNCE,UNKNOWN,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-14,OK-W4_APRIL-SHORT-14,0,UNKNOWN,DISTRIBUTION_INTO_BOUNCE,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-15,OK-W4_APRIL-SHORT-15,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-16,OK-W4_APRIL-SHORT-16,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-17,OK-W4_APRIL-SHORT-17,0,NO_CONTROL_CHOP,DISTRIBUTION_INTO_BOUNCE,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-18,OK-W4_APRIL-SHORT-18,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-19,OK-W4_APRIL-SHORT-19,-1,UNKNOWN,NO_CONTROL_CHOP,1,1,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-20,OK-W4_APRIL-SHORT-20,0,DISTRIBUTION_INTO_BOUNCE,UNKNOWN,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-21,OK-W4_APRIL-SHORT-21,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-22,OK-W4_APRIL-SHORT-22,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-23,OK-W4_APRIL-SHORT-24,0,UNKNOWN,NO_CONTROL_CHOP,0,0,0
W4_APRIL,SHORT,By-W4_APRIL-SHORT-24,OK-W4_APRIL-SHORT-25,-4,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,SHORT,By-W4_APRIL-SHORT-25,OK-W4_APRIL-SHORT-26,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-26,OK-W4_APRIL-LONG-27,0,NO_CONTROL_CHOP,NO_CONTROL_CHOP,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-27,OK-W4_APRIL-LONG-28,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-28,OK-W4_APRIL-LONG-29,0,UNKNOWN,UNKNOWN,1,1,1
W4_APRIL,LONG,By-W4_APRIL-LONG-29,OK-W4_APRIL-LONG-30,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-30,OK-W4_APRIL-LONG-31,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-31,OK-W4_APRIL-LONG-32,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-32,OK-W4_APRIL-LONG-33,0,UNKNOWN,UNKNOWN,0,0,1
W4_APRIL,LONG,By-W4_APRIL-LONG-33,OK-W4_APRIL-LONG-34,0,NO_CONTROL_CHOP,UNKNOWN,0,0,0
