cluster_id,exchange,window_id,date,ts_start,direction_candidate,entry_price,future_mfe_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2,time_to_2_5,time_to_3,duplicate_cluster_size,is_primary_cluster
OK-W1_NOVEMBER-LONG-29,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T18:09:00+00:00,LONG,84077.45,1.998,0,0,0,0,1,TIMEOUT,,,,3,1
OK-W1_NOVEMBER-LONG-30,OKX,W1_NOVEMBER,2025-11-21,2025-11-21T22:36:00+00:00,LONG,84513.65,1.535,0,0,0,0,1,TIMEOUT,,,,2,1
OK-W1_NOVEMBER-LONG-31,OKX,W1_NOVEMBER,2025-11-22,2025-11-22T01:12:00+00:00,LONG,84680.05,0.569,0,0,0,0,1,TIMEOUT,,,,2,1
OK-W1_NOVEMBER-LONG-32,OKX,W1_NOVEMBER,2025-11-22,2025-11-22T08:41:00+00:00,LONG,83967.55,0.743,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W1_NOVEMBER-LONG-33,OKX,W1_NOVEMBER,2025-11-22,2025-11-22T12:27:00+00:00,LONG,83618.05,1.399,0,0,0,0,1,TIMEOUT,,,,1,1
OK-W1_NOVEMBER-LONG-34,OKX,W1_NOVEMBER,2025-11-22,2025-11-22T21:13:00+00:00,LONG,84249.05,1.06,0,0,0,0,1,TIMEOUT,,,,1,1
By-W3_JANUARY-SHORT-0,Bybit,W3_JANUARY,2026-01-28,2026-01-28T01:01:00+00:00,SHORT,89416.95,0.669,0,0,0,0,1,TIMEOUT,,,,6,1
By-W3_JANUARY-SHORT-1,Bybit,W3_JANUARY,2026-01-28,2026-01-28T09:33:00+00:00,SHORT,89099.35,1.215,0,0,0,0,1,TIMEOUT,,,,4,1
By-W3_JANUARY-SHORT-2,Bybit,W3_JANUARY,2026-01-28,2026-01-28T15:47:00+00:00,SHORT,89299.75,1.265,0,0,0,0,1,TIMEOUT,,,,4,1
By-W3_JANUARY-SHORT-3,Bybit,W3_JANUARY,2026-01-28,2026-01-28T20:03:00+00:00,SHORT,89450.05,1.948,0,0,0,0,1,TIMEOUT,,,,4,1
By-W3_JANUARY-SHORT-4,Bybit,W3_JANUARY,2026-01-29,2026-01-29T03:17:00+00:00,SHORT,88045.25,2.17,0,0,0,0,1,TIMEOUT,,,,13,1
By-W3_JANUARY-SHORT-5,Bybit,W3_JANUARY,2026-01-29,2026-01-29T19:35:00+00:00,SHORT,84085.95,2.677,1,0,0,0,0,WIN,366,,,5,1
By-W3_JANUARY-SHORT-6,Bybit,W3_JANUARY,2026-01-30,2026-01-30T02:57:00+00:00,SHORT,82070.25,0.089,0,0,0,0,1,TIMEOUT,,,,1,1
By-W3_JANUARY-SHORT-7,Bybit,W3_JANUARY,2026-01-30,2026-01-30T05:10:00+00:00,SHORT,82937.05,1.098,0,0,0,0,1,TIMEOUT,,,,8,1
By-W3_JANUARY-SHORT-8,Bybit,W3_JANUARY,2026-01-30,2026-01-30T16:34:00+00:00,SHORT,83032.65,1.63,0,0,0,1,0,LOSS,,,,4,1
By-W3_JANUARY-SHORT-9,Bybit,W3_JANUARY,2026-01-30,2026-01-30T22:51:00+00:00,SHORT,84086.65,1.772,0,0,0,0,1,TIMEOUT,,,,7,1
By-W3_JANUARY-SHORT-10,Bybit,W3_JANUARY,2026-01-31,2026-01-31T08:03:00+00:00,SHORT,83509.25,2.639,1,0,0,0,0,WIN,383,,,9,1
By-W3_JANUARY-SHORT-11,Bybit,W3_JANUARY,2026-01-31,2026-01-31T19:11:00+00:00,SHORT,78111.05,1.307,0,0,0,0,1,TIMEOUT,,,,5,1
By-W3_JANUARY-LONG-12,Bybit,W3_JANUARY,2026-01-28,2026-01-28T14:42:00+00:00,LONG,89695.5,1.518,0,0,0,0,1,TIMEOUT,,,,2,1
By-W3_JANUARY-LONG-13,Bybit,W3_JANUARY,2026-01-28,2026-01-28T18:54:00+00:00,LONG,89431.75,0.371,0,0,0,1,0,LOSS,,,,1,1
By-W3_JANUARY-LONG-14,Bybit,W3_JANUARY,2026-01-28,2026-01-28T21:04:00+00:00,LONG,88935.75,0.563,0,0,0,0,1,TIMEOUT,,,,1,1
By-W3_JANUARY-LONG-15,Bybit,W3_JANUARY,2026-01-29,2026-01-29T01:56:00+00:00,LONG,88541.95,0.201,0,0,0,0,1,TIMEOUT,,,,2,1
By-W3_JANUARY-LONG-16,Bybit,W3_JANUARY,2026-01-29,2026-01-29T14:55:00+00:00,LONG,87405.65,1.458,0,0,0,1,0,LOSS,,,,6,1
By-W3_JANUARY-LONG-17,Bybit,W3_JANUARY,2026-01-30,2026-01-30T00:55:00+00:00,LONG,84162.75,1.864,0,0,0,1,0,LOSS,,,,3,1
By-W3_JANUARY-LONG-18,Bybit,W3_JANUARY,2026-01-30,2026-01-30T06:30:00+00:00,LONG,82334.55,1.11,0,0,0,0,1,TIMEOUT,,,,1,1
By-W3_JANUARY-LONG-19,Bybit,W3_JANUARY,2026-01-30,2026-01-30T13:08:00+00:00,LONG,82603.15,2.075,1,0,0,0,0,WIN,371,,,1,1
By-W3_JANUARY-LONG-20,Bybit,W3_JANUARY,2026-01-30,2026-01-30T15:33:00+00:00,LONG,82628.45,2.044,1,0,0,0,0,WIN,226,,,2,1
By-W3_JANUARY-LONG-21,Bybit,W3_JANUARY,2026-01-30,2026-01-30T18:24:00+00:00,LONG,81982.05,2.154,1,0,0,0,0,WIN,29,,,2,1
By-W3_JANUARY-LONG-22,Bybit,W3_JANUARY,2026-01-31,2026-01-31T08:15:00+00:00,LONG,83172.55,0.115,0,0,0,1,0,LOSS,,,,1,1
By-W3_JANUARY-LONG-23,Bybit,W3_JANUARY,2026-01-31,2026-01-31T14:17:00+00:00,LONG,82367.55,0.0,0,0,0,1,0,LOSS,,,,1,1
By-W3_JANUARY-LONG-24,Bybit,W3_JANUARY,2026-01-31,2026-01-31T16:49:00+00:00,LONG,80410.15,2.022,0,0,0,1,0,LOSS,,,,4,1
OK-W3_JANUARY-SHORT-0,OKX,W3_JANUARY,2026-01-28,2026-01-28T01:01:00+00:00,SHORT,89411.75,0.662,0,0,0,0,1,TIMEOUT,,,,5,1
OK-W3_JANUARY-SHORT-1,OKX,W3_JANUARY,2026-01-28,2026-01-28T09:33:00+00:00,SHORT,89104.45,1.203,0,0,0,0,1,TIMEOUT,,,,4,1
OK-W3_JANUARY-SHORT-2,OKX,W3_JANUARY,2026-01-28,2026-01-28T15:47:00+00:00,SHORT,89302.05,1.264,0,0,0,0,1,TIMEOUT,,,,3,1
OK-W3_JANUARY-SHORT-3,OKX,W3_JANUARY,2026-01-28,2026-01-28T20:03:00+00:00,SHORT,89453.75,1.949,0,0,0,0,1,TIMEOUT,,,,5,1
OK-W3_JANUARY-SHORT-4,OKX,W3_JANUARY,2026-01-29,2026-01-29T03:17:00+00:00,SHORT,88050.05,2.157,0,0,0,0,1,TIMEOUT,,,,13,1
