window_id,exchange,ts_min,date,ts_iso,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,net_taker_30m,taker_imb_30m,cvd_delta_60m,price_change_30m,sell_frac_30m,trade_count_spike,effort_vs_result_raw,vol_30m_btc
W1_NOVEMBER,Bybit,29393912,2025-11-20,2025-11-20T10:32:00+00:00,SHORT,91923.55,2.051,0.25,1,0,0,0,0,WIN,324,,,0.081,-0.113,0.054,0.499,0.525,0.468,0.011,0.3822,-340.55,-0.2076,-618.126,-0.033,0.604,1.21,0.0068,1640.034
W1_NOVEMBER,Bybit,29393984,2025-11-20,2025-11-20T11:44:00+00:00,SHORT,91750.25,2.116,0.44,1,0,0,0,0,WIN,255,,,-0.013,-0.523,0.053,0.328,0.713,0.372,0.011,-0.3387,39.429,0.0429,97.163,0.04,0.479,0.86,0.0017,918.385
W1_NOVEMBER,Bybit,29394051,2025-11-20,2025-11-20T12:51:00+00:00,SHORT,91790.45,2.158,0.396,1,0,0,0,0,WIN,188,,,0.024,0.23,0.056,0.372,0.36,0.259,0.011,-0.0456,267.965,0.3477,436.744,-0.06,0.326,0.95,-0.021,770.747
W1_NOVEMBER,Bybit,29394093,2025-11-20,2025-11-20T13:33:00+00:00,SHORT,91979.95,2.005,0.06,1,0,0,0,0,WIN,138,,,0.167,0.116,0.06,0.579,0.189,0.503,0.011,-0.0734,736.885,0.2291,931.556,0.255,0.385,2.47,0.0584,3216.413
W1_NOVEMBER,Bybit,29394126,2025-11-20,2025-11-20T14:06:00+00:00,LONG,91117.85,0.448,1.576,0,0,0,1,0,LOSS,,,,-0.723,-0.552,0.074,0.19,1.124,1.2,0.011,0.1741,-1322.079,-0.3067,-509.333,-0.731,0.653,1.88,0.2243,4310.093
W1_NOVEMBER,Bybit,29394153,2025-11-20,2025-11-20T14:33:00+00:00,SHORT,91220.25,2.069,0.195,1,0,0,0,0,WIN,91,,,-0.826,-0.403,0.093,0.706,1.013,1.044,0.011,-0.1273,363.624,0.0437,-764.214,0.138,0.478,2.24,0.006,8328.46
W1_NOVEMBER,Bybit,29394171,2025-11-20,2025-11-20T14:51:00+00:00,LONG,90933.55,0.264,1.567,0,0,0,1,0,LOSS,,,,-1.079,-0.91,0.104,0.389,1.324,0.882,0.013,-0.1217,-452.156,-0.0913,-769.755,-0.345,0.546,1.67,0.0315,4950.964
W1_NOVEMBER,Bybit,29394216,2025-11-20,2025-11-20T15:36:00+00:00,LONG,90469.25,0.162,1.546,0,0,0,1,0,LOSS,,,,-0.975,-1.51,0.115,0.245,1.828,0.588,0.011,-0.0511,-801.156,-0.1512,-1320.67,-0.041,0.576,1.22,0.0062,5297.582
W1_NOVEMBER,Bybit,29394253,2025-11-20,2025-11-20T16:13:00+00:00,LONG,88786.45,0.166,1.618,0,0,0,1,0,LOSS,,,,-1.78,-3.446,0.127,0.271,3.654,2.269,0.013,-0.0462,-1388.61,-0.1579,-1932.651,-1.887,0.579,1.44,0.2979,8794.956
W1_NOVEMBER,Bybit,29394283,2025-11-20,2025-11-20T16:43:00+00:00,LONG,88269.05,0.088,1.718,0,0,0,1,0,LOSS,,,,-2.459,-3.84,0.134,0.227,4.215,0.982,0.011,0.0973,1016.947,0.1072,-365.072,-0.583,0.446,1.39,-0.0625,9485.577
